Id,Label,timeset,viol
0,perform,,false
1,voyage,,false
2,present,,false
3,first,,false
4,time,,false
5,rest,,false
6,think,,false
7,man,,false
8,put,,false
9,pass,,false
10,fall,,false
11,augustine,,false
12,kingdom,,false
13,china,,false
14,friar,,false
15,governor,,false
16,government,,false
17,war,,true
18,castle,,false
19,rio,,false
20,principali,,false
21,army,,true
22,southerly,,false
23,strait,,false
24,magellan,,false
25,storm,,false
26,latitude,,false
27,snow,,false
28,south,,false
29,course,,false
30,coast,,false
31,narrow,,false
32,southward,,false
33,thick,,false
34,together,,false
35,length,,false
36,night,,false
37,find,,false
38,wind,,false
39,sight,,false
40,sea,,false
41,near,,false
42,boat,,false
43,shore,,false
44,hardly,,false
45,sudden,,false
46,seek,,false
47,matter,,false
48,force,,false
49,recover,,false
50,hope,,false
51,extreme,,false
52,live,,false
53,continue,,false
54,best,,false
55,depth,,false
56,white,,false
57,low,,false
58,fathom,,false
59,southwest,,false
60,sand,,false
61,east,,false
62,high,,false
63,cape,,false
64,lie,,false
65,northwest,,false
66,joy,,false
67,give,,false
68,stay,,false
69,begin,,false
70,come,,false
71,show,,false
72,captain,,false
73,sail,,false
74,leave,,false
75,people,,false
76,isla,,false
77,cabo,,false
78,mark,,false
79,espanna,,false
80,stir,,false
81,sierra,,false
82,cruz,,false
83,sant,,false
84,puerto,,false
85,point,,false
86,news,,false
87,send,,false
88,victual,,false
89,store,,false
90,house,,false
91,carry,,false
92,return,,false
93,receive,,false
94,shoot,,true
95,piece,,true
96,take,,false
97,water,,false
98,set,,false
99,day,,false
100,four,,false
101,morning,,false
102,englishman,,false
103,ship,,false
104,panama,,false
105,english,,false
106,spain,,false
107,drake,,false
108,john,,false
109,negro,,false
110,silver,,false
111,pinnace,,false
112,lade,,false
113,especial,,false
114,diverse,,false
115,use,,false
116,country,,false
117,short,,false
118,year,,false
119,mean,,false
120,sort,,false
121,grow,,false
122,reason,,false
123,majesty,,false
124,write,,false
125,touch,,false
126,defence,,false
127,honour,,false
128,strong,,false
129,service,,false
130,right,,false
131,please,,false
132,follow,,false
133,keep,,false
134,ullua,,false
135,mexico,,false
136,juan,,false
137,havana,,false
138,viceroy,,false
139,cuba,,false
140,martin,,false
141,prisoner,,true
142,defend,,false
143,place,,false
144,order,,false
145,fortify,,false
146,chief,,false
147,way,,false
148,february,,false
149,january,,false
150,march,,false
151,april,,false
152,anchor,,false
153,fresh,,false
154,november,,false
155,weigh,,false
156,edward,,false
157,william,,false
158,richard,,false
159,assistant,,false
160,england,,false
161,aboard,,false
162,master,,false
163,mile,,false
164,admiral,,false
165,robert,,false
166,forty,,false
167,thirty,,false
168,fifty,,false
169,twenty,,false
170,six,,false
171,goodly,,false
172,tree,,false
173,red,,false
174,child,,false
175,say,,false
176,soon,,false
177,entertain,,false
178,midst,,false
179,sign,,false
180,skin,,false
181,trifle,,false
182,fashion,,false
183,perceive,,false
184,see,,false
185,lay,,false
186,double,,false
187,weather,,false
188,hour,,false
189,go,,false
190,read,,false
191,nature,,false
192,necessary,,false
193,fish,,false
194,worthy,,false
195,long,,false
196,close,,false
197,top,,false
198,side,,false
199,direct,,false
200,spanish,,false
201,win,,false
202,forth,,false
203,easy,,false
204,fear,,false
205,cause,,false
206,discover,,false
207,since,,false
208,sufficient,,false
209,break,,false
210,small,,false
211,ensign,,false
212,watch,,false
213,bestow,,false
214,ordinance,,false
215,lieutenant,,false
216,soldier,,true
217,ready,,false
218,fort,,false
219,declare,,false
220,north,,false
221,west,,false
222,southeast,,false
223,northeast,,false
224,bay,,false
225,cliff,,false
226,hill,,false
227,rock,,false
228,execution,,false
229,enterprise,,false
230,resolve,,false
231,promise,,false
232,assemble,,false
233,purpose,,false
234,land,,false
235,bring,,false
236,death,,true
237,die,,false
238,life,,false
239,know,,false
240,slay,,true
241,company,,false
242,fellow,,false
243,glad,,false
244,hear,,false
245,leg,,false
246,arrow,,true
247,leap,,false
248,eye,,false
249,foot,,false
250,bow,,false
251,kill,,true
252,cost,,false
253,charge,,false
254,merchant,,false
255,serve,,false
256,wine,,false
257,trade,,false
258,bind,,false
259,ton,,false
260,manner,,false
261,far,,false
262,better,,false
263,mind,,false
264,god,,false
265,willing,,false
266,june,,false
267,july,,false
268,depart,,false
269,arrive,,false
270,fair,,false
271,sick,,false
272,remain,,false
273,approach,,false
274,command,,false
275,afterward,,false
276,retire,,false
277,buy,,false
278,canoas,,false
279,sell,,false
280,spaniard,,false
281,horse,,false
282,gold,,false
283,conquest,,false
284,empire,,false
