id,violcount
07_17_0,6
07_18_0,0
07_19_0,4.0
07_20_0,1.0
07_21_0,2.5
07_21_1,1.0
07_22_0,0
07_23_0,2.0
07_23_1,5.5
07_23_2,1.0
07_23_3,1.5
07_23_4,2.0
07_23_5,1
07_23_6,0.5
07_23_7,0
07_23_8,1
07_23_9,0
07_24_0,0
07_25_0,0
07_26_0,0
07_26_1,1.0
07_26_10,2.5
07_26_11,1.5
07_26_12,0
07_26_13,0
07_26_14,1
07_26_15,0.5
07_26_16,3.0
07_26_17,1
07_26_18,3.5
07_26_19,0
07_26_2,1
07_26_20,2.0
07_26_21,1.0
07_26_22,2
07_26_23,0
07_26_24,2
07_26_25,0.5
07_26_26,0
07_26_27,1
07_26_28,1
07_26_29,1
07_26_3,0
07_26_30,1
07_26_31,1
07_26_32,4.0
07_26_33,0
07_26_34,2.5
07_26_35,1.5
07_26_36,0
07_26_37,2
07_26_38,0.5
07_26_39,2.5
07_26_4,0
07_26_40,4.5
07_26_41,0.5
07_26_42,0.5
07_26_43,0
07_26_44,1
07_26_45,2.5
07_26_46,3.5
07_26_47,4.0
07_26_48,0.5
07_26_5,1.0
07_26_6,0
07_26_7,0
07_26_8,2.0
07_26_9,2.5
07_27_0,2.0
07_27_1,1
07_27_2,0
07_27_3,0
07_27_4,1.5
07_27_5,0
07_27_6,0.5
07_27_7,1.5
07_27_8,1.5
07_28_0,1
07_28_1,6.0
07_28_10,10.5
07_28_11,0.5
07_28_12,0
07_28_13,12.0
07_28_14,5.0
07_28_15,3.5
07_28_16,11.5
07_28_17,8.0
07_28_18,4.0
07_28_19,1
07_28_2,0
07_28_20,2.5
07_28_21,0
07_28_3,2.0
07_28_4,1.0
07_28_5,7.5
07_28_6,1.5
07_28_7,0.5
07_28_8,2.0
07_28_9,4.0
07_29_0,3.5
07_29_1,1
07_29_10,1
07_29_11,0
07_29_12,3
07_29_13,0.5
07_29_14,2
07_29_15,2.0
07_29_16,3.0
07_29_17,1.0
07_29_18,1
07_29_19,2.5
07_29_2,2.5
07_29_20,2
07_29_3,3.5
07_29_4,7.5
07_29_5,1
07_29_6,0.5
07_29_7,2.0
07_29_8,1
07_29_9,1.5
07_30_0,2.5
07_30_1,1
07_30_10,1.5
07_30_11,8.0
07_30_12,1
07_30_13,0
07_30_14,2
07_30_15,1
07_30_16,5.0
07_30_17,0
07_30_18,0
07_30_19,1
07_30_2,2
07_30_20,0
07_30_21,0
07_30_22,1
07_30_23,1
07_30_24,0
07_30_25,1.0
07_30_26,1.5
07_30_27,0
07_30_28,0
07_30_29,0
07_30_3,1
07_30_30,1
07_30_31,1
07_30_32,1.5
07_30_33,1.5
07_30_34,4.5
07_30_35,0.5
07_30_36,1.5
07_30_37,4.0
07_30_38,7.5
07_30_39,1.5
07_30_4,1
07_30_40,2.5
07_30_41,3.0
07_30_42,0
07_30_43,2.0
07_30_44,1.5
07_30_45,4.5
07_30_46,1
07_30_47,1.5
07_30_48,9.5
07_30_49,3
07_30_5,3
07_30_50,4.5
07_30_51,8.5
07_30_52,1
07_30_53,0
07_30_54,2.5
07_30_55,2.5
07_30_56,0
07_30_57,2.5
07_30_58,1.5
07_30_59,1
07_30_6,0.5
07_30_60,2.5
07_30_61,6.0
07_30_62,14
07_30_63,7
07_30_64,2
07_30_65,7.5
07_30_66,3.5
07_30_7,2.5
07_30_8,2.5
07_30_9,1.5
07_31_0,2.0
07_31_1,5.0
07_31_10,0.5
07_31_11,1.0
07_31_12,1.5
07_31_13,2.5
07_31_14,0.5
07_31_2,1
07_31_3,7.0
07_31_4,2.5
07_31_5,13.0
07_31_6,3
07_31_7,4.0
07_31_8,1.0
07_31_9,1
07_32_0,2.5
07_32_1,5.0
07_32_10,2.5
07_32_11,0.5
07_32_12,2.0
07_32_13,0
07_32_14,3.0
07_32_15,1.0
07_32_16,5.0
07_32_17,0
07_32_18,1.0
07_32_19,2.5
07_32_2,8.0
07_32_20,3
07_32_21,1.5
07_32_22,1
07_32_23,3.0
07_32_24,3.0
07_32_25,0.5
07_32_26,6.0
07_32_27,5
07_32_28,3.0
07_32_29,2.5
07_32_3,4.5
07_32_30,1
07_32_31,2.5
07_32_32,3.5
07_32_33,0
07_32_34,0.5
07_32_35,1
07_32_36,0.5
07_32_37,2.0
07_32_38,6.0
07_32_39,0.5
07_32_4,1
07_32_40,1
07_32_41,2.0
07_32_42,1
07_32_43,1
07_32_44,3.0
07_32_45,0
07_32_46,1.5
07_32_47,1
07_32_48,1.0
07_32_49,3.0
07_32_5,2.5
07_32_6,1.0
07_32_7,4.5
07_32_8,1.0
07_32_9,6.0
07_33_0,0
07_33_1,4.0
07_33_2,0
07_33_3,8.5
07_33_4,6
07_33_5,7.0
07_33_6,3.5
07_33_7,1.5
07_33_8,1
07_34_0,0.5
07_34_1,3.5
07_34_2,1.0
07_34_3,1.0
07_34_4,0.5
07_34_5,2.0
07_35_0,1
07_35_1,8.0
07_35_10,5
07_35_11,5.5
07_35_12,1
07_35_13,1.5
07_35_2,9.0
07_35_3,0
07_35_4,1
07_35_5,1.0
07_35_6,4.0
07_35_7,1
07_35_8,1.5
07_35_9,15.5
07_36_0,0.5
07_36_1,2.5
07_36_10,0.5
07_36_11,2
07_36_12,1
07_36_13,0
07_36_14,4.5
07_36_15,9.0
07_36_2,4
07_36_3,5
07_36_4,13.5
07_36_5,11.0
07_36_6,3.5
07_36_7,4.5
07_36_8,7.0
07_36_9,3.0
07_37_0,1.0
07_38_0,0
07_38_1,0.5
07_38_2,0
07_38_3,8.5
07_38_4,10.0
07_38_5,11.0
07_39_0,1
07_39_1,0.5
07_39_2,21.5
07_39_3,3.5
07_39_4,5.5
07_39_5,0
07_39_6,2.5
07_39_7,0
07_39_8,1
07_39_9,2.5
07_40_0,0.5
07_41_0,0
07_41_1,0
07_41_10,0
07_41_2,0
07_41_3,0
07_41_4,0.5
07_41_5,1.5
07_41_6,0
07_41_7,0
07_41_8,0.5
07_41_9,1
07_42_0,1.0
07_42_1,1.5
07_42_2,0
07_42_3,0.5
07_42_4,1.5
07_43_0,3.5
07_43_1,4.5
07_43_10,2.0
07_43_11,0
07_43_12,0
07_43_13,6
07_43_14,4.5
07_43_15,1.0
07_43_16,3.0
07_43_17,1
07_43_18,10.5
07_43_19,1
07_43_2,4
07_43_20,2.5
07_43_21,0.5
07_43_22,0.5
07_43_3,3.5
07_43_4,7
07_43_5,3
07_43_6,7.5
07_43_7,7.0
07_43_8,0.5
07_43_9,1.5
07_44_0,1
07_44_1,2.5
08_01_0,1
08_02_0,0
08_02_1,1.5
08_02_2,6.0
08_02_3,5.0
08_02_4,1.5
08_03_0,2.0
08_04_0,1
08_04_1,2.5
08_04_2,0
08_04_3,1.5
08_04_4,1.5
08_04_5,3.0
08_04_6,1.5
08_04_7,1.0
08_05_0,0
08_05_1,1
08_05_2,3.0
08_05_3,2
08_05_4,2.5
08_05_5,1.5
08_05_6,2
08_06_0,0
08_07_0,1
08_07_1,0.5
08_07_2,2
08_07_3,2
08_07_4,0
08_07_5,2.0
08_07_6,0
08_07_7,2.5
08_07_8,1
08_07_9,3.5
08_08_0,5.0
08_08_1,2.5
08_08_10,0
08_08_11,1.0
08_08_12,0.5
08_08_2,0.5
08_08_3,0
08_08_4,0
08_08_5,0
08_08_6,0.5
08_08_7,6.0
08_08_8,1.5
08_08_9,1.0
08_09_0,1.5
08_09_1,1
08_09_2,1
08_09_3,1
08_09_4,1.5
08_09_5,1.0
08_09_6,1.0
08_09_7,1.5
08_09_8,0
08_10_0,0
08_11_0,3.5
08_11_1,4.0
08_11_10,3.5
08_11_11,1.5
08_11_12,3.0
08_11_13,0.5
08_11_2,2.5
08_11_3,3.5
08_11_4,2.0
08_11_5,1
08_11_6,3
08_11_7,1
08_11_8,1.0
08_11_9,2
