id,violcount
01_01_0,2
01_02_0,1
01_03_0,7
01_04_0,3
01_05_0,2
01_06_0,4
01_07_0,0
01_07_1,0.5
01_07_2,1
01_07_3,4.0
01_08_0,0
01_09_0,1
01_10_0,0
01_10_1,2.0
01_10_2,0.5
01_10_3,3.5
01_10_4,0
01_10_5,1
01_10_6,0.5
01_10_7,1.0
01_11_0,4
01_12_0,11
01_12_1,4.5
01_12_10,2
01_12_11,2
01_12_12,5
01_12_13,4.5
01_12_14,9.0
01_12_15,2.5
01_12_16,5
01_12_17,11.0
01_12_2,6.0
01_12_3,9.5
01_12_4,7.0
01_12_5,3
01_12_6,10.5
01_12_7,7
01_12_8,6
01_12_9,13
01_13_0,4
01_14_0,4.5
01_14_1,0
01_14_2,1.0
01_14_3,1.5
01_14_4,3.0
01_14_5,1.5
01_14_6,2.5
01_14_7,7.0
01_15_0,19.0
01_15_1,2
01_15_2,3
01_15_3,19.0
01_16_0,0
01_17_0,0
01_17_1,2
01_17_10,12.5
01_17_11,16.5
01_17_12,16
01_17_13,15.5
01_17_14,9
01_17_15,16.0
01_17_16,13.5
01_17_17,8.5
01_17_18,4.0
01_17_19,4
01_17_2,2.5
01_17_20,2.5
01_17_21,10.5
01_17_22,9.5
01_17_23,6.5
01_17_24,11.5
01_17_25,13.0
01_17_26,7.0
01_17_27,22.5
01_17_28,14.0
01_17_29,8.0
01_17_3,0
01_17_30,4.5
01_17_31,0
01_17_32,4
01_17_33,1.5
01_17_34,0
01_17_35,4.0
01_17_36,1
01_17_37,5
01_17_38,2.5
01_17_39,1
01_17_4,3.0
01_17_40,0
01_17_41,1
01_17_42,5.5
01_17_43,0
01_17_44,1.5
01_17_45,0
01_17_46,5.5
01_17_47,1.0
01_17_48,0
01_17_49,5.5
01_17_5,2
01_17_50,0
01_17_51,5
01_17_52,4.0
01_17_53,1
01_17_6,4
01_17_7,6.0
01_17_8,6.5
01_17_9,14.0
01_18_0,0
01_18_1,0
01_18_10,2.5
01_18_11,1
01_18_12,2.5
01_18_13,4.5
01_18_14,1
01_18_15,2
01_18_16,2.0
01_18_17,2.5
01_18_18,0.5
01_18_19,5.0
01_18_2,0.5
01_18_20,2.5
01_18_21,14.5
01_18_22,9.0
01_18_23,0.5
01_18_24,0
01_18_25,1.0
01_18_26,0
01_18_27,1
01_18_28,0
01_18_29,1
01_18_3,0
01_18_30,0
01_18_31,1
01_18_32,2
01_18_33,0
01_18_34,0
01_18_35,0
01_18_36,0
01_18_37,1
01_18_38,1
01_18_39,0
01_18_4,1
01_18_40,1.0
01_18_41,0
01_18_42,0.5
01_18_43,1
01_18_44,0
01_18_45,2
01_18_46,2.5
01_18_47,3
01_18_48,2.5
01_18_49,0.5
01_18_5,0
01_18_50,1
01_18_51,0
01_18_52,1.0
01_18_53,1.0
01_18_54,2
01_18_55,0
01_18_56,0
01_18_57,0.5
01_18_58,0
01_18_59,2
01_18_6,0
01_18_60,1
01_18_61,0
01_18_62,0
01_18_63,2.5
01_18_64,0.5
01_18_65,1
01_18_66,0
01_18_67,0
01_18_68,0
01_18_69,0
01_18_7,1.0
01_18_70,1.5
01_18_71,0
01_18_72,0.5
01_18_73,4
01_18_74,0.5
01_18_75,1.5
01_18_8,0
01_18_9,0.5
01_19_0,2.5
01_19_1,0
01_19_2,0
01_19_3,0
01_20_0,0
01_21_0,1
01_22_0,1.0
01_23_0,4.5
01_24_0,0
01_25_0,13
01_26_0,1
01_27_0,9
01_28_0,1.5
