vol,chap,sect_frac,geog,date,title,pages,word,tag1,tag2,nat,expl,hostil,enc,enc_min,viol_num,viol_ratio,v_r_decil
1,1,1,NNE-,517,The_voyage_of_Arthur_K_of_Britaine_to_Island_and_the_most_Northeastern_parts_of_Europe_Anno_517,003-004,147,nar,"england, voyage",,,,,,2,0.013605442,0.7
1,2,1,NNE-,517,Two_testimonies_of_Galfridus_Monumetensis_in_his_history_of_the_Kings_of_Brittaine_concerning_the_co,004-004,141,doc,"testimon, history",,,,,,1,0.007092199,0.5
1,3,1,NNE-,580,A_testimony_of_M_Lambard_in_his_touching_the_right_and_appendances_of_the_Crowne_of_the_kingdome_of_,005-007,504,doc,testimon,,,,,,7,0.013888889,0.8
1,4,1,NNE-,580,The_voyage_of_Malgo_king_of_Britaine_to_Island_Gotland_Orkney_Denmark_and_Norway_Anno_580,007-008,108,nar,"england, voyage, norway",,,,,,3,0.027777778,0.9
1,5,1,NNE-,624,The_conquest_of_the_Isles_of_Anglesey_and_Man_by_Edwin_the_Saxon_king_of_Northumberland_Anno_624,008-010,306,nar,,,,,,,2,0.006535948,0.5
1,6,1,NNE-,624,The_voyage_of_Bertus_into_Ireland_Anno_684,010-010,150,nar,voyage,,,,,,4,0.026666667,0.9
1,7,1,NNE-,890,The_voyage_of_Octher_to_the_North_parts_beyond_Norway_about_the_yeere_890,011-014,1258,nar,"voyage, norway",,,,,,5.5,0.004372019,0.4
1,8,1,NNE-,890,The_second_voyage_of_Octher_into_the_Sound_of_Denmarke,014-015,317,nar,voyage,,,,,,0,0,0
1,9,1,NNE-,890,Wolstans_Navigation_into_the_East_sea_or_the_Sound_of_Denmarke,015-016,329,nar,,,,,,,1,0.003039514,0.2
1,10,1,NNE-,973,The_voyage_of_King_Edgar_with_4000_shippes_round_about_his_large_Monarchie_Anno_973,016-023,2515,nar,voyage,,,,,,8.5,0.003379722,0.3
1,11,1,NNE-,973,The_voyage_of_Edmund_and_Edward_the_sonnes_of_King_Edmund_Ironside_into_Hungary_Anno_1017,024-025,155,nar,voyage,,,,,,4,0.025806452,0.9
1,12,1,NNE-,1249,A_Chronicle_of_the_Kings_of_Man_taken_out_of_M_Camdens_Chorographie,025-041,5850,doc,,,,,,,117.5,0.02008547,0.9
1,13,1,NNE-,1067,The_mariage_of_the_daughter_of_Harald_unto_Jeruslaus_duke_of_Russia_in_his_owne_Countrey_Anno_1067,042-042,147,nar,russia,,,,,,4,0.027210884,0.9
1,14,1,NNE-,1278,The_ancient_state_of_the_shipping_of_the_Cinque_Ports,042-050,2545,doc,,,,,,,21.5,0.008447937,0.6
1,15,1,NNE-,1243,The_voyage_of_a_certaine_Englishman_into_Tartaria_and_from_thence_into_Poland_and_Hungary_Anno_1243,050-054,1489,nar,"england, voyage",,,,,,42.5,0.028542646,0.9
1,16,1,NNE-,1246,Libellus_historicus_Johannis_de_Plano_Carpini,055-094,61,doc,,,,,,,0,0,0
1,17,1,NNE-,1246,The_long_and_wonderfull_voyage_of_Frier_John_de_Plano_Carpini_Anno_1246,094-179,16789,nar,voyage,,,,,,317.5,0.018911192,0.9
1,18,1,NNE-,1253,The_journall_of_Frier_William_de_Rubricis_Anno_1253,179-293,23873,nar,,,,,,,96.5,0.004042223,0.3
1,19,1,NNE-,1278,Part_of_the_great_Charter_graunted_by_King_Edward_the_first_to_the_Barons_of_the_Cinque_Ports,293-296,1276,doc,"granted, charter",,,,,,2.5,0.001959248,0.2
1,20,1,NNE-,1345,The_rolle_of_the_huge_Fleete_of_Edward_the_thirde_before_Caleis,297-299,444,doc,,,,,,,0,0,0
1,21,1,NNE-,1345,The_summe_of_expences_layde_out_in_the_siege_of_Caleis,299-300,104,doc,,,,,,,1,0.009615385,0.6
1,22,1,NNE-,1360,A_note_of_Thomas_Walsingham_touching_King_Edward_the_thirde_his_huge_Fleete_of_1100_ships_wherewith_,300-301,195,doc,note,,,,,,1,0.005128205,0.4
1,23,1,NNE-,1360,The_voyage_of_Nicolaus_de_Linna_a_Franciscan_Frier_and_an_excellent_Mathematician_of_Oxford_to_all_t,301-303,447,nar,voyage,,,,,,4.5,0.010067114,0.6
1,24,1,NNE-,1360,A_Testimonie_of_the_learned_Mathematician_Master_John_Dee_touching_the_foresaid_voyage_of_Nicholas_D,303-304,219,nar,"voyage, testimon",,,,,,0,0,0
1,25,1,NNE-,1390,The_voyage_of_Henry_Earle_of_Derby_afterward_King_of_England_into_Prussia_and_Letto_Anno_1390,304-305,273,nar,"england, russia, voyage, prussia",,,,,,13,0.047619048,1
1,26,1,NNE-,1402,The_voyage_of_Thomas_of_Woodstock_duke_of_Glocester_into_Prussia_Anno_1391,306-307,231,nar,"russia, voyage, prussia",,,,,,1,0.004329004,0.4
1,27,1,NNE-,1402,Certaine_verses_of_Geffrey_Chaucer_concerning_the_long_Voyages_and_valiant_exploits_of_the_English_k,307-308,397,nar,"england, voyage",,,,,,9,0.022670025,0.9
1,28,1,NNE-,604,A_testimonie_out_of_Cornelius_Tacitus_proving_London_to_have_bene_a_famous_Mart-towne_in_the_raigne_,308-309,79,doc,"england, testimon",,,,,,1.5,0.018987342,0.9
1,29,1,NNE-,604,A_testimony_out_of_venerable_Beda_prooving_London_to_have_bene_a_Citie_of_great_traffique_in_his_tim,309-309,125,doc,"england, testimon",,,,,,0.5,0.004,0.3
1,30,1,NNE-,795,The_league_betweene_Carolus_Magnus_and_Offa_King_of_Mercia_concerning_the_safe_trade_of_English_Merc,310-312,401,doc,england,,,,,,0.5,0.001246883,0.1
1,31,1,NNE-,795,An_ancient_testimony_translated_out_of_the_olde_Saxon_Lawes_conteyning_the_advancement_of_Merchants_,312-312,277,doc,testimon,,,,,,0,0,0
1,32,1,NNE-,1027,A_testimony_of_certaine_Privileges_obteined_for_the_English_and_Danish_Merchants_by_Canutus_the_King,313-314,287,doc,"england, testimon, privileges",,,,,,0,0,0
1,33,1,NNE-,1140,The_flourishing_state_of_Merchandise_in_the_City_of_London_in_the_dayes_of_Wilhelmus_Malmesburiensis,314-315,167,doc,england,,,,,,0.5,0.002994012,0.2
1,34,1,NNE-,1140,A_testimony_of_the_said_Wil_of_Malmesbury_concerning_traffique_to_Bristow_in_his_time,315-315,131,doc,testimon,,,,,,0,0,0
1,35,1,NNE-,1157,The_league_betweene_Henry_the_second_and_Frederick_Barbarossa_Emperour_of_Germany_partly_touching_tr,316-318,559,doc,,,,,,,0.5,0.000894454,0.1
1,36,1,NNE-,1199,A_generall_safe_conduct_granted_by_King_John_to_all_forreine_Merchants,319-320,245,doc,"granted, conduct",,,,,,0.5,0.002040816,0.2
1,37,1,NNE-,1229,The_letters_of_King_Henry_the_third_unto_Haquinus_king_of_Norwey,320-322,308,doc,letter,,,,,,1,0.003246753,0.3
