Wolstans	Wolstans	npg1	Wolstans	wolstans	0
navigation	navigation	n1	navigation	navigation	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
|	|	|	|	|	0
|	|	|	|	|	0
East	East	n1	East	east	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Hetha	Hetha	np1	Hetha	Hetha	0
to	to	p-acp	to	to	0
Trusco	Trusco	np1	Trusco	Trusco	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
about	about	p-acp	about	about	0
Dantzig	Dantzig	np1	Dantzig	Dantzig	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
|	|	|	|	|	0
|	|	|	|	|	0
Within	Within	p-acp	Within	within	0
the	the	dt	the	the	0
sound	sound	n1	found	sound	0
of	of	pp-f	of	of	0
Denmarke	Denmarke	np1	Denmarke	Denmark	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Olstan	Olstan	np1	Olstan	Olstan	0
sayd	sayd	vvd	said	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
departed	departed	vvd	departed	depart	0
from	from	p-acp	from	from	0
Hetha	Hetha	np1	Hetha	Hetha	0
,	,	,	,	,	0
and	and	cc	and	and	0
arrived	arrived	vvd	arrived	arrive	0
at	at	p-acp	at	at	0
Trusco	Trusco	np1	Trusco	Trusco	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
7.	7.	crd	7.	7.	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
7.	7.	crd	7.	7.	0
nights	nights	n2	nights	night	0
:	:	:	:	:	0
during	during	p-acp	during	during	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
,	,	,	,	,	0
his	his	po31	his	his	0
shippe	shippe	n1	ship	ship	0
kept	kept	vvd	kept	keep	0
her	her	po31	her	her	0
course	course	n1	course	course	0
continually	continually	av-j	continually	continual	0
under	under	p-acp	under	under	0
saile	saile	n1	sail	sail	0
.	.	.	.	.	1
All	All	av-d	All	all	0
this	this	d	this	this	0
voyage	voyage	n1	voyage	voyage	0
Wenedland	Wenedland	np1	Wenedland	Wenedland	0
was	was	vbds	was	be	0
still	still	av	still	still	0
upon	upon	p-acp	upon	upon	0
his	his	po31	his	his	0
steerboord	steerboord	av	steerboord	steerboord	0
,	,	,	,	,	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
his	his	po31	his	his	0
leerboord	leerboord	av	leerboord	leerboord	0
was	was	vbds	was	be	0
Langland	Langland	np1	Langland	Langland	0
,	,	,	,	,	0
Layland	Layland	np1	Layland	Layland	0
,	,	,	,	,	0
Falster	Falster	np1	Falster	Falster	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
and	and	cc	and	and	0
Sconie	Sconie	n1	Sconie	sconie	0
:	:	:	:	:	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
countreyes	countreyes	n2	countries	country	0
are	are	vbr	are	be	0
subject	subject	j-jn	subject	subject	0
to	to	p-acp	to	to	0
Denmarke	Denmarke	np1	Denmarke	Denmark	0
.	.	.	.	.	1
Upon	Upon	p-acp	Upon	upon	0
his	his	po31	his	his	0
leerboord	leerboord	av	leerboord	leerboord	0
also	also	av	also	also	0
,	,	,	,	,	0
was	was	vbds	was	be	0
Bargenland	Bargenland	np1	Bargenland	Bargenland	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
Bargenland	Bargenland	np1	Bargenland	Bargenland	0
,	,	,	,	,	0
private	private	j	private	private	0
king	king	n1	king	king	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
whom	whom	ro-crq	whom	who	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
subject	subject	j-jn	subject	subject	0
.	.	.	.	.	1
Having	Having	vhg	Having	have	0
left	left	vvn	left	leave	0
Bar	Bar	np1	Bar	Bar	0
-	-	-	-	-	0
or	or	cc	or	or	0
Bornholme	Bornholme	np1	Bornholme	Bornholme	0
.	.	.	.	.	0
genland	genland	n1	genland	genland	0
,	,	,	,	,	0
he	he	pns31	he	he	0
passed	passed	vvd	passed	pass	0
by	by	p-acp	by	by	0
Blekingie	Blekingie	np1	Blekingie	Blekingie	0
,	,	,	,	,	0
Meere	Meere	j	Mere	mere	0
,	,	,	,	,	0
Eland	Eland	np1	Eland	Eland	0
and	and	cc	and	and	0
Gotland	Gotland	np1	Gotland	Gotland	0
,	,	,	,	,	0
having	having	vhg	having	have	0
them	them	pno32	them	they	0
on	on	p-acp	on	on	0
his	his	po31	his	his	0
leerboord	leerboord	av	leerboord	leerboord	0
:	:	:	:	:	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
countreys	countreys	ng2	countries'	country	0
are	are	vbr	are	be	0
subject	subject	j-jn	subject	subject	0
to	to	p-acp	to	to	0
Sweden	Sweden	np1	Sweden	Sweden	0
:	:	:	:	:	0
and	and	cc	and	and	0
Wenedland	Wenedland	np1	Wenedland	Wenedland	0
was	was	vbds	was	be	0
all	all	d	all	all	0
the	the	dt	the	the	0
way	way	n1	way	way	0
upon	upon	p-acp	upon	upon	0
his	his	po31	his	his	0
steerboord	steerboord	av	steerboord	steerboord	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
he	he	pns31	he	he	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
Wixel	Wixel	np1	Wixel	Wixel	0
mouth	mouth	n1	mouth	mouth	0
.	.	.	.	.	1
Wixel	Wixel	np1	Wixel	Wixel	0
Wixel	Wixel	np1	Wixel	Wixel	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
very	very	av	very	very	0
great	great	j	great	great	0
river	river	n1	river	river	0
which	which	r-crq	which	which	0
runneth	runneth	vvz	runneth	run	0
along	along	a-acp	along	along	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
Witland	Witland	np1	Witland	Witland	0
and	and	cc	and	and	0
Wenedland	Wenedland	np1	Wenedland	Wenedland	0
.	.	.	.	.	1
Witland	Witland	np1	Witland	Witland	0
is	is	vbz	is	be	0
apperteining	apperteining	vvg	aPPERTAINING	appertain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Easter	Easter	n1	Easter	easter	0
-	-	-	-	-	0
1	1	crd	1	1	0
e	e	sy	e	e	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
lings	lings	n2	lings	ling	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Wixel	Wixel	np1	Wixel	Wixel	0
runneth	runneth	vvz	runneth	run	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
|	|	|	|	|	0
|	|	|	|	|	0
Wenedland	Wenedland	np1	Wenedland	Wenedland	0
Dantzig	Dantzig	np1	Dantzig	Dantzig	0
.	.	.	.	.	0
into	into	p-acp	into	into	0
Eastmeere	Eastmeere	av	Eastmeere	eastmeere	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Eastmeere	Eastmeere	av	Eastmeere	eastmeere	0
is	is	vbz	is	be	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
least	least	av-ds	least	least	0
15.	15.	crd	15.	15.	0
miles	miles	n2	miles	mile	0
|	|	|	|	|	0
|	|	|	|	|	0
Or	Or	cc	Or	or	0
,	,	,	,	,	0
Prussia	Prussia	np1	Prussia	Prussia	0
.	.	.	.	.	0
in	in	p-acp	in	in	0
breadth	breadth	n1	breadth	breadth	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
runneth	runneth	vvz	runneth	run	0
also	also	av	also	also	0
another	another	j-jn	another	another	0
river	river	n1	river	river	0
called	called	vvd	called	call	0
Using	Using	vvg	Using	use	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
East	East	n1	East	east	0
,	,	,	,	,	0
and	and	cc	and	and	0
falleth	falleth	vvz	falls	fall	0
into	into	p-acp	into	into	0
Eastmeere	Eastmeere	n1	Eastmeere	eastmeere	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
another	another	j-jn	another	another	0
lake	lake	n1	lake	lake	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
banke	banke	n1	bank	bank	0
,	,	,	,	,	0
whereupon	whereupon	c-crq	whereupon	whereupon	0
is	is	vbz	is	be	0
situated	situated	vvn	situated	situate	0
Fruso	Fruso	np1	Fruso	Fruso	0
.	.	.	.	.	1
So	So	av	So	so	0
Fruso	Fruso	np1	Fruso	Fruso	0
.	.	.	.	.	0
that	that	cst	that	that	0
Using	Using	vvg	Using	use	0
comming	comming	vvg	coming	come	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
II	II	crd	II	two	0
Eastland	Eastland	np1	Eastland	Eastland	0
,	,	,	,	,	0
and	and	cc	and	and	0
Wixel	Wixel	np1	Wixel	Wixel	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
|	|	|	|	|	0
|	|	|	|	|	0
Or	Or	cc	Or	or	0
,	,	,	,	,	0
Wenedland	Wenedland	np1	Wenedland	Wenedland	0
,	,	,	,	,	0
fall	fall	vvb	fallen	fall	0
both	both	d	both	both	0
together	together	av	together	together	0
into	into	p-acp	into	into	0
Eastmeere	Eastmeere	n1	Eastmeere	eastmeere	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
^tuania	^tuania	n1	tuania	tuania	0
.	.	.	.	.	1
Wixel	Wixel	np1	Wixel	Wixel	0
depriveth	depriveth	vvz	depriveth	deprive	0
Using	Using	vvg	Using	use	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
name	name	n1	name	name	0
,	,	,	,	,	0
and	and	cc	and	and	0
runneth	runneth	vvz	runneth	run	0
thence	thence	av	thence	thence	0
West	West	n1	West	west	0
&	&	cc	&	and	0
North	North	n1	North	north	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
;	;	;	;	;	0
whereof	whereof	c-crq	whereof	whereof	0
the	the	dt	the	the	0
place	place	n1	place	place	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
Wixelmouth	Wixelmouth	np1	Wixelmouth	Wixelmouth	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Eastland	Eastland	np1	Eastland	Eastland	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
very	very	av	very	very	0
large	large	j	large	large	0
land	land	n1	land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
many	many	d	many	many	0
cities	cities	n2	cities	city	0
The	The	dt	The	the	0
descrip-and	descrip-and	j	descrip-and	descrip-and	0
townes	townes	n2	towns	town	0
within	within	p-acp	within	within	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
every	every	d	every	every	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
king	king	n1	king	king	0
:	:	:	:	:	0
whereby	whereby	c-crq	whereby	whereby	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
continually	continually	av-j	continually	continual	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
great	great	j	great	great	0
strife	strife	n1	strife	strife	0
^as	^as	p-acp	as	as	0
an	an	dt	and	a	0
'	'	'	'	'	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
and	and	cc	and	and	0
contention	contention	n1	contention	contention	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
great	great	j	great	great	0
plentie	plentie	n1	plenty	plenty	0
of	of	pp-f	of	of	0
hony	hony	n1	honey	honey	0
and	and	cc	and	and	0
fish	fish	n1	fish	fish	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Mares	Mares	ng1	Mares	mare	0
milke	milke	n1	milk	milk	0
a	a	pp-f	a	of	0
The	The	dt	The	the	0
wealthiest	wealthiest	js	wealthiest	wealthy	0
men	men	n2	men	man	0
drinke	drinke	vvb	drink	drink	0
commonly	commonly	av-j	commonly	common	0
Mares	Mares	ng1	Mares	mare	0
milke	milke	n1	milk	milk	0
,	,	,	,	,	0
and	and	cc	and	and	0
chiefe	chiefe	j-jn	chief	chief	0
dnnke	dnnke	n1	dnnke	dnnke	0
.	.	.	.	.	0
poore	poore	j	poor	poor	0
people	people	n1	people	people	0
and	and	cc	and	and	0
slaves	slaves	ng1	slaves	slave	0
meade	meade	n1	mead	mead	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
ale	ale	n1	ale	ale	0
brewed	brewed	vvn	brewed	brew	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
Easterlings	Easterlings	np1	Easterlings	Easterling	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
mead	mead	n1	mead	mead	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
plentie	plentie	n1	plenty	plenty	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
.	.	.	.	.	1
