THe	THe	dt	THe	the	0
long	long	j	long	long	0
and	and	cc	and	and	0
wonderful	wonderful	j	wondered	wonderful	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
Frier	Frier	np1	Frier	Frier	0
John	John	np1	John	John	0
de	de	fw-fr	de	de	0
Plano	Plano	np1	Plano	Plano	0
Carpini	Carpini	np1	Carpini	Carpini	0
,	,	,	,	,	0
sent	sent	vvd	sent	send	0
ambassadour	ambassadour	n1	ambassador	ambassador	0
by	by	p-acp	by	by	0
Pope	Pope	n1	Pope	pope	0
Innocentius	Innocentius	np1	Innocentius	Innocentius	0
the	the	dt	the	the	0
iiii	iiii	crd	iiii	four	0
.	.	.	.	.	1
An.	An.	np1	An.	An.	0
Do.	Do.	zz	Do.	do.	0
1246	1246	crd	1246	1246	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
CAN	CAN	vmb	CAN	can	0
of	of	pp-f	of	of	0
Tartaria	Tartaria	np1	Tartaria	Tartary	0
;	;	;	;	;	0
wherin	wherin	c-crq	wherein	wherein	0
he	he	pns31	he	he	0
passed	passed	vvd	passed	pass	0
through	through	p-acp	through	through	0
Bohemia	Bohemia	np1	Bohemia	Bohemia	0
,	,	,	,	,	0
Polonia	Polonia	np1	Polonia	Polonia	0
,	,	,	,	,	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Kiow	Kiow	np1	Kiow	Kiow	0
upon	upon	p-acp	upon	upon	0
Boristhenes	Boristhenes	np1	Boristhenes	Boristhenes	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
rode	rode	vvd	road	ride	0
continually	continually	av-j	continually	continual	0
post	post	n1	post	post	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
sixe	sixe	crd	sixe	six	0
moneths	moneths	n2	months	month	0
through	through	p-acp	through	through	0
Comania	Comania	np1	Comania	Comania	0
,	,	,	,	,	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
mighty	mighty	j	mighty	mighty	0
and	and	cc	and	and	0
famous	famous	j	famous	famous	0
rivers	rivers	n2	rivers	river	0
of	of	pp-f	of	of	0
Tanais	Tanais	np1	Tanais	Tanais	0
,	,	,	,	,	0
Volga	Volga	np1	Volga	Volga	0
,	,	,	,	,	0
and	and	cc	and	and	0
laic	laic	j	laic	laic	0
,	,	,	,	,	0
&	&	cc	&	and	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
countries	countries	n2	countries	country	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
called	called	vvn	called	call	0
Kangittae	Kangittae	np1	Kangittae	Kangittae	0
,	,	,	,	,	0
Bisermini	Bisermini	fw-la	Bisermini	bisermini	0
,	,	,	,	,	0
Kara-Kitay	Kara-Kitay	j	Karakitay	karakitay	0
,	,	,	,	,	0
Naimani	Naimani	np1	Naimani	Naimani	0
,	,	,	,	,	0
&	&	cc	&	and	0
so	so	av	so	so	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
native	native	j-jn	native	native	0
countrie	countrie	n1	country	country	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mongals	Mongals	np2	Mongals	mongal	0
or	or	cc	or	or	0
