How	How	c-crq	How	how	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
welcomed	welcomed	vvn	welcomed	welcome	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
returne	returne	n1	return	return	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Basilius	Basilius	np1	Basilius	Basilius	0
and	and	cc	and	and	0
Daniel	Daniel	np1	Daniel	Daniel	0
Princes	Princes	n2	Princes	prince	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Ecclus.	Ecclus.	np1	Ecclus.	Ecclus.	0
39.	39.	crd	39.	39	0
ver	ver	fw-la	ver	ver	0
.	.	.	.	.	1
4.	4.	crd	4.	4.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
181	181	crd	181	181	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
182	182	crd	182	182	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
183	183	crd	183	183	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
186	186	crd	186	186	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
190	190	crd	190	190	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
OFicium	OFicium	fw-la	OFicium	oficium	0
fceminarum	fceminarum	fw-la	fceminarum	fceminarum	0
est	est	fw-la	est	est	0
ducere	ducere	fw-la	ducere	ducere	0
bigas	bigas	fw-la	bigas	bigas	0
,	,	,	,	,	0
ponere	ponere	fw-la	ponere	ponere	0
domus	domus	fw-la	domus	domus	0
super	super	fw-la	super	super	0
eas	eas	fw-la	eas	eas	0
&	&	cc	&	and	0
deponere	deponere	fw-la	deponere	deponere	0
,	,	,	,	,	0
mungere	mungere	fw-la	mungere	mungere	0
vaccas	vaccas	fw-la	vaccas	vaccas	0
,	,	,	,	,	0
facere	facere	fw-la	facere	facere	0
butirum	butirum	fw-la	butirum	butirum	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
192	192	crd	192	192	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
i	i	sy	i	i	0
193	193	crd	193	193	0
N	N	wd	N	n	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
194	194	crd	194	194	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
196	196	crd	196	196	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
197	197	crd	197	197	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
198	198	crd	198	198	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
200	200	crd	200	200	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
201	201	crd	201	201	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
202	202	crd	202	202	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
203	203	crd	203	203	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
204	204	crd	204	204	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
205	205	crd	205	205	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
207	207	crd	207	207	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
208	208	crd	208	208	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Oceanus	Oceanus	np1	Oceanus	Oceanus	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Presbyter	Presbyter	n1	Presbyter	presbyter	0
Johannes	Johannes	np1	Johannes	Johannes	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Frater	Frater	fw-la	Frater	frater	0
Andreas	Andreas	npg1	Andreas	Andreas	0
in	in	fw-la	in	in	0
Curia	Curia	fw-la	Curia	curia	0
Kencham	Kencham	np1	Kencham	Kencham	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Tartarorum	Tartarorum	fw-la	Tartarorum	tartarorum	0
sedes	sedes	fw-la	sedes	sedes	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Cyngis	Cyngis	n2	Cyngis	cyngi	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Mangu-can	Mangu-can	j	Mangu-can	mangu-can	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
210	210	crd	210	210	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
211	211	crd	211	211	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Frater	Frater	fw-la	Frater	frater	0
Andreas	Andreas	np1	Andreas	Andreas	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
212	212	crd	212	212	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
213	213	crd	213	213	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Astracan	Astracan	jp	Astracan	astracan	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
214	214	crd	214	214	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
lagag	lagag	vvb	lagag	lagag	0
flumen	flumen	n1	flumen	flumen	0
12.	12.	crd	12.	12.	0
dietis	dietis	fw-la	dietis	dietis	0
a	a	pp-f	a	of	0
Volga	Volga	np1	Volga	Volga	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
219	219	crd	219	219	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
221	221	crd	221	221	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Casale	Casale	np1	Casale	Casale	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Frater	Frater	fw-la	Frater	frater	0
Andreas	Andreas	np1	Andreas	Andreas	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Casale	Casale	np1	Casale	Casale	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Aurifodina	Aurifodina	np1	Aurifodina	Aurifodina	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Longissime	Longissime	fw-la	Longissime	longissime	0
a	a	dt	a	a	0
Perside	Perside	n1	Perside	perside	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Contomanni	Contomanni	np1	Contomanni	Contomanni	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
222	222	crd	222	222	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
223	223	crd	223	223	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Jugurespopuli	Jugurespopuli	fw-la	Jugurespopuli	jugurespopuli	0
,	,	,	,	,	0
Idolatrce	Idolatrce	n1	Idolatrce	idolatrce	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Cailac	Cailac	uh	Cailac	cailac	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
224	224	crd	224	224	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
i	i	sy	i	i	0
225	225	crd	225	225	0
p	p	sy	p	p	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
kalendae	kalendae	fw-la	kalendae	kalendae	0
ipsi	ipsi	fw-la	ipsi	ipsi	0
extrahunt	extrahunt	n1	extrahunt	extrahunt	0
praedict	praedict	vvb	predict	predict	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Patria	Patria	fw-la	Patria	patria	0
Presbiteri	Presbiteri	np1	Presbiteri	Presbiteri	0
Johannis	Johannis	np1	Johannis	Johannis	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Boves	Boves	fw-la	Boves	boves	0
pilosis	pilosis	fw-gr	pilosis	pilosis	0
caudis	caudis	fw-la	caudis	caudis	0
:	:	:	:	:	0
his	his	po31	his	his	0
similes	similes	n2	similes	simile	0
sunt	sunt	fw-la	sunt	sunt	0
in	in	p-acp	in	in	0
Quivera	Quivera	np1	Quivera	Quivera	0
America	America	np1	America	America	0
septentrionalis	septentrionalis	fw-la	septentrionalis	septentrionalis	0
provincia	provincia	fw-la	provincia	provincia	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Tangut	Tangut	n1	Tangut	tangut	0
homines	homines	fw-la	homines	homines	0
magni	magni	fw-la	magni	magni	0
sed	sed	fw-la	sed	sed	0
fusci	fusci	fw-la	fusci	fusci	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
-	-	-	-	-	0
.	.	.	.	.	1
....	....	....	....	....	1
Hispanis	Hispanis	np1	Hispanis	Hispanis	0
,	,	,	,	,	0
&	&	cc	&	and	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
227	227	crd	227	227	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
228	228	crd	228	228	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
journal	journal	n1	journal	journal	0
of	of	pp-f	of	of	0
frier	frier	n1	friar	friar	0
William	William	np1	William	William	0
de	de	fw-fr	de	de	0
Rubruquis	Rubruquis	fw-la	Rubruquis	rubruquis	0
a	a	dt	a	a	0
French	French	jp	French	french	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
minorite	minorite	n1	minorite	minorite	0
friers	friers	n2	friars	friar	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
East	East	n1	East	east	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
.	.	.	.	.	1
An.	An.	np1	An.	An.	0
Dom.	Dom.	np1	Dom.	Dom.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1253	1253	crd	1253	1253	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
O	O	sy	O	o	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
Soveraigne	Soveraigne	j-jn	Sovereign	sovereign	0
,	,	,	,	,	0
&	&	cc	&	and	0
most	most	ds	most	most	0
Christian	Christian	njp	Christian	christian	0
Lord	Lord	n1	Lord	lord	0
Lewis	Lewis	np1	Lewis	Lewis	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
grace	grace	n1	grace	grace	0
the	the	dt	the	the	0
renowmed	renowmed	j-vvn	renowned	renown	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
,	,	,	,	,	0
frier	frier	n1	friar	friar	0
William	William	np1	William	William	0
de	de	fw-la	de	de	0
Rubruk	Rubruk	vvd	Rubruk	rubruk	0
,	,	,	,	,	0
the	the	dt	the	the	0
