An	An	dt	And	a	0
ancient	ancient	j	ancient	ancient	0
testimonie	testimonie	n1	testimony	testimony	0
translated	translated	vvn	translated	translate	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
olde	olde	j	old	old	0
Saxon	Saxon	jp	Saxon	saxon	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
containing	containing	vvg	containing	contain	0
among	among	p-acp	among	among	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
the	the	dt	the	the	0
advancement	advancement	n1	advancement	advancement	0
of	of	pp-f	of	of	0
Marchants	Marchants	n2	Merchants	merchant	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
thrise	thrise	av	thrice	thrice	0
crossing	crossing	vvg	crossing	cross	0
the	the	dt	the	the	0
wide	wide	j	wide	wide	0
seas	seas	n2	seas	sea	0
,	,	,	,	,	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
Master	Master	n1	Master	master	0
William	William	np1	William	William	0
Lambert	Lambert	np1	Lambert	Lambert	0
pagina	pagina	fw-la	pagina	pagina	0
500.	500.	crd	500.	500	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
perambulation	perambulation	n1	perambulation	perambulation	0
of	of	pp-f	of	of	0
Kent	Kent	np1	Kent	Kent	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
IT	IT	pn31	IT	it	0
was	was	vbds	was	be	0
sometime	sometime	av	sometime	sometime	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
people	people	n1	people	people	0
and	and	cc	and	and	0
the	the	dt	the	the	0
lawes	lawes	n2	laws	law	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
reputation	reputation	n1	reputation	reputation	0
:	:	:	:	:	0
and	and	cc	and	and	0
then	then	av	then	then	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
wisest	wisest	js	wisest	wise	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
worship-worthy	worship-worthy	j	worshipworthy	worshipworthy	0
,	,	,	,	,	0
every	every	d	every	every	0
one	one	pi	one	one	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
degree	degree	n1	degree	degree	0
:	:	:	:	:	0
Earle	Earle	n1	Earl	earl	0
,	,	,	,	,	0
and	and	cc	and	and	0
Churle	Churle	n1	Churl	churl	0
,	,	,	,	,	0
Thein	Thein	np1	Thein	Thein	0
,	,	,	,	,	0
and	and	cc	and	and	0
under-Thein	under-Thein	j	under-Thein	under-thein	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
a	a	dt	a	a	0
churle	churle	n1	churl	churl	0
thrived	thrived	vvd	thrived	thrive	0
so	so	av	so	so	0
,	,	,	,	,	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
fully	fully	av-j	fully	full	0
five	five	crd	five	five	0
hides	hides	n2	hides	hide	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
land	land	n1	land	land	0
,	,	,	,	,	0
a	a	dt	a	a	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Kitchin	Kitchin	n1	Kitchen	kitchen	0
,	,	,	,	,	0
a	a	dt	a	a	0
Belhouse	Belhouse	n1	Belhouse	belhouse	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
gate	gate	n1	gate	gate	0
,	,	,	,	,	0
a	a	dt	a	a	0
seate	seate	n1	seat	seat	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
severall	severall	j	several	several	0
office	office	n1	office	office	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
hall	hall	n1	hall	hall	0
,	,	,	,	,	0
then	then	av	then	then	0
was	was	vbds	was	be	0
he	he	pns31	he	he	0
thenceforth	thenceforth	av	thenceforth	thenceforth	0
the	the	dt	the	the	0
Theins	Theins	np1	Theins	Theins	0
right	right	av-jn	right	right	0
worthy	worthy	j	worthy	worthy	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
a	a	dt	a	a	0
Thein	Thein	np1	Thein	Thein	0
so	so	av	so	so	0
thrived	thrived	vvd	thrived	thrive	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
served	served	vvd	served	serve	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
his	his	po31	his	his	0
message	message	n1	message	message	0
rid	rid	vvn	rid	rid	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
houshold	houshold	n1	household	household	0
,	,	,	,	,	0
if	if	cs	if	if	0
