The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A	A	dt	A	a	0
Charter	Charter	np1	Charter	Charter	0
graunted	graunted	vvd	granted	grant	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
behalfe	behalfe	n1	behalf	behalf	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Marchants	Marchants	n2	Merchants	merchant	0
of	of	pp-f	of	of	0
Colen	Colen	np1	Colen	Colen	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
twentieth	twentieth	ord	twentieth	twenty	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
third	third	ord	third	three	0
,	,	,	,	,	0
confirmed	confirmed	vvn	confirmed	confirm	0
by	by	p-acp	by	by	0
King	King	n1	King	king	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
extant	extant	j	extant	extant	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
roule	roule	n1	roll	roll	0
of	of	pp-f	of	of	0
Charters	Charters	n2	Charters	charter	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eighteenth	eighteenth	ord	eighteenth	eighteenth	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
first	first	ord	first	first	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
THe	THe	dt	THe	the	0
King	King	n1	King	king	0
unto	unto	p-acp	unto	unto	0
Archbishops	Archbishops	ng1	Archbishop's	archbishop	0
&c.	&c.	av	etc.	etc	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
Be	Be	vbb	Be	be	0
it	it	pn31	it	it	0
knowen	knowen	vvn	known	know	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
quite	quite	av	quite	quite	0
claimed	claimed	vvn	claimed	claim	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
and	and	cc	and	and	0
our	our	po12	our	our	0
heires	heires	n2	heirs	heir	0
released	released	vvn	released	release	0
our	our	po12	our	our	0
welbeloved	welbeloved	j	well-beloved	well-beloved	0
the	the	dt	the	the	0
Citizens	Citizens	n2	Citizens	citizen	0
of	of	pp-f	of	of	0
Colen	Colen	np1	Colen	Colen	0
and	and	cc	and	and	0
their	their	po32	their	their	0
marchandize	marchandize	n1	merchandise	merchandise	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
payment	payment	n1	payment	payment	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
two	two	crd	two	two	0
shillings	shillings	n2	shillings	shilling	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
wont	wont	j	wont	wont	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Gildhall	Gildhall	np1	Gildhall	Gildhall	0
at	at	p-acp	at	at	0
London	London	np1	London	London	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
customes	customes	n2	customs	custom	0
and	and	cc	and	and	0
ancient	ancient	j	ancient	ancient	0
demaunds	demaunds	n2	demands	demand	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
perteine	perteine	vvi	pertain	pertain	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
,	,	,	,	,	0
either	either	av-d	either	either	0
in	in	p-acp	in	in	0
London	London	np1	London	London	0
,	,	,	,	,	0
or	or	cc	or	or	0
CQ^^the	CQ^^the	vvi	CQ^^the	cq^^the	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Dominions	Dominions	n2	Dominions	dominion	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
q^ii	q^ii	fw-la	q^ii	q^ii	0
in	in	p-acp	in	in	0
safely	safely	av-j	safely	safe	0
resort	resort	vvi	resort	resort	0
unto	unto	p-acp	unto	unto	0
Payers	Payers	n2	Payers	payer	0
throughout	throughout	p-acp	throughout	throughout	0
our	our	po12	our	our	0
whole	whole	j-jn	whole	whole	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
,	,	,	,	,	0
London	London	np1	London	London	0
.	.	.	.	.	0
and	and	cc	and	and	0
buy	buy	vvi	buy	buy	0
and	and	cc	and	and	0
sell	sell	vvi	fell	sell	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
.	.	.	.	.	1
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
we	we	pns12	we	we	0
will	will	vmb	will	will	0
and	and	cc	and	and	0
firmely	firmely	av-j	firmly	firm	0
command	command	vvi	command	command	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
and	and	cc	and	and	0
our	our	po12	our	our	0
heires	heires	n2	heirs	heir	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
forenamed	forenamed	j-vvn	forenamed	forename	0
Marchants	Marchants	n2	Merchants	merchant	0
of	of	pp-f	of	of	0
Colen	Colen	np1	Colen	Colen	0
may	may	vmb	may	may	0
enjoy	enjoy	vvi	enjoy	enjoy	0
the	the	dt	the	the	0
liberties	liberties	n2	liberties	liberty	0
and	and	cc	and	and	0
free	free	j	free	free	0
priviledges	priviledges	n2	privileges	privilege	0
above-mentioned	above-mentioned	j	abovementioned	abovementioned	0
,	,	,	,	,	0
throughout	throughout	p-acp	throughout	throughout	0
our	our	po12	our	our	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
323	323	crd	323	323	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
whole	whole	j-jn	whole	whole	0
kingdome	kingdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
.	.	.	.	.	1
Witnesses	Witnesses	n2	Witnesses	witness	0
,	,	,	,	,	0
the	the	dt	the	the	0
reverend	reverend	j-jn	reverend	reverend	0
father	father	n1	father	father	0
Walter	Walter	np1	Walter	Walter	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Carlil	Carlil	np1	Carlil	Carlil	0
,	,	,	,	,	0
William	William	np1	William	William	0
de	de	fw-fr	de	de	0
Ferariis	Ferariis	fw-la	Ferariis	ferariis	0
,	,	,	,	,	0
Gilbert	Gilbert	np1	Gilbert	Gilbert	0
Basset	Basset	np1	Basset	Basset	0
,	,	,	,	,	0
Walter	Walter	np1	Walter	Walter	0
de	de	dt	the	the	0
Beau-champ	Beau-champ	j	Beauchamp	beauchamp	0
,	,	,	,	,	0
Hugh	Hugh	j	Hugh	huge	0
Disspenser	Disspenser	np1	Disspenser	Disspenser	0
,	,	,	,	,	0
Walter	Walter	np1	Walter	Walter	0
Mareseal	Mareseal	np1	Mareseal	Mareseal	0
,	,	,	,	,	0
Geofrie	Geofrie	n1	Geofrie	geofrie	0
Disspensser	Disspensser	np1	Disspensser	Disspensser	0
,	,	,	,	,	0
Bartholomew	Bartholomew	np1	Bartholomew	Bartholomew	0
Peach	Peach	np1	Peach	Peach	0
,	,	,	,	,	0
Bartholomew	Bartholomew	np1	Bartholomew	Bartholomew	0
de	de	fw-fr	de	de	0
Saukevill	Saukevill	np1	Saukevill	Saukevill	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
.	.	.	.	.	1
Given	Given	j-vvn	Given	give	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
reverend	reverend	j-jn	reverend	reverend	0
father	father	n1	father	father	0
Ralph	Ralph	np1	Ralph	Ralph	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Chichester	Chichester	np1	Chichester	Chichester	0
and	and	cc	and	and	0
our	our	po12	our	our	0
Chauncellour	Chauncellour	n1	Chancellor	chancellor	0
at	at	p-acp	at	at	0
Davintre	Davintre	n1	Davintre	davintre	0
,	,	,	,	,	0
the	the	dt	the	the	0
eight	eight	crd	eight	eight	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
November	November	np1	November	November	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
twentieth	twentieth	ord	twentieth	twenty	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
reigne	reigne	n1	reign	reign	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
.	.	.	.	.	1
