Another	Another	j-jn	Another	another	0
branch	branch	n1	branch	branch	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
statute	statute	n1	statute	statute	0
made	made	vvd	made	make	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
tenth	tenth	ord	tenth	ten	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
reigne	reigne	n1	reign	reign	0
of	of	pp-f	of	of	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
sixt	sixt	ord	sixt	sixth	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Marchants	Marchants	n2	Merchants	merchant	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dominions	dominions	n2	dominions	dominion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Denmarke	Denmarke	np1	Denmarke	Denmark	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
ITem	ITem	n1	ITem	item	0
because	because	c-acp	because	because	0
that	that	d	that	that	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
Lord	Lord	n1	Lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
grievous	grievous	j	grievous	grievous	0
complaint	complaint	n1	complaint	complaint	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
made	made	vvd	made	make	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Parliament	Parliament	n1	Parliament	parliament	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
commons	commons	n2	commons	commons	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Parliament	Parliament	n1	Parliament	parliament	0
is	is	vbz	is	be	0
informed	informed	vvn	informed	inform	0
,	,	,	,	,	0
that	that	cst	that	that	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
