Ordinances	Ordinances	n2	Ordinances	ordinance	0
,	,	,	,	,	0
instructions	instructions	n2	instructions	instruction	0
,	,	,	,	,	0
and	and	cc	and	and	0
advertisements	advertisements	n2	advertisements	advertisement	0
of	of	a-acp	of	off	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
direction	direction	n1	direction	direction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
intended	intended	j-vvn	intended	intend	0
voyage	voyage	n1	voyage	voyage	0
for	for	p-acp	for	for	0
Cathay	Cathay	np1	Cathay	Cathay	0
,	,	,	,	,	0
compiled	compiled	vvn	compiled	compile	0
,	,	,	,	,	0
made	made	vvn	made	make	0
,	,	,	,	,	0
and	and	cc	and	and	0
delivered	delivered	vvn	delivered	deliver	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
M.	M.	n1	M.	m.	0
Sebastian	Sebastian	np1	Sebastian	Sebastian	0
Cabota	Cabota	np1	Cabota	Cabota	0
Esquier	Esquier	n1	Esquire	esquire	0
,	,	,	,	,	0
governour	governour	n1	governor	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mysterie	mysterie	n1	mystery	mystery	0
and	and	cc	and	and	0
companie	companie	n1	company	company	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Marchants	Marchants	ng1	Merchants	merchant	0
adventurers	adventurers	n2	adventurers	adventurer	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
discoverie	discoverie	n1	discovery	discovery	0
of	of	pp-f	of	of	0
Regions	Regions	n2	Regions	region	0
,	,	,	,	,	0
Dominions	Dominions	n2	Dominions	dominion	0
,	,	,	,	,	0
Islands	Islands	n2	Islands	island	0
and	and	cc	and	and	0
places	places	n2	places	place	0
un-knowen	un-knowen	j	unknown	unknown	0
,	,	,	,	,	0
the	the	dt	the	the	0
9.	9.	crd	9.	9	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
May	May	np1	May	May	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
God	God	np1	God	God	0
1553.	1553.	crd	1553.	1553.	0
an^	an^	zz	an^	an^	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
7.	7.	crd	7.	7.	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
reigne	reigne	n1	reign	reign	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
dread	dread	j	dread	dread	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
Lord	Lord	n1	Lord	lord	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
6.	6.	crd	6.	6.	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
Fraunce	Fraunce	np1	Fraunce	France	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
defender	defender	n1	defender	defender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
earth	earth	n1	earth	earth	0
supreame	supreame	j	supreme	supreme	0
head	head	n1	head	head	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Irst	Irst	vvb	Irst	irst	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
general	general	n1	general	general	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
pilot	pilot	n1	pilot	pilot	0
major	major	j	major	major	0
,	,	,	,	,	0
the	the	dt	the	the	0
masters	masters	n2	master's	master	0
,	,	,	,	,	0
marchants	marchants	n2	merchants	merchant	0
&	&	cc	&	and	0
other	other	j-jn	other	other	0
officers	officers	n2	officers	officer	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
so	so	av	so	so	0
knit	knit	vvn	knit	knit	0
and	and	cc	and	and	0
accorded	accorded	vvn	accorded	accord	0
in	in	p-acp	in	in	0
unitie	unitie	n1	unity	unity	0
,	,	,	,	,	0
love	love	n1	love	love	0
,	,	,	,	,	0
conformitie	conformitie	n1	conformity	conformity	0
,	,	,	,	,	0
and	and	cc	and	and	0
obedience	obedience	n1	obedience	obedience	0
in	in	p-acp	in	in	0
every	every	d	every	every	0
degree	degree	n1	degree	degree	0
on	on	p-acp	on	on	0
all	all	d	all	all	0
sides	sides	n2	sides	side	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
dissention	dissention	n1	dissension	dissension	0
,	,	,	,	,	0
variance	variance	n1	variance	variance	0
,	,	,	,	,	0
or	or	cc	or	or	0
contention	contention	n1	contention	contention	0
may	may	vmb	may	may	0
rise	rise	vvi	rise	rise	0
or	or	cc	or	or	0
spring	spring	vvi	spring	spring	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
them	them	pno32	them	they	0
and	and	cc	and	and	0
the	the	dt	the	the	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
mariners	mariners	n2	mariners	mariner	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
companie	companie	n1	company	company	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
damage	damage	n1	damage	damage	0
or	or	cc	or	or	0
hinderance	hinderance	n1	hindrance	hindrance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
dissention	dissention	n1	dissension	dissension	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
many	many	d	many	many	0
experiences	experiences	n2	experiences	experience	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
overthrown	overthrown	vvn	overthrown	overthrow	0
many	many	d	many	many	0
notable	notable	j	notable	notable	0
intended	intended	j-vvn	intended	intend	0
and	and	cc	and	and	0
likely	likely	j	likely	likely	0
enterprises	enterprises	n2	enterprises	enterprise	0
and	and	cc	and	and	0
exploits	exploits	n2	exploits	exploit	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
2	2	crd	2	2	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
every	every	d	every	every	0
person	person	n1	person	person	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
an	an	dt	and	a	0
othe	othe	n1	other	oath	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
true	true	j	true	true	0
,	,	,	,	,	0
faithfull	faithfull	j	faithful	faithful	0
,	,	,	,	,	0
and	and	cc	and	and	0
loial	loial	j	loyal	loyal	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
liege	liege	n1	liege	liege	0
men	men	n2	men	man	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
kings	kings	n2	kings	king	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
his	his	po31	his	his	0
heires	heires	n2	heirs	heir	0
and	and	cc	and	and	0
successors	successors	n2	successors	successor	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
observation	observation	n1	observation	observation	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
lawes	lawes	n2	laws	law	0
&	&	cc	&	and	0
statutes	statutes	n2	statutes	statute	0
,	,	,	,	,	0
made	made	vvn	made	make	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
preservation	preservation	n1	preservation	preservation	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
&	&	cc	&	and	0
his	his	po31	his	his	0
crown	crown	n1	crown	crown	0
Imperiali	Imperiali	np1	Imperiali	Imperiali	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
realmes	realmes	n2	realms	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
his	his	po31	his	his	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
present	present	j	present	present	0
voyage	voyage	n1	voyage	voyage	0
truely	truely	av-j	truly	true	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
intermit	intermit	vvi	intermit	intermit	0
,	,	,	,	,	0
or	or	cc	or	or	0
leave	leave	vvb	leave	leave	0
off	off	a-acp	off	off	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
voyage	voyage	n1	voyage	voyage	0
and	and	cc	and	and	0
enterprise	enterprise	n1	enterprise	enterprise	0
untill	untill	c-acp	until	until	0
it	it	pn31	it	it	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
accomplished	accomplished	vvn	accomplished	accomplish	0
,	,	,	,	,	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
forth	forth	av	forth	forth	0
as	as	p-acp	as	as	0
possibilitie	possibilitie	n1	possibility	possibility	0
and	and	cc	and	and	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
195	195	crd	195	195	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A.D.	A.D.	np1	A.D.	A.D.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1553	1553	crd	1553	1553	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
man	man	n1	man	man	0
may	may	vmb	may	may	0
serve	serve	vvi	serve	serve	0
or	or	cc	or	or	0
extend	extend	vvi	extend	extend	0
:	:	:	:	:	0
Therfore	Therfore	av	Therefore	therefore	0
it	it	pn31	it	it	0
behoveth	behoveth	vvz	behooveth	behoove	0
every	every	d	every	every	0
person	person	n1	person	person	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
degree	degree	n1	degree	degree	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
for	for	c-acp	for	for	0
conscience	conscience	n1	conscience	conscience	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
dueties	dueties	n2	duties	duty	0
sake	sake	n1	sake	sake	0
to	to	pc-acp	to	to	0
remember	remember	vvi	remember	remember	0
his	his	po31	his	his	0
said	said	j-vvn	said	say	0
charge	charge	n1	charge	charge	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
accomplishment	accomplishment	n1	accomplishment	accomplishment	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
3	3	crd	3	3	0
