Necessarie	Necessarie	j	Necessary	necessary	0
notes	notes	n2	notes	note	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
observed	observed	vvn	observed	observe	0
,	,	,	,	,	0
and	and	cc	and	and	0
followed	followed	vvd	followed	follow	0
in	in	p-acp	in	in	0
discoverie	discoverie	n1	discovery	discovery	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
hereafter	hereafter	av	hereafter	hereafter	0
followeth	followeth	vvz	follows	follow	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
your	your	po22	your	your	0
barke	barke	n1	bark	bark	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
furniture	furniture	n1	furniture	furniture	0
and	and	cc	and	and	0
necessaries	necessaries	n2-j	necessaries	necessary	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
readinesse	readinesse	n1	readiness	readiness	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
depart	depart	vvi	depart	depart	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
:	:	:	:	:	0
be	be	vbb	be	be	0
that	that	d	that	that	0
you	you	pn22	you	you	0
take	take	vvb	take	take	0
your	your	po22	your	your	0
barke	barke	n1	bark	bark	0
at	at	p-acp	at	at	0
S.	S.	n1	S.	saint	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
Dwina	Dwina	np1	Dwina	Dwina	0
Reca	Reca	np1	Reca	Reca	0
)	)	)	)	)	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
even	even	av	even	even	0
as	as	c-acp	as	as	0
timely	timely	j	timely	timely	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
spring	spring	n1	spring	spring	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
yce	yce	n1	ice	ice	0
will	will	vmb	will	will	0
permit	permit	vvi	permit	permit	0
you	you	pn22	you	you	0
,	,	,	,	,	0
saile	saile	n1	sail	sail	0
,	,	,	,	,	0
&	&	cc	&	and	0
make	make	vvi	make	make	0
all	all	d	all	all	0
expedition	expedition	n1	expedition	expedition	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
river	river	n1	river	river	0
Pechora	Pechora	np1	Pechora	Pechora	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
commission	commission	n1	commission	commission	0
doth	doth	vdz	does	do	0
leade	leade	vvi	lead	lead	0
you	you	pn22	you	you	0
)	)	)	)	)	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
passe	passe	vvb	pass	pass	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
all	all	av-d	all	all	0
alongst	alongst	av	alongst	along	0
(	(	(	(	(	0
notwithstanding	notwithstanding	c-acp	notwithstanding	notwithstanding	0
the	the	dt	the	the	0
plat	plat	n1	plate	plat	0
that	that	cst	that	that	0
sheweth	sheweth	vvz	shows	show	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
description	description	n1	description	description	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
coast	coast	n1	coast	coast	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Dwina	Dwina	np1	Dwina	Dwina	0
unto	unto	p-acp	unto	unto	0
Vaigats	Vaigats	n2	Vaigats	vaigat	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
seeke	seeke	vvi	seek	seek	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
the	the	dt	the	the	0
meanes	meanes	n2	means	mean	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
amend	amend	vvi	amend	amend	0
the	the	dt	the	the	0
same	same	d	same	same	0
plat	plat	n1	plate	plat	0
,	,	,	,	,	0
using	using	vvg	using	use	0
as	as	p-acp	as	as	0
many	many	d	many	many	0
observations	observations	n2	observations	observation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
possibly	possibly	av-j	possibly	possible	0
can	can	vmb	can	can	0
do	do	vdi	do	do	0
:	:	:	:	:	0
and	and	cc	and	and	0
these	these	d	these	these	0
notes	notes	n2	notes	note	0
following	following	vvg	following	follow	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
observed	observed	vvn	observed	observe	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
principally	principally	av-jn	principally	principal	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1	1	crd	1	1	0
First	First	ord	First	first	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
observe	observe	vvi	observe	observe	0
the	the	dt	the	the	0
latitude	latitude	n1	latitude	latitude	0
as	as	c-acp	as	as	0
often	often	av	often	often	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
as	as	p-acp	as	as	0
many	many	d	many	many	0
places	places	n2	places	place	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
possibly	possibly	av-j	possibly	possible	0
do	do	vdi	do	do	0
it	it	pn31	it	it	0
,	,	,	,	,	0
noting	noting	vvg	noting	note	0
diligently	diligently	av-j	diligently	diligent	0
the	the	dt	the	the	0
place	place	n1	place	place	0
where	where	c-crq	where	where	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
so	so	av	so	so	0
observe	observe	vvi	observe	observe	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
2	2	crd	2	2	0
Also	Also	av	Also	also	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
doe	doe	vdb	do	do	0
diligently	diligently	av-j	diligently	diligent	0
set	set	vvn	set	set	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
compasse	compasse	n1	compass	compass	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
the	the	dt	the	the	0
land	land	n1	land	land	0
doth	doth	vdz	does	do	0
lie	lie	vvi	lie	lie	0
from	from	p-acp	from	from	0
point	point	n1	point	point	0
to	to	pc-acp	to	to	0
point	point	vvi	point	point	0
,	,	,	,	,	0
all	all	d	all	all	0
alongst	alongst	p-acp	alongst	alongst	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
122	122	crd	122	122	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
goe	goe	vvb	go	go	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
use	use	vvi	use	use	0
your	your	po22	your	your	0
judgements	judgements	n2	judgements	judgement	0
how	how	c-crq	how	how	0
farre	farre	av-j	far	far	0
there	there	a-acp	there	there	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
betweene	betweene	p-acp	between	between	0
ech	ech	d	each	each	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
3	3	crd	3	3	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
alwayes	alwayes	av	always	always	0
use	use	vvi	use	use	0
to	to	pc-acp	to	to	0
draw	draw	vvi	draw	draw	0
the	the	dt	the	the	0
proportion	proportion	n1	proportion	proportion	0
and	and	cc	and	and	0
biting	biting	n-vvg	biting	bite	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
land	land	n1	land	land	0
,	,	,	,	,	0
aswell	aswell	p-acp	aswell	aswell	0
the	the	dt	the	the	0
lying	lying	vvg	lying	lie	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
points	points	n2	points	point	0
,	,	,	,	,	0
and	and	cc	and	and	0
headlands	headlands	n2	headlands	headland	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
give	give	vvi	give	give	0
some	some	d	some	some	0
apt	apt	j	apt	apt	0
names	names	n2	names	name	0
(	(	(	(	(	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
discretion	discretion	n1	discretion	discretion	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
the	the	dt	the	the	0
forme	forme	n1	form	form	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Bayes	Bayes	n2	Baize	bay	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
some	some	d	some	some	0
marke	marke	n1	mark	mark	0
in	in	p-acp	in	in	0
drawing	drawing	vvg	drawing	draw	0
the	the	dt	the	the	0
forme	forme	n1	form	form	0
,	,	,	,	,	0
and	and	cc	and	and	0
border	border	n1	border	border	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
high	high	j	high	high	0
cliffes	cliffes	n2	cliffs	cliff	0
are	are	vbr	are	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
where	where	c-crq	where	where	0
low	low	j	low	low	0
land	land	n1	land	land	0
is	is	vbz	is	be	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
sandy	sandy	j	sandy	sandy	0
hilles	hilles	n2	hills	hill	0
,	,	,	,	,	0
or	or	cc	or	or	0
whatsoever	whatsoever	c-crq	whatsoever	whatsoever	0
:	:	:	:	:	0
omit	omit	vvb	omit	omit	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
note	note	vvi	note	note	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
sensible	sensible	j	sensible	sensible	0
and	and	cc	and	and	0
apparant	apparant	j	apparent	apparent	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
may	may	vmb	may	may	0
serve	serve	vvi	serve	serve	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
purpose	purpose	n1	purpose	purpose	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
4	4	crd	4	4	0
In	In	p-acp	In	in	0
passing	passing	vvg	passing	pass	0
