A	A	dt	A	a	0
branch	branch	n1	branch	branch	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
letter	letter	n1	letter	letter	0
from	from	p-acp	from	from	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Merick	Merick	np1	Merick	Merick	0
,	,	,	,	,	0
Agent	Agent	n1	Agent	agent	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Moscovie	Moscovie	np1	Moscovie	Moscovie	0
company	company	n1	company	company	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
closed	closed	vvn	closed	close	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Mosco	Mosco	np1	Mosco	Moscow	0
the	the	dt	the	the	0
14.	14.	crd	14.	14.	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
,	,	,	,	,	0
Anno	Anno	fw-la	Anno	anno	0
1597.	1597.	crd	1597.	1597.	0
touching	touching	j-vvg	touching	touch	0
the	the	dt	the	the	0
death	death	n1	death	death	0
of	of	pp-f	of	of	0
Pheodor	Pheodor	np1	Pheodor	Pheodor	0
Ivanowich	Ivanowich	np1	Ivanowich	Ivanowich	0
late	late	j	late	late	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
10.	10.	crd	10.	10.	1
Febr.	Febr.	np1	Febr.	Febr.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1597	1597	crd	1597	1597	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Aving	Aving	vhg	Aving	ave	0
thus	thus	av	thus	thus	0
farre	farre	av-j	far	far	0
proceeded	proceeded	vvn	proceeded	proceed	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
my	my	po11	my	my	0
answere	answere	n1	answer	answer	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
chiefest	chiefest	js-jn	chiefest	chief	0
points	points	n2	points	point	0
of	of	pp-f	of	of	0
