A	A	dt	A	a	0
briefe	briefe	j	brief	brief	0
and	and	cc	and	and	0
true	true	j	true	true	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Honorable	Honorable	j	Honourable	honourable	0
voyage	voyage	n1	voyage	voyage	0
unto	unto	p-acp	unto	unto	0
Cadiz	Cadiz	np1	Cadiz	Cadiz	0
,	,	,	,	,	0
1596.	1596.	crd	1596.	1596.	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
overthrow	overthrow	n1	overthrow	overthrow	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
Fleet	Fleet	n1	Fleet	fleet	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
winning	winning	j-vvg	winning	win	0
,	,	,	,	,	0
sacking	sacking	vvg	sacking	sack	0
,	,	,	,	,	0
and	and	cc	and	and	0
burning	burning	vvg	burning	burn	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
accidents	accidents	n2	accidents	accident	0
of	of	pp-f	of	of	0
moment	moment	n1	moment	moment	0
,	,	,	,	,	0
thereunto	thereunto	av	thereunto	thereunto	0
appertaining	appertaining	vvg	appertaining	appertain	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Fter	Fter	jc	Fter	ft	0
that	that	cst	that	that	0
the	the	dt	the	the	0
two	two	crd	two	two	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
and	and	cc	and	and	0
Renowmed	Renowmed	j-vvn	Renowned	renown	0
Lords	Lords	n2	Lords	lord	0
Generals	Generals	n2	Generals	general	0
:	:	:	:	:	0
The	The	dt	The	the	0
L.	L.	n1	L.	lord	0
Robert	Robert	np1	Robert	Robert	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Essex	Essex	np1	Essex	Essex	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
L.	L.	n1	L.	lord	0
Charles	Charles	np1	Charles	Charles	0
Howard	Howard	np1	Howard	Howard	0
L.	L.	n1	L.	lord	0
High	High	j	High	high	0
Admirall	Admirall	n1	Admiral	admiral	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
come	come	vvn	come	come	0
unto	unto	p-acp	unto	unto	0
Plymmouth	Plymmouth	np1	Plymmouth	Plymmouth	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
