Mention	Mention	np1	Mention	Mention	0
made	made	vvd	made	make	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
Godericus	Godericus	np1	Godericus	Godericus	0
,	,	,	,	,	0
a	a	dt	a	a	0
valiant	valiant	j	valiant	valiant	0
Englishman	Englishman	np1	Englishman	Englishman	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
ships	ships	n2	ships	ship	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
land	land	n1	land	land	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
second	second	ord	second	second	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
Bald	Bald	j	Bald	bald	0
wine	wine	n1	wine	wine	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
third	third	ord	third	three	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
BUt	BUt	cc-acp	BUt	but	0
seven	seven	crd	seven	seven	0
dayes	dayes	n2	days	day	0
afterward	afterward	av	afterwards	afterward	0
,	,	,	,	,	0
the	the	dt	the	the	0
King	King	n1	King	king	0
comming	comming	vvg	coming	come	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
of	of	pp-f	of	of	0
Assur	Assur	np1	Assur	Assur	0
entred	entred	vvd	entered	enter	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
shippe	shippe	n1	ship	ship	0
called	called	vvd	called	call	0
a	a	dt	a	a	0
Busse	Busse	n1	Buss	buss	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
Godericke	Godericke	np1	Godericke	Godericke	0
a	a	dt	a	a	0
pirate	pirate	n1	pirate	pirate	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kingdome	kingdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
fastening	fastening	vvg	fastening	fasten	0
his	his	po31	his	his	0
banner	banner	n1	banner	banner	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
toppe	toppe	n1	top	top	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
speare	speare	n1	spear	spear	0
,	,	,	,	,	0
and	and	cc	and	and	0
holding	holding	vvg	holding	hold	0
it	it	pn31	it	it	0
up	up	a-acp	up	up	0
aloft	aloft	av	aloft	aloft	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
aire	aire	n1	air	air	0
against	against	p-acp	against	against	0
297	297	crd	297	297	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
the	the	dt	the	the	0
beames	beames	n2	beams	beam	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sunne	Sunne	n1	Sun	sun	0
,	,	,	,	,	0
sailed	sailed	vvd	sailed	sail	0
unto	unto	p-acp	unto	unto	0
Japhet	Japhet	np1	Japhet	Japhet	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
small	small	j	small	small	0
company	company	n1	company	company	0
;	;	;	;	;	0
That	That	cst	That	that	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
Citizens	Citizens	n2	Citizens	citizen	0
there	there	a-acp	there	there	0
seeing	seeing	vvg	seeing	see	0
this	this	d	this	this	0
his	his	po31	his	his	0
banner	banner	n1	banner	banner	0
,	,	,	,	,	0
might	might	vmd	might	may	0
conceive	conceive	vvi	conceive	conceive	0
hope	hope	n1	hope	hope	0
that	that	cst	that	that	0
the	the	dt	the	the	0
King	King	n1	King	king	0
was	was	vbds	was	be	0
yet	yet	av	yet	yet	0
living	living	vvg	living	live	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
not	not	xx	not	not	0
easily	easily	av-j	easily	easy	0
terrified	terrified	vvn	terrified	terrify	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
threates	threates	n2	threats	threat	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
might	might	vmd	might	may	0
shamefully	shamefully	av-j	shamefully	shameful	0
runne	runne	vvi	run	run	0
away	away	av	away	away	0
,	,	,	,	,	0
or	or	cc	or	or	0
be	be	vbi	be	be	0
constrained	constrained	vvn	constrained	constrain	0
to	to	pc-acp	to	to	0
yeeld	yeeld	vvi	yield	yield	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
hee	hee	pns31	he	he	0
knew	knew	vvd	knew	know	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
very	very	av	very	very	0
much	much	av-d	much	much	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
life	life	n1	life	life	0
and	and	cc	and	and	0
safetie	safetie	n1	safety	safety	0
.	.	.	.	.	1
The	The	dt	The	the	0
Saracens	Saracens	np2	Saracens	Saracen	0
seeing	seeing	vvg	seeing	see	0
and	and	cc	and	and	0
knowing	knowing	vvg	knowing	know	0
this	this	d	this	this	0
his	his	po31	his	his	0
banner	banner	n1	banner	banner	0
,	,	,	,	,	0
that	that	cst	that	that	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
which	which	r-crq	which	which	0
environed	environed	vvd	environed	environ	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
by	by	p-acp	by	by	0
water	water	n1	water	water	0
made	made	vvn	made	make	0
towards	towards	p-acp	towards	towards	0
him	him	pno31	him	he	0
with	with	p-acp	with	with	0
twentie	twentie	crd	twentie	twenty	0
Gallies	Gallies	n2	Galleys	galley	0
and	and	cc	and	and	0
thirteene	thirteene	crd	thirteene	thirteen	0
shippes	shippes	n2	ships	ship	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
commonly	commonly	av-j	commonly	common	0
cal	cal	vvb	call	call	0
Cazh	Cazh	np1	Cazh	Cazh	0
,	,	,	,	,	0
seeking	seeking	vvg	seeking	seek	0
to	to	pc-acp	to	to	0
inclose	inclose	vvi	enclose	enclose	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
shippe	shippe	n1	ship	ship	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
helpe	helpe	n1	help	help	0
the	the	dt	the	the	0
billowes	billowes	n2	billows	billow	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sea	Sea	n1	Sea	sea	0
swelling	swelling	vvg	swelling	swell	0
and	and	cc	and	and	0
raging	raging	vvg	raging	rage	0
against	against	p-acp	against	against	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
