A	A	dt	A	a	0
note	note	n1	note	note	0
drawen	drawen	vvn	drawn	draw	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
very	very	j	very	very	0
ancient	ancient	j	ancient	ancient	0
booke	booke	n1	book	book	0
remaining	remaining	vvg	remaining	remain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
M.	M.	n1	M.	m.	0
Thomas	Thomas	np1	Thomas	Thomas	0
Tilney	Tilney	np1	Tilney	Tilney	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
Sir	Sir	n1	Sir	sir	0
Frederike	Frederike	np1	Frederike	Frederike	0
Tilney	Tilney	np1	Tilney	Tilney	0
his	his	po31	his	his	0
ancestor	ancestor	n1	ancestor	ancestor	0
,	,	,	,	,	0
knighted	knighted	vvn	knighted	knight	0
at	at	p-acp	at	at	0
Aeon	Aeon	np1	Aeon	Aeon	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
land	land	n1	land	land	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
valour	valour	n1	valour	valour	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
K.	K.	n1	K.	king	0
Richard	Richard	np1	Richard	Richard	0
the	the	dt	the	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
foloweth	foloweth	vvz	followeth	follow	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
THis	THis	d	THis	this	0
booke	booke	n1	book	book	0
pertained	pertained	vvd	pertained	pertain	0
in	in	p-acp	in	in	0
times	times	n2	times	time	0
past	past	vvn	passed	pass	0
unto	unto	p-acp	unto	unto	0
Sir	Sir	n1	Sir	sir	0
Frederick	Frederick	np1	Frederick	Frederick	0
Tilney	Tilney	np1	Tilney	Tilney	0
of	of	pp-f	of	of	0
Boston	Boston	np1	Boston	Boston	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Countie	Countie	n1	County	county	0
of	of	pp-f	of	of	0
Lincolne	Lincolne	np1	Lincolne	Lincoln	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
knighted	knighted	vvn	knighted	knight	0
at	at	p-acp	at	at	0
Aeon	Aeon	np1	Aeon	Aeon	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Jurie	Jurie	n1	Jury	jury	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
third	third	ord	third	three	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
reigne	reigne	n1	reign	reign	0
of	of	pp-f	of	of	0
king	king	n1	king	king	0
Richard	Richard	np1	Richard	Richard	0
the	the	dt	the	the	0
first	first	ord	first	first	0
.	.	.	.	.	1
This	This	d	This	this	0
knight	knight	n1	knight	knight	0
was	was	vbds	was	be	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
tall	tall	j	tall	tall	0
stature	stature	n1	stature	stature	0
,	,	,	,	,	0
and	and	cc	and	and	0
strong	strong	j	strong	strong	0
of	of	pp-f	of	of	0
body	body	n1	body	body	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
resteth	resteth	vvz	rests	rest	0
interred	interred	vvn	interred	inter	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
forefathers	forefathers	n2	forefathers	forefather	0
at	at	p-acp	at	at	0
Tirrington	Tirrington	np1	Tirrington	Tirrington	0
,	,	,	,	,	0
neere	neere	av-j	near	near	0
unto	unto	p-acp	unto	unto	0
a	a	dt	a	a	0
towne	towne	n1	town	town	0
in	in	p-acp	in	in	0
Marshland	Marshland	np1	Marshland	Marshland	0
called	called	vvd	called	call	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
name	name	n1	name	name	0
Tilney	Tilney	np1	Tilney	Tilney	0
.	.	.	.	.	1
The	The	dt	The	the	0
just	just	j	just	just	0
height	height	n1	height	height	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
knight	knight	n1	knight	knight	0
is	is	vbz	is	be	0
there	there	a-acp	there	there	0
kept	kept	vvn	kept	keep	0
in	in	p-acp	in	in	0
safe	safe	j	safe	safe	0
custody	custody	n1	custody	custody	0
untill	untill	c-acp	until	until	0
this	this	d	this	this	0
very	very	j	very	very	0
day	day	n1	day	day	0
.	.	.	.	.	1
Also	Also	av	Also	also	0
,	,	,	,	,	0
after	after	c-acp	after	after	0
this	this	d	this	this	0
mans	mans	ng1	men	man	0
decease	decease	n1	decease	decease	0
,	,	,	,	,	0
the	the	dt	the	the	0
inheritance	inheritance	n1	inheritance	inheritance	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
landes	landes	n2	lands	land	0
fell	fell	vvd	fell	fall	0
successively	successively	av-j	successively	successive	0
unto	unto	p-acp	unto	unto	0
342	342	crd	342	342	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
sixteene	sixteene	crd	sixteene	sixteen	0
sundry	sundry	j	sundry	sundry	0
knights	knights	n2	knights	knight	0
called	called	vvd	called	call	0
all	all	d	all	all	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Tilney	Tilney	np1	Tilney	Tilney	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
dwelt	dwelt	vvd	dwelled	dwell	0
alwayes	alwayes	av	always	always	0
,	,	,	,	,	0
one	one	pi	one	one	0
after	after	p-acp	after	after	0
another	another	n-jn	another	another	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
