A	A	dt	A	a	0
briefe	briefe	j	brief	brief	0
description	description	n1	description	description	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hand	Hand	n1	Hand	hand	0
of	of	pp-f	of	of	0
Cyprus	Cyprus	np1	Cyprus	Cyprus	0
:	:	:	:	:	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
Venetians	Venetians	njp2	Venetians	venetian	0
title	title	n1	title	title	0
why	why	c-crq	why	why	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
so	so	av	so	so	0
long	long	av-j	long	long	0
enjoyed	enjoyed	vvd	enjoyed	enjoy	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
the	the	dt	the	the	0
Turks	Turks	n2	Turks	turk	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
now	now	av	now	now	0
he	he	pns31	he	he	0
claimeth	claimeth	vvz	claimeth	claim	0
it	it	pn31	it	it	0
,	,	,	,	,	0
may	may	vmb	may	may	0
plainly	plainly	av-j	plainly	plain	0
appeare	appeare	vvi	appear	appear	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
ESTgjlHe	ESTgjlHe	fw-it	ESTgjlHe	estgjlhe	0
Hand	Hand	n1	Hand	hand	0
of	of	pp-f	of	of	0
Cyprus	Cyprus	np1	Cyprus	Cyprus	0
is	is	vbz	is	be	0
invironed	invironed	vvn	environed	environ	0
with	with	p-acp	with	with	0
divers	divers	j	diverse	diverse	0
seas	seas	n2	seas	sea	0
:	:	:	:	:	0
f°r	f°r	vvb	f°r	f°r	0
Westward	Westward	av	Westward	westward	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
washed	washed	vvn	washed	wash	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
called	called	vvn	called	call	0
SmhShI	SmhShI	fw-la	SmhShI	smhshi	0
Pamphilium	Pamphilium	fw-la	Pamphilium	pamphilium	0
:	:	:	:	:	0
Southward	Southward	av-j	Southward	southward	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
TEgyptium	TEgyptium	np1	TEgyptium	TEgyptium	0
:	:	:	:	:	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
East	East	n1	East	east	0
part	part	n1	part	part	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
Syrium	Syrium	np1	Syrium	Syrium	0
:	:	:	:	:	0
and	and	cc	and	and	0
Northward	Northward	av-j	Northward	northward	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
called	called	vvn	called	call	0
Cilicium	Cilicium	np1	Cilicium	Cilicium	0
.	.	.	.	.	1
The	The	dt	The	the	0
which	which	r-crq	which	which	0
Hand	Hand	n1	Hand	hand	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
past	past	vvn	passed	pass	0
had	had	vhd	had	have	0
divers	divers	j	diverse	diverse	0
names	names	n2	names	name	0
:	:	:	:	:	0
called	called	vvd	called	call	0
once	once	a-acp	once	once	0
Acamantis	Acamantis	np1	Acamantis	Acamantis	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Sabellicus	Sabellicus	np1	Sabellicus	Sabellicus	0
witnesseth	witnesseth	vvz	witnesseth	witness	0
.	.	.	.	.	1
Philonides	Philonides	np1	Philonides	Philonides	0
maketh	maketh	vv2	makes	make	0
mention	mention	n1	mention	mention	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
called	called	vvn	called	call	0
sometime	sometime	av	sometime	sometime	0
Cerasis	Cerasis	n1	Cerasis	cerasis	0
.	.	.	.	.	1
Xenogoras	Xenogoras	np1	Xenogoras	Xenogoras	0
writeth	writeth	vvz	writeth	write	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
named	named	vvn	nam	name	0
Aspelia	Aspelia	np1	Aspelia	Aspelia	0
,	,	,	,	,	0
Amathusa	Amathusa	np1	Amathusa	Amathusa	0
,	,	,	,	,	0
&	&	cc	&	and	0
Macaria	Macaria	np1	Macaria	Macaria	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
times	times	n2	times	time	0
past	past	p-acp	passed	past	0
fifteene	fifteene	crd	fifteene	fifteen	0
cities	cities	n2	cities	city	0
or	or	cc	or	or	0
famous	famous	j	famous	famous	0
townes	townes	n2	towns	town	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
now	now	av	now	now	0
very	very	av	very	very	0
few	few	d	few	few	0
,	,	,	,	,	0
