Notes	Notes	np1	Notes	Notes	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
trade	trade	n1	trade	trade	0
of	of	pp-f	of	of	0
Alger	Alger	np1	Alger	Alger	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
money	money	n1	money	money	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
coined	coined	vvn	coined	coin	0
in	in	p-acp	in	in	0
Alger	Alger	np1	Alger	Alger	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
called	called	vvn	called	call	0
Asiano	Asiano	np1	Asiano	Asiano	0
,	,	,	,	,	0
&	&	cc	&	and	0
Doublaes	Doublaes	npg1	Doublaes	doublaes	0
,	,	,	,	,	0
and	and	cc	and	and	0
two	two	crd	two	two	0
Doublaes	Doublaes	n2	Doubla's	doubla	0
make	make	vvb	make	make	0
an	an	dt	and	a	0
Asiano	Asiano	np1	Asiano	Asiano	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
th	th	cst	that	that	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
Doubla	Doubla	np1	Doubla	Doubla	0
there	there	a-acp	there	there	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Asper	Asper	np1-n	Asper	asper	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
good	good	j	good	good	0
by	by	p-acp	by	by	0
halfe	halfe	n-jn	half	half	0
&	&	cc	&	and	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Chekin	Chekin	fw-mi	Chekin	chekin	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
of	of	pp-f	of	of	0
270	270	crd	270	270	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
e	e	sy	e	e	0
Doubla	Doubla	np1	Doubla	Doubla	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
used	used	vvn	used	use	0
,	,	,	,	,	0
be	be	vbb	be	be	0
sold	sold	vvn	sold	sell	0
by	by	p-acp	by	by	0
Doublaes	Doublaes	npg1	Doublaes	doublaes	0
,	,	,	,	,	0
is	is	vbz	is	be	0
fiftie	fiftie	crd	fiftie	fifty	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Aspers	Aspers	ng1	Aspers	asper	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1584.	1584.	crd	1584.	1584.	0
the	the	dt	the	the	0
Turkes	Turkes	n2	Turks	turk	0
made	made	vvn	made	make	0
at	at	p-acp	at	at	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
is	is	vbz	is	be	0
at	at	p-acp	at	at	0
Alger	Alger	np1	Alger	Alger	0
worth	worth	n1	worth	worth	0
an	an	dt	and	a	0
150.	150.	crd	150.	150.	1
Aspers	Aspers	ng1	Aspers	asper	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
66.	66.	crd	66.	66.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Aspers	Aspers	ng1	Aspers	asper	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
pistolet	pistolet	n1	pistolet	pistolet	0
and	and	cc	and	and	0
roials	roials	n2	royals	royal	0
of	of	pp-f	of	of	0
plate	plate	n1	plate	plate	0
are	are	vbr	are	be	0
most	most	av-ds	most	most	0
currant	currant	n1	currant	currant	0
there	there	a-acp	there	there	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
said	said	j-vvn	said	say	0
pistolet	pistolet	n1	pistolet	pistolet	0
goeth	goeth	vvz	goes	go	0
for	for	p-acp	for	for	0
130.	130.	crd	130.	130.	1
Aspers	Aspers	ng1	Aspers	asper	0
there	there	zz	there	there	0
:	:	:	:	:	0
&	&	cc	&	and	0
the	the	dt	the	the	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
4.	4.	crd	4.	4.	0
roials	roials	n2	royals	royal	0
goeth	goeth	vvz	goes	go	0
for	for	p-acp	for	for	0
40.	40.	crd	40.	40.	1
Aspers	Aspers	ng1	Aspers	asper	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
oftentimes	oftentimes	av	oftentimes	oftentimes	0
is	is	vbz	is	be	0
sold	sold	vvn	sold	sell	0
for	for	p-acp	for	for	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
men	men	n2	men	man	0
need	need	vvb	need	need	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
cary	cary	vvi	carry	carry	0
up	up	a-acp	up	up	0
into	into	p-acp	into	into	0
Turkie	Turkie	n1	Turkey	turquoise	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Their	Their	po32	Their	their	0
Asianos	Asianos	np1	Asianos	Asianos	0
and	and	cc	and	and	0
Doublaes	Doublaes	np1	Doublaes	Doublaes	0
are	are	vbr	are	be	0
pieces	pieces	n2	pieces	piece	0
of	of	pp-f	of	of	0
course	course	n1	course	course	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
worth	worth	j	worth	worth	0
here	here	av	here	here	0
but	but	p-acp	but	but	0
40.	40.	crd	40.	40.	1
S.	S.	np1	S.	S.	0
the	the	dt	the	the	0
ounce	ounce	n1	ounce	ounce	0
,	,	,	,	,	0
so	so	av	so	so	0
the	the	dt	the	the	0
same	same	d	same	same	0
is	is	vbz	is	be	0
currant	currant	n1	currant	currant	0
in	in	p-acp	in	in	0
no	no	dx	no	no	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
Turkie	Turkie	n1	Turkey	turquoise	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kingdom	kingdom	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
Alger	Alger	np1	Alger	Alger	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
the	the	dt	the	the	0
Aspers	Aspers	ng1	Aspers	asper	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
lesse	lesse	av-dc	less	less	0
then	then	cs	then	than	0
others	others	n2-jn	others	other	0
be	be	vbb	be	be	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
coine	coine	n1	coin	coin	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
Alger	Alger	np1	Alger	Alger	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
custome	custome	n1	custom	custom	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
king	king	n1	king	king	0
is	is	vbz	is	be	0
inward	inward	j	inward	inward	0
10.	10.	crd	10.	10.	0
per	per	fw-la	per	per	0
centum	centum	fw-la	centum	centum	0
,	,	,	,	,	0
The	The	dt	The	the	0
custome	custome	n1	custom	custom	0
.	.	.	.	.	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Turke	Turke	np1	Turke	Turk	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
paid	paid	vvn	paid	pay	0
