A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
Mully	Mully	n1	Mully	mulai	0
Hamet	Hamet	np1	Hamet	Hamet	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Erle	Erle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Leicester	Leicester	np1	Leicester	Leicester	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
[	[	[	[	[	0
II.	II.	crd	II	ii	0
ii	ii	crd	ii	two	0
.	.	.	.	.	1
119.	119.	crd	119.	119.	0
]	]	]	]	]	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
430	430	crd	430	430	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
In	In	p-acp	In	in	0
the	the	dt	the	the	0
Name	Name	n1	Name	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mercifull	mercifull	j	merciful	merciful	0
and	and	cc	and	and	0
pitifull	pitifull	j	pitiful	pitiful	0
God	God	np1	God	God	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
blessing	blessing	vvg	blessing	bless	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
light	light	n1	light	light	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
lord	lord	n1	lord	lord	0
and	and	cc	and	and	0
prophet	prophet	n1	prophet	prophet	0
Mahumet	Mahumet	np1	Mahumet	Mahumet	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
obedient	obedient	j	obedient	obedient	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
servant	servant	n1	servant	servant	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
both	both	d	both	both	0
mightie	mightie	j	mighty	mighty	0
in	in	p-acp	in	in	0
warre	warre	n1	war	war	0
and	and	cc	and	and	0
mightily	mightily	av-j	mightily	mighty	0
exalted	exalted	vvn	exalted	exalt	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
Myra	Myra	np1	Myra	Myra	0
Momanyn	Momanyn	np1	Momanyn	Momanyn	0
,	,	,	,	,	0
the	the	dt	the	the	0
