A	A	dt	A	a	0
Traverse-Booke	Traverse-Booke	n1	Traverse-Booke	traverse-booke	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Davis	Davis	np1	Davis	Davis	0
in	in	p-acp	in	in	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
west	west	n1	west	west	0
passage	passage	n1	passage	passage	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Moneth	Moneth	n1	Month	month	0
.	.	.	.	.	1
EC	EC	np1	EC	EC	0
n	n	zz	n	n	0
1	1	crd	1	1	0
-	-	-	-	-	0
«	«	«	«	«	0
Elevation	Elevation	n1	Elevation	elevation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
The	The	dt	The	the	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
co	co	vvn	counterfeit	continue	0
[	[	[	[	[	0
oures	oures	png12	ours	we	0
.	.	.	.	.	1
S3	S3	np1	S3	S3	0
co	co	vvn	counterfeit	continue	0
p	p	zz	p	p	0
OQ	OQ	fw-fr	OQ	oq	0
si	si	fw-mi	si	si	0
O	O	fw-fr	O	o	0
P'	P'	fw-fr	P'	p'	0
O	O	fw-fr	O	o	0
Je.	Je.	np1	Je.	Je.	0
winde	winde	n1	wind	wind	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
May	May	vmb	May	may	0
.	.	.	.	.	1
p	p	sy	p	p	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
!	!	!	!	!	1
9	9	crd	9	9	0
w	w	j	w	wonderful	0
.	.	.	.	.	1
s	s	sy	s	s	0
.	.	.	.	.	1
w	w	j	w	wonderful	0
.	.	.	.	.	1
Westerly	Westerly	np1	Westerly	Westerly	0
.	.	.	.	.	1
5°	5°	n1	5°	5°	0
30	30	crd	30	30	0
N.	N.	np1	N.	N.	0
E.	E.	np1	E.	E.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
20	20	crd	20	20	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
2	2	crd	2	2	0
1	1	crd	1	1	0
35	35	crd	35	35	0
W.	W.	np1	W.	W.	0
S.	S.	np1	S.	S.	0
W.	W.	np1	W.	W.	0
Westerly	Westerly	np1	Westerly	Westerly	0
.	.	.	.	.	1
5°	5°	n1	5°	5°	0
5°	5°	n1	5°	5°	0
N.	N.	np1	N.	N.	0
E.	E.	np1	E.	E.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
22	22	crd	22	22	0
15	15	crd	15	15	0
W.	W.	np1	W.	W.	0
N.	N.	np1	N.	N.	0
W.	W.	np1	W.	W.	0
14	14	crd	14	14	0
N.	N.	np1	N.	N.	0
E.	E.	np1	E.	E.	0
by	by	p-acp	by	by	0
E.	E.	np1	E.	E.	0
