Reckonings	Reckonings	n2-vvg	Reckonings	reckon	0
kept	kept	vvd	kept	keep	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
course	course	n1	course	course	0
from	from	p-acp	from	from	0
Cape	Cape	n1	Cape	cape	0
Race	Race	n1	Raze	race	0
towards	towards	p-acp	towards	towards	0
Cape	Cape	n1	Cape	cape	0
Briton	Briton	np1	Briton	Briton	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Island	Island	n1	Island	island	0
of	of	pp-f	of	of	0
Sablon	Sablon	np1	Sablon	Sablon	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
time	time	n1	time	time	0
and	and	cc	and	and	0
place	place	n1	place	place	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
lost	lost	vvd	lost	lose	0
our	our	po12	our	our	0
Admirall	Admirall	n1	Admiral	admiral	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
August	August	np1	August	August	0
22.	22.	crd	22.	22.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
August	August	np1	August	August	0
29.	29.	crd	29.	29.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
'	'	'	'	'	0
West	West	n1	West	west	0
,	,	,	,	,	0
West	West	n1	West	west	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
South	South	n1	South	south	0
.	.	.	.	.	1
W	W	j	W	wonderful	0
estnorthwest	estnorthwest	n1-an	estnorthwest	estnorthwest	0
,	,	,	,	,	0
W	W	j	W	wonderful	0
estnorthwest	estnorthwest	n1-an	estnorthwest	estnorthwest	0
,	,	,	,	,	0
Southsouthwest	Southsouthwest	n1	Southsouthwest	southsouthwest	0
,	,	,	,	,	0
Southwest	Southwest	np1	Southwest	Southwest	0
,	,	,	,	,	0
Southsouthwest	Southsouthwest	np1	Southsouthwest	Southsouthwest	0
,	,	,	,	,	0
Westnorthwest	Westnorthwest	av-an	Westnorthwest	westnorthwest	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
14.	14.	crd	14.	14.	0
leagues	leagues	n2	leagues	league	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
25.	25.	crd	25.	25.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
25.	25.	crd	25.	25.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
9	9	crd	9	9	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
10.	10.	crd	10.	10.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
12.	12.	crd	12.	12.	0
