The	The	dt	The	the	0
names	names	n2	names	name	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
as	as	c-acp	as	as	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
that	that	cst	that	that	0
remained	remained	vvd	remained	remain	0
one	one	pi	one	one	0
whole	whole	j-jn	whole	whole	0
yeere	yeere	n1	year	year	0
in	in	p-acp	in	in	0
Virginia	Virginia	np1	Virginia	Virginia	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Governement	Governement	n1	Government	government	0
of	of	pp-f	of	of	0
Master	Master	n1	Master	master	0
Ralph	Ralph	np1	Ralph	Ralph	0
Lane	Lane	n1	Lane	lane	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
MAster	MAster	n1	MAster	master	0
Philip	Philip	np1	Philip	Philip	0
Amadas	Amadas	np1	Amadas	Amadas	0
,	,	,	,	,	0
Admirall	Admirall	n1	Admiral	admiral	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Hariot	Hariot	np1	Hariot	Hariot	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Acton	Acton	np1	Acton	Acton	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Edward	Edward	np1	Edward	Edward	0
Stafford	Stafford	np1	Stafford	Stafford	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Thomas	Thomas	np1	Thomas	Thomas	0
Luddington	Luddington	np1	Luddington	Luddington	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Marvyn	Marvyn	np1	Marvyn	Marvyn	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Gardiner	Gardiner	np1	Gardiner	Gardiner	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Captaine	Captaine	n1	Captain	captain	0
Vaughan	Vaughan	np1	Vaughan	Vaughan	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Kendall	Kendall	np1	Kendall	Kendal	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Prideox	Prideox	fw-la	Prideox	prideox	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Robert	Robert	np1	Robert	Robert	0
Holecroft	Holecroft	np1	Holecroft	Holecroft	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Rise	Rise	vvi	Rise	rise	0
Courtney	Courtney	np1	Courtney	Courtney	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Hugh	Hugh	np1	Hugh	Hugh	0
Rogers	Rogers	np1	Rogers	Rogers	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Thomas	Thomas	np1	Thomas	Thomas	0
Harvie	Harvie	np1	Harvie	Harvie	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Snelling	Snelling	np1	Snelling	Snelling	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Anthony	Anthony	np1	Anthony	Anthony	0
Russe	Russe	np1	Russe	Russe	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Allyne	Allyne	np1	Allyne	Allyne	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Richard	Richard	np1	Richard	Richard	0
Gilbert	Gilbert	np1	Gilbert	Gilbert	0
.	.	.	.	.	1
Steven	Steven	np1	Steven	Steven	0
Pomarie	Pomarie	np1	Pomarie	Pomarie	0
.	.	.	.	.	1
John	John	np1	John	John	0
Brocke	Brocke	np1	Brocke	Brock	0
.	.	.	.	.	1
Bennet	Bennet	np1	Bennet	Bennet	0
Harrie	Harrie	np1	Harrie	Harrie	0
.	.	.	.	.	1
James	James	np1	James	James	0
Stevenson	Stevenson	np1	Stevenson	Stevenson	0
.	.	.	.	.	1
Charles	Charles	np1	Charles	Charles	0
Stevenson	Stevenson	np1	Stevenson	Stevenson	0
.	.	.	.	.	1
Christopher	Christopher	np1	Christopher	Christopher	0
Lowde	Lowde	av-j	Loud	loud	0
.	.	.	.	.	1
Jeremie	Jeremie	np1	Jeremie	Jeremie	0
Man.	Man.	n1	Man.	man	0
James	James	np1	James	James	0
Mason	Mason	np1	Mason	Mason	0
.	.	.	.	.	1
David	David	np1	David	David	0
Salter	Salter	np1	Salter	Salter	0
.	.	.	.	.	1
Richard	Richard	np1	Richard	Richard	0
Ireland	Ireland	np1	Ireland	Ireland	0
.	.	.	.	.	1
