Of	Of	pp-f	Of	of	0
the	the	dt	the	the	0
nature	nature	n1	nature	nature	0
and	and	cc	and	and	0
maners	maners	n2	manners	manner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
T	T	sy	TO	t	0
resteth	resteth	vvz	rests	rest	0
I	I	pns11	I	i	0
speake	speake	vvb	speak	speak	0
a	a	dt	a	a	0
word	word	n1	word	word	0
or	or	cc	or	or	0
two	two	crd	two	two	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
natural	natural	j	natural	natural	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
,	,	,	,	,	0
their	their	po32	their	their	0
natures	natures	n2	nature's	nature	0
and	and	cc	and	and	0
maners	maners	n2	manners	manner	0
,	,	,	,	,	0
leaving	leaving	vvg	leaving	leave	0
large	large	j	large	large	0
discourse	discourse	n1	discourse	discourse	0
thereof	thereof	av	thereof	thereof	0
until	until	p-acp	until	until	0
time	time	n1	time	time	0
more	more	av-dc	more	more	0
convenient	convenient	j	convenient	convenient	0
hereafter	hereafter	av	hereafter	hereafter	0
:	:	:	:	:	0
nowe	nowe	av	now	now	0
onely	onely	av-j	only	only	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
foorth	foorth	av	forth	forth	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
know	know	vvi	know	know	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
troubling	troubling	vvg	troubling	trouble	0
our	our	po12	our	our	0
inhabiting	inhabiting	vvg	inhabiting	inhabit	0
and	and	cc	and	and	0
planting	planting	vvg	planting	plant	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
feared	feared	vvn	feared	fear	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
cause	cause	n1	cause	cause	0
both	both	av-d	both	both	0
to	to	pc-acp	to	to	0
feare	feare	vvi	fear	fear	0
and	and	cc	and	and	0
love	love	vvb	love	love	0
us	us	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
inhabite	inhabite	vvi	inhabit	inhabit	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
They	They	pns32	They	they	0
are	are	vbr	are	be	0
a	a	dt	a	a	0
people	people	n1	people	people	0
clothed	clothed	vvn	clothed	clothe	0
with	with	p-acp	with	with	0
loose	loose	j	lose	loose	0
mantles	mantles	n2	mantles	mantle	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
deere	deere	j-jn	deer	dear	0
skinnes	skinnes	n2	skins	skin	0
,	,	,	,	,	0
and	and	cc	and	and	0
aprons	aprons	n2	aprons	apron	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
round	round	av-j	round	round	0
about	about	p-acp	about	about	0
their	their	po32	their	their	0
middles	middles	n2-jn	middles	middle	0
,	,	,	,	,	0
all	all	d	all	all	0
els	els	av	else	else	0
naked	naked	j	naked	naked	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
a	a	dt	a	a	0
difference	difference	n1	difference	difference	0
of	of	pp-f	of	of	0
statures	statures	n2	statures	stature	0
onely	onely	av-j	only	only	0
as	as	c-acp	as	as	0
wee	wee	pns12	we	we	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
having	having	vhg	having	have	0
no	no	dx	no	no	0
edge	edge	n1	edge	edge	0
tooles	tooles	n2	tools	tool	0
or	or	cc	or	or	0
weapons	weapons	n2	weapons	weapon	0
of	of	pp-f	of	of	0
yron	yron	n1	iron	iron	0
or	or	cc	or	or	0
steele	steele	n1	steel	steel	0
to	to	pc-acp	to	to	0
offend	offend	vvi	offend	offend	0
us	us	pno12	us	we	0
