Here	Here	av	Here	here	0
followeth	followeth	vvz	follows	follow	0
a	a	dt	a	a	0
declaration	declaration	n1	declaration	declaration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Longitudes	Longitudes	n2	Longitudes	longitude	0
,	,	,	,	,	0
or	or	cc	or	or	0
Western	Western	j	Western	western	0
and	and	cc	and	and	0
Eastern	Eastern	j	Eastern	eastern	0
distances	distances	n2	distances	distance	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Spaine	Spaine	np1	Spaine	Spain	0
to	to	p-acp	to	to	0
Ne	Ne	fw-fr	Ne	ne	0
we	we	n1	we	we	0
Spaine	Spaine	np1	Spaine	Spain	0
in	in	p-acp	in	in	0
America	America	np1	America	America	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
backe	backe	av	back	back	0
againe	againe	av	again	again	0
to	to	p-acp	to	to	0
Spaine	Spaine	np1	Spaine	Spain	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Leagues	Leagues	ng1	Leagues	league	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
From	From	p-acp	From	from	0
Sal	Sal	fw-la	Sal	sal	0
Medina	Medina	np1	Medina	Medina	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Coast	Coast	n1	Coast	coast	0
Andaluzia	Andaluzia	np1	Andaluzia	Andaluzia	0
till	till	c-acp	till	till	0
you	you	pn22	you	you	0
bring	bring	vvb	bring	bring	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
North	North	n1	North	north	0
and	and	cc	and	and	0
South	South	n1	South	south	0
with	with	p-acp	with	with	0
Cape	Cape	n1	Cape	cape	0
Cantin	Cantin	np1	Cantin	Cantin	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Coast	Coast	n1	Coast	coast	0
of	of	pp-f	of	of	0
Barbary	Barbary	np1	Barbary	Barbary	0
85	85	crd	85	85	0
From	From	p-acp	From	from	0
Sal	Sal	fw-la	Sal	sal	0
Medina	Medina	np1	Medina	Medina	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
island	island	n1	island	island	0
of	of	pp-f	of	of	0
Gran	Gran	zf	Gran	grand	0
Canaria	Canaria	np1	Canaria	Canaria	0
200	200	crd	200	200	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
From	From	p-acp	From	from	0
the	the	dt	the	the	0
Gran	Gran	zf	Gran	grand	0
Canaria	Canaria	np1	Canaria	Canaria	0
to	to	p-acp	to	to	0
Deseada	Deseada	np1	Deseada	Deseada	0
850	850	crd	850	850	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
From	From	p-acp	From	from	0
Deseada	Deseada	fw-es	Deseada	deseada	0
to	to	p-acp	to	to	0
Monserate	Monserate	fw-la	Monserate	monserate	0
20	20	crd	20	20	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
From	From	p-acp	From	from	0
Monserate	Monserate	fw-la	Monserate	monserate	0
to	to	p-acp	to	to	0
santa	santa	fw-it	santa	santa	0
Cruz	Cruz	np1	Cruz	Cruz	0
58	58	crd	58	58	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
From	From	p-acp	From	from	0
santa	santa	fw-it	santa	santa	0
Cruz	Cruz	np1	Cruz	Cruz	0
to	to	p-acp	to	to	0
Cape	Cape	n1	Cape	cape	0
Roxo	Roxo	np1	Roxo	Roxo	0
the	the	dt	the	the	0
Southwest	Southwest	n1	Southwest	southwest	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Cape	Cape	n1	Cape	cape	0
of	of	pp-f	of	of	0
Sant	Sant	np1	Sant	Sant	0
Juan	Juan	np1	Juan	Juan	0
de	de	fw-fr	de	de	0
Puerto	Puerto	np1	Puerto	Puerto	0
Rico	Rico	np1	Rico	Rico	0
45	45	crd	45	45	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
From	From	p-acp	From	from	0
Cape	Cape	n1	Cape	cape	0
Roxo	Roxo	np1	Roxo	Roxo	0
to	to	p-acp	to	to	0
Saona	Saona	np1	Saona	Saona	0
25	25	crd	25	25	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
From	From	p-acp	From	from	0
Saona	Saona	np1	Saona	Saona	0
to	to	p-acp	to	to	0
sant	sant	zz	sant	sant	0
Domingo	Domingo	np1	Domingo	Domingo	0
25	25	crd	25	25	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
From	From	p-acp	From	from	0
sant	sant	zz	sant	sant	0
Domingo	Domingo	np1	Domingo	Domingo	0
to	to	p-acp	to	to	0
Ocoa	Ocoa	np1	Ocoa	Ocoa	0
18	18	crd	18	18	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
From	From	p-acp	From	from	0
Ocoa	Ocoa	np1	Ocoa	Ocoa	0
to	to	p-acp	to	to	0
Beata	Beata	np1	Beata	Beata	0
20	20	crd	20	20	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
From	From	p-acp	From	from	0
Beata	Beata	np1	Beata	Beata	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
isle	isle	n1	isle	isle	0
Baque	Baque	np1	Baque	Baque	0
43	43	crd	43	43	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
From	From	p-acp	From	from	0
the	the	dt	the	the	0
isle	isle	n1	isle	isle	0
Baque	Baque	np1	Baque	Baque	0
to	to	p-acp	to	to	0
Navaza	Navaza	np1	Navaza	Navaza	0
33	33	crd	33	33	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
From	From	p-acp	From	from	0
Navaza	Navaza	np1	Navaza	Navaza	0
to	to	p-acp	to	to	0
sant	sant	zz	sant	sant	0
Iago	Iago	np1	Iago	Iago	0
of	of	pp-f	of	of	0
Cuba	Cuba	np1	Cuba	Cuba	0
