IT	IT	pn31	IT	it	0
The	The	dt	The	the	0
discoverie	discoverie	n1	discovery	discovery	0
of	of	pp-f	of	of	0
Guiana	Guiana	np1	Guiana	Guiana	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
N	N	wd	N	n	0
Thursday	Thursday	np1	Thursday	Thursday	0
the	the	dt	the	the	0
6.	6.	crd	6.	6.	0
of	of	pp-f	of	of	0
February	February	np1	February	February	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
1595.	1595.	crd	1595.	1595.	0
we	we	zz	we	we	0
departed	departed	vvn	departed	depart	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Sunday	Sunday	np1	Sunday	Sunday	0
following	following	vvg	following	follow	0
had	had	vhn	had	have	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
North	North	n1	North	north	0
cape	cape	n1	cape	cape	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
the	the	dt	the	the	0
winde	winde	n1	wind	wind	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
continuing	continuing	vvg	continuing	continue	0
prosperous	prosperous	j	prosperous	prosperous	0
:	:	:	:	:	0
we	we	pns12	we	we	0
passed	passed	vvd	passed	pass	0
in	in	p-acp	in	in	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Burlings	Burlings	n2	Burlings	burling	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
Rocke	Rocke	n1	Rock	rock	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
onwards	onwards	av	onward	onward	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Canaries	Canaries	n2	Canaries	canary	0
,	,	,	,	,	0
{	{	{	{	{	0
