An	An	dt	And	a	0
extract	extract	n1	extract	extract	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
discourse	discourse	n1	discourse	discourse	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
Lopez	Lopez	np1	Lopez	Lopez	0
Vaz	Vaz	np1	Vaz	Vaz	0
a	a	dt	a	a	0
Portugal	Portugal	np1	Portugal	Portugal	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
fight	fight	n1	fight	fight	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
Fenton	Fenton	np1	Fenton	Fenton	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Spanish	Spanish	jp	Spanish	spanish	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
proceeding	proceeding	n-vvg	proceeding	proceed	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Drake	Drake	n1	Drake	drake	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
departing	departing	n-vvg	departing	depart	0
from	from	p-acp	from	from	0
him	him	pno31	him	he	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Plate	Plate	n1	Plate	plate	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Five	Five	crd	Five	five	0
ships	ships	n2	ships	ship	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
fleete	fleete	n1	fleet	fleet	0
cast	cast	vvd	cast	cast	0
away	away	av	away	away	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Pon	Pon	np1	Pon	Pon	0
the	the	dt	the	the	0
relation	relation	n1	relation	relation	0
of	of	pp-f	of	of	0
Pedro	Pedro	np1	Pedro	Pedro	0
Sarmiento	Sarmiento	np1	Sarmiento	Sarmiento	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
Streits	Streits	n2	Streits	streit	0
of	of	pp-f	of	of	0
Magellan	Magellan	np1	Magellan	Magellan	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
fortified	fortified	vvn	fortified	fortify	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
the	the	dt	the	the	0
king	king	n1	king	king	0
heard	heard	vvd	herd	hear	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
were	were	vbdr	were	be	0
ships	ships	n2	ships	ship	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
preparing	preparing	vvg	preparing	prepare	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
streits	streits	n2	streits	streit	0
,	,	,	,	,	0
he	he	pns31	he	he	0
commanded	commanded	vvd	commanded	command	0
Diego	Diego	np1	Diego	Diego	0
Flores	Flores	fw-la	Flores	flores	0
de	de	fw-fr	de	de	0
Valdes	Valdes	np1	Valdes	Valdes	0
a	a	dt	a	a	0
noble	noble	j	noble	noble	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
thither	thither	av	thither	thither	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
with	with	p-acp	with	with	0
23	23	crd	23	23	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
and	and	cc	and	and	0
3500	3500	crd	3500	3500	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
stoppe	stoppe	vvi	stop	stop	0
the	the	dt	the	the	0
passage	passage	n1	passage	passage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
There	There	a-acp	There	there	0
went	went	vvd	went	go	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
fleete	fleete	n1	fleet	fleet	0
the	the	dt	the	the	0
governour	governour	n1	governor	governor	0
of	of	pp-f	of	of	0
Chili	Chili	np1	Chili	Chili	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
500	500	crd	500	500	0
olde	olde	j	old	old	0
souldiers	souldiers	n2	soldiers	soldier	0
that	that	cst	that	that	0
came	came	vvd	came	come	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Flanders	Flanders	np1	Flanders	Flanders	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
this	this	d	this	this	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
unhappiest	unhappiest	js	unhappiest	unhappy	0
fleet	fleet	n1	fleet	fleet	0
of	of	pp-f	of	of	0
ships	ships	n2	ships	ship	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
went	went	vvd	went	go	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
before	before	c-acp	before	before	0
they	they	pns32	they	they	0
came	came	vvd	came	come	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
a	a	dt	a	a	0
storme	storme	n1	storm	storm	0
tooke	tooke	vvd	took	take	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
cast	cast	vvd	cast	cast	0
away	away	av	away	away	0
five	five	crd	five	five	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fleete	fleete	n1	fleet	fleet	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
above	above	p-acp	above	above	0
800	800	crd	800	800	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
92	92	crd	92	92	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
rest	rest	n1	rest	rest	0
came	came	vvd	came	come	0
into	into	p-acp	into	into	0
Cadiz	Cadiz	np1	Cadiz	Cadiz	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
king	king	n1	king	king	0
sent	sent	vvd	sent	send	0
them	them	pno32	them	they	0
word	word	n1	word	word	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
