Happily	Happily	av-j	Happily	happy	0
perfourmed	perfourmed	vvn	performed	perform	0
round	round	av-j	round	round	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Sir	Sir	n1	Sir	sir	0
Francis	Francis	np1	Francis	Francis	0
Drake	Drake	np1	Drake	Drake	0
,	,	,	,	,	0
and	and	cc	and	and	0
M.	M.	n1	M.	m.	0
Thomas	Thomas	np1	Thomas	Thomas	0
Candish	Candish	j	Candish	candish	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
English	English	jp	English	english	0
voyages	voyages	n2	voyages	voyage	0
intended	intended	vvn	intended	intend	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
South	South	n1	South	south	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
the	the	dt	the	the	0
kingdomes	kingdomes	n2	kingdoms	kingdom	0
of	of	pp-f	of	of	0
Chili	Chili	np1	Chili	Chili	0
,	,	,	,	,	0
Peru	Peru	np1	Peru	Peru	0
,	,	,	,	,	0
the	the	dt	the	the	0
backe	backe	n1	back	back	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
Nueva	Nueva	np1	Nueva	Nueva	0
Espanna	Espanna	np1	Espanna	Espanna	0
,	,	,	,	,	0
the	the	dt	the	the	0
Malucos	Malucos	np1	Malucos	Malucos	0
,	,	,	,	,	0
the	the	dt	the	the	0
Philippinas	Philippinas	npg1	Philippinas	philippinas	0
,	,	,	,	,	0
the	the	dt	the	the	0
mightie	mightie	j	mighty	mighty	0
empire	empire	n1	empire	empire	0
of	of	pp-f	of	of	0
China	China	np1	China	China	0
,	,	,	,	,	0
though	though	cs	though	though	0
not	not	xx	not	not	0
so	so	av	so	so	0
happily	happily	av-j	happily	happy	0
perfourmed	perfourmed	vvn	performed	perform	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
two	two	crd	two	two	0
former	former	j	former	former	0
:	:	:	:	:	0
whereunto	whereunto	c-crq	whereunto	whereunto	0
are	are	vbr	are	be	0
annexed	annexed	vvn	annexed	annex	0
certaine	certaine	j	certain	certain	0
rare	rare	j	rare	rare	0
observations	observations	n2	observations	observation	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
present	present	j	present	present	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
China	China	np1	China	China	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
kingdome	kingdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
Coray	Coray	np1	Coray	Coray	0
,	,	,	,	,	0
lately	lately	av-j	lately	late	0
invaded	invaded	vvn	invaded	invade	0
by	by	p-acp	by	by	0
Quabacondono	Quabacondono	fw-it	Quabacondono	quabacondono	0
the	the	dt	the	the	0
last	last	ord	last	last	0
monarch	monarch	n1	monarch	monarch	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
66.	66.	crd	66.	66.	0
princedomes	princedomes	n2	princedoms	princedom	0
of	of	pp-f	of	of	0
Japan	Japan	np1	Japan	Japan	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
famous	famous	j	famous	famous	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
Sir	Sir	n1	Sir	sir	0
Francis	Francis	np1	Francis	Francis	0
Drake	Drake	n1	Drake	drake	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
South	South	n1	South	south	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
and	and	cc	and	and	0
therehence	therehence	j	therehence	therehence	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Globe	Globe	n1	Globe	globe	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
begun	begun	vvn	begun	begin	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
1577.	1577.	crd	1577.	1577.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
