Cathaya	Cathaya	np1	Cathaya	Cathaya	0
,	,	,	,	,	0
the	the	dt	the	the	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
whereof	whereof	c-crq	whereof	whereof	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
suppose	suppose	vvb	suppose	suppose	0
)	)	)	)	)	0
were	were	vbdr	were	be	0
of	of	pp-f	of	of	0
Great	Great	j	Great	great	0
olde	olde	j	old	old	0
time	time	n1	time	time	0
,	,	,	,	,	0
called	called	vvn	called	call	0
Seres	Seres	np1	Seres	Seres	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
from	from	p-acp	from	from	0
them	them	pno32	them	they	0
are	are	vbr	are	be	0
brought	brought	vvn	brought	bring	0
most	most	av-ds	most	most	0
Cat^a-excellent	Cat^a-excellent	j	Cat^a-excellent	cat^a-excellent	0
stuffes	stuffes	n2	stuffs	stuff	0
of	of	pp-f	of	of	0
silke	silke	n1	silk	silk	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
people	people	n1	people	people	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
Seres	Seres	fw-la	Seres	seres	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
certain	certain	j	certain	certain	0
towne	towne	n1	town	town	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
countrey	countrey	n1	country	country	0
.	.	.	.	.	1
I	I	pns11	I	i	0
was	was	vbds	was	be	0
crediblie	crediblie	av-j	credibly	credible	0
informed	informed	vvn	informed	inform	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
one	one	crd	one	one	0
towne	towne	n1	town	town	0
having	having	vhg	having	have	0
walles	walles	n2	walls	wall	0
of	of	pp-f	of	of	0
silver	silver	n1	silver	silver	0
,	,	,	,	,	0
and	and	cc	and	and	0
bulwarkes	bulwarkes	n2	bulwarks	bulwark	0
or	or	cc	or	or	0
towers	towers	n2	towers	tower	0
of	of	pp-f	of	of	0
golde	golde	n1	gold	gold	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
be	be	vbi	be	be	0
many	many	d	many	many	0
provinces	provinces	n2	provinces	province	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
land	land	n1	land	land	0
,	,	,	,	,	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
part	part	n1	part	part	0
whereof	whereof	c-crq	whereof	whereof	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
as	as	p-acp	as	as	0
yet	yet	av	yet	yet	0
subdued	subdued	vvn	subdued	subdue	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Tartars	Tartars	np2	Tartars	Tartar	0
.	.	.	.	.	1
And	And	cc	And	and	0
amongst*	amongst*	n1	amongst*	amongst*	0
Somewhat	Somewhat	av	Somewhat	somewhat	0
is	is	vbz	is	be	0
wanting	wanting	vvg	wanting	want	0
.	.	.	.	.	1
Part	Part	n1	Part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
Charter	Charter	n1	Charter	charter	0
granted	granted	vvn	granted	grant	0
by	by	p-acp	by	by	0
king	king	n1	king	king	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
first	first	ord	first	first	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Barons	Barons	n2	Barons	baron	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Cinque	Cinque	fw-fr	Cinque	cinque	0
portes	portes	n2	ports	port	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sixt	sixt	ord	sixt	sixth	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
reigne	reigne	n1	reign	reign	0
1278.	1278.	crd	1278.	1278.	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
good	good	j	good	good	0
services	services	n2	services	service	0
done	done	vdn	done	do	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
by	by	p-acp	by	by	0
sea	sea	n1	sea	sea	0
:	:	:	:	:	0
wherein	wherein	c-crq	wherein	wherein	0
is	is	vbz	is	be	0
mention	mention	n1	mention	mention	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
former	former	j	former	former	0
ancient	ancient	j	ancient	ancient	0
Charters	Charters	n2	Charters	charter	0
from	from	p-acp	from	from	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
Confessor	Confessor	n1	Confessor	confessor	0
,	,	,	,	,	0
William	William	np1	William	William	0
the	the	dt	the	the	0
Conqueror	Conqueror	n1	Conqueror	conqueror	0
,	,	,	,	,	0
William	William	np1	William	William	0
Rufus	Rufus	np1	Rufus	Rufus	0
,	,	,	,	,	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
second	second	ord	second	second	0
,	,	,	,	,	0
king	king	n1	king	king	0
Richard	Richard	np1	Richard	Richard	0
the	the	dt	the	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
king	king	n1	king	king	0
John	John	np1	John	John	0
,	,	,	,	,	0
and	and	cc	and	and	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
third	third	ord	third	three	0
continued	continued	vvd	continued	continue	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Dward	Dward	np1	Dward	Dward	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
&	&	cc	&	and	0
duke	duke	n1	duke	duke	0
of	of	pp-f	of	of	0
Gascoigne	Gascoigne	np1	Gascoigne	Gascoigne	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Archbishops	Archbishops	ng1	Archbishop's	archbishop	0
,	,	,	,	,	0
Bishops	Bishops	n2	Bishops	bishop	0
,	,	,	,	,	0
Abbots	Abbots	ng1	Abbots	abbot	0
,	,	,	,	,	0
Priors	Priors	ng1	Priors	prior	0
,	,	,	,	,	0
Earles	Earles	n2	Earls	earl	0
,	,	,	,	,	0
Barons	Barons	n2	Barons	baron	0
,	,	,	,	,	0
Justices	Justices	n2	Justices	justice	0
,	,	,	,	,	0
Shirifs	Shirifs	n2	Sheriffs	sheriff	0
,	,	,	,	,	0
Provosts	Provosts	n2	Provosts	provost	0
,	,	,	,	,	0
Officers	Officers	n2	Officers	officer	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Bay-liffes	Bay-liffes	j	Bailiffs	bailiffs	0
and	and	cc	and	and	0
true	true	j	true	true	0
subjects	subjects	n2-jn	subject's	subject	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
You	You	pn22	You	you	0
shall	shall	vmb	shall	shall	0
knowe	knowe	vvi	know	know	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
faithfull	faithfull	j	faithful	faithful	0
service	service	n1	service	service	0
that	that	cst	that	that	0
our	our	po12	our	our	0
Barons	Barons	n2	Barons	baron	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
five	five	crd	five	five	0
Ports	Ports	n2	Ports	port	0
hitherto	hitherto	av	hitherto	hitherto	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
predecessors	predecessors	n2	predecessors	predecessor	0
kings	kings	n2	kings	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
&	&	cc	&	and	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
lately	lately	av-j	lately	late	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
armie	armie	n1	army	army	0
of	of	pp-f	of	of	0
Wales	Wales	n2	Wales	wale	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
good	good	j	good	good	0
service	service	n1	service	service	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
and	and	cc	and	and	0
our	our	po12	our	our	0
heires	heires	n2	heirs	heir	0
kings	kings	n2	kings	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
truly	truly	av-j	truly	true	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
continued	continued	vvn	continued	continue	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
granted	granted	vvn	granted	grant	0
&	&	cc	&	and	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
our	our	po12	our	our	0
Charter	Charter	n1	Charter	charter	0
confirmed	confirmed	vvn	confirmed	confirm	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
and	and	cc	and	and	0
our	our	po12	our	our	0
heires	heires	n2	heirs	heir	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
our	our	po12	our	our	0
Barons	Barons	n2	Barons	baron	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
heires	heires	n2	heirs	heir	0
,	,	,	,	,	0
all	all	d	all	all	0
their	their	po32	their	their	0
liberties	liberties	n2	liberties	liberty	0
and	and	cc	and	and	0
freedomes	freedomes	n2	freedoms	freedom	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
free	free	j	free	free	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
toll	toll	n1	toll	toll	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
custome	custome	n1	custom	custom	0
;	;	;	;	;	0
that	that	d	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
lastage	lastage	n1	lastage	lastage	0
,	,	,	,	,	0
tallage	tallage	n1	tallage	tallage	0
,	,	,	,	,	0
passage	passage	n1	passage	passage	0
,	,	,	,	,	0
cariage	cariage	n1	carriage	carriage	0
,	,	,	,	,	0
293	293	crd	293	293	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
confessor	confessor	n1	confessor	confessor	0
.	.	.	.	.	1
THE	THE	dt	THE	the	0
ENGLISH	ENGLISH	jp	ENGLISH	english	0
VOYAGES	VOYAGES	n2	VOYAGES	voyage	0
rivage	rivage	n1	rivage	rivage	0
,	,	,	,	,	0
asponsage	asponsage	n1	asponsage	asponsage	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
wrecke	wrecke	n1	wreck	wreck	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
their	their	po32	their	their	0
sale	sale	n1	sale	sale	0
,	,	,	,	,	0
carying	carying	vvg	carrying	carry	0
and	and	cc	and	and	0
recarying	recarying	vvg	recarying	recary	0
through	through	p-acp	through	through	0
all	all	d	all	all	0
our	our	po12	our	our	0
realme	realme	n1	realm	realm	0
and	and	cc	and	and	0
dominion	dominion	n1	dominion	dominion	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
socke	socke	n1	sock	sock	0
and	and	cc	and	and	0
souke	souke	vvb	souke	souke	0
,	,	,	,	,	0
toll	toll	n1	toll	toll	0
and	and	cc	and	and	0
theme	theme	n1	theme	theme	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
Infangthefe	Infangthefe	n1	Infangthefe	infangthefe	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
wreckefree	wreckefree	j	wreckefree	wreckefree	0
,	,	,	,	,	0
lastagefree	lastagefree	j	lastagefree	lastagefree	0
,	,	,	,	,	0
and	and	cc	and	and	0
lovecopfree	lovecopfree	j	lovecopfree	lovecopfree	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
Denne	Denne	n1	Den	den	0
and	and	cc	and	and	0
Strande	Strande	n1	Strand	strand	0
at	at	p-acp	at	at	0
great	great	j	great	great	0
Yarmouth	Yarmouth	np1	Yarmouth	Yarmouth	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
contayned	contayned	vvn	contained	contain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ordinance	ordinance	n1	ordinance	ordinance	0
by	by	p-acp	by	by	0
us	us	pno12	us	we	0
thereof	thereof	av	thereof	thereof	0
made	made	vvn	made	make	0
perpetually	perpetually	av-j	perpetually	perpetual	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
observed	observed	vvn	observed	observe	0
