Wrangle	Wrangle	np1	Wrangle	Wrangle	0
[	[	[	[	[	0
Ships	Ships	n2	Ships	ship	0
1.	1.	crd	1.	1.	1
I	I	pns11	I	i	0
Mariners	Mariners	n2	Mariners	mariner	0
8.	8.	crd	8.	8.	1
Mersey	Mersey	np1	Mersey	Mersey	0
■	■	sy	■	■	0
[	[	[	[	[	0
f	f	sy	f	f	0
Ships	Ships	n2	Ships	ship	0
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
X.	X.	fw-la	X.	x.	0
6.	6.	crd	6.	6.	1
|	|	|	|	|	0
Lenne	Lenne	j	Lenne	lenne	0
Blackney	Blackney	n1	Blackney	blackney	0
■	■	sy	■	■	0
<	<	<	<	<	0
1	1	crd	1	1	0
Ships	Ships	n2	Ships	ship	0
16.	16.	crd	16.	16.	1
Brightling	Brightling	np1	Brightling	Brightling	0
-	-	-	-	-	0
1	1	crd	1	1	0
[	[	[	[	[	0
Ships	Ships	n2	Ships	ship	0
5	5	crd	5	5	0
-	-	-	-	-	0
Now	Now	av	Now	now	0
Bricked	Bricked	j-vvn	Bricked	brick	0
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
382.	382.	crd	382.	382.	1
|	|	|	|	|	0
Ships	Ships	n2	Ships	ship	0
2.	2.	crd	2.	2.	1
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
38.	38.	crd	38.	38.	0
sey	sey	vvi	say	say	0
।	।	।	।	।	1
Colchester	Colchester	np1	Colchester	Colchester	0
<	<	<	<	<	0
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
1	1	crd	1	1	0
Ships	Ships	n2	Ships	ship	0
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
61.	61.	crd	61.	61.	0
5	5	crd	5	5	1
-	-	-	-	-	0
90.	90.	crd	90.	90.	0
sey	sey	vvb	say	say	0
.	.	.	.	.	1
|	|	|	|	|	0
Or	Or	cc	Or	or	0
,	,	,	,	,	0
Linne	Linne	zz	Linne	linne	0
.	.	.	.	.	1
Scarborough	Scarborough	np1	Scarborough	Scarborough	0
[	[	[	[	[	0
Ships	Ships	n2	Ships	ship	0
1.	1.	crd	1.	1.	1
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
19.	19.	crd	19.	19	1
Whitbanes	Whitbanes	np1	Whitbanes	Whitbanes	0
|	|	|	|	|	0
Ships	Ships	n2	Ships	ship	0
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
1.	1.	crd	1.	1.	0
17	17	crd	17	17	1
-	-	-	-	-	0
[	[	[	[	[	0
Ships	Ships	n2	Ships	ship	0
43.	43.	crd	43.	43.	1
Malden	Malden	np1	Malden	Malden	0
J	J	pns11	J	i	0
I	I	zz	I	i	0
Ships	Ships	n2	Ships	ship	0
2.	2.	crd	2.	2.	1
Yernmouth	Yernmouth	np1	Yernmouth	Yernmouth	0
-	-	-	-	-	0
<	<	<	<	<	0
Mariners	Mariners	ng1	Mariners	mariner	0
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
32.	32.	crd	32.	32.	1
Or	Or	cc	Or	or	0
,	,	,	,	,	0
Vermouth	Vermouth	np1	Vermouth	Vermouth	0
.	.	.	.	.	1
[	[	[	[	[	0
1950.	1950.	crd	1950.	1950.	0
or	or	cc	or	or	0
1075.	1075.	crd	1075.	1075.	1
Tlprwpn	Tlprwpn	np1	Tlprwpn	Tlprwpn	0
<	<	<	<	<	0
[	[	[	[	[	0
Ships	Ships	n2	Ships	ship	0
1.	1.	crd	1.	1.	1
Donwich	Donwich	np1	Donwich	Donwich	0
<	<	<	<	<	0
[	[	[	[	[	0
Ships	Ships	n2	Ships	ship	0
6.	6.	crd	6.	6.	1
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
102.	102.	crd	102.	102.	1
VYvll	VYvll	j	VYvll	vyvll	0
A	A	dt	A	a	0
Boston	Boston	np1	Boston	Boston	0
-	-	-	-	-	0
<	<	<	<	<	0
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
[	[	[	[	[	0
Ships	Ships	n2	Ships	ship	0
IS	IS	vbz	IS	be	0
-	-	-	-	-	0
17	17	crd	17	17	0
-	-	-	-	-	0
[	[	[	[	[	0
Ships	Ships	n2	Ships	ship	0
3.	3.	crd	3.	3.	1
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
361.	361.	crd	361.	361.	0
orivru	orivru	n2	orivru	orivru	0
.	.	.	.	.	1
s	s	sy	s	s	0
Goford	Goford	np1	Goford	Goford	0
-	-	-	-	-	0
J	J	pns11	J	i	0
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
62.	62.	crd	62.	62.	1
|	|	|	|	|	0
Ships	Ships	n2	Ships	ship	0
13.	13.	crd	13.	13.	1
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
303.	303.	crd	303.	303.	1
Swinhumber	Swinhumber	np1	Swinhumber	Swinhumber	0
Rnrtnn	Rnrtnn	np1	Rnrtnn	Rnrtnn	0
)	)	)	)	)	0
I	I	pns11	I	i	0
Ships	Ships	n2	Ships	ship	0
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
|	|	|	|	|	0
Ships	Ships	n2	Ships	ship	0
1.	1.	crd	1.	1.	0
32.	32.	crd	32.	32.	0
5	5	crd	5	5	1
-	-	-	-	-	0
Herwich	Herwich	np1	Herwich	Herwich	0
<	<	<	<	<	0
[	[	[	[	[	0
Ships	Ships	n2	Ships	ship	0
14.	14.	crd	14.	14.	1
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
283.	283.	crd	283.	283.	1
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
The	The	dt	The	the	0
Summe	Summe	n1	Sum	sum	0
[	[	[	[	[	0
Ships	Ships	n2	Ships	ship	0
91	91	crd	91	91	0
-	-	-	-	-	0
217.	217.	crd	217.	217.	1
Ipswich	Ipswich	np1	Ipswich	Ipswich	0
s	s	sy	s	s	0
[	[	[	[	[	0
Ships	Ships	n2	Ships	ship	0
12.	12.	crd	12.	12.	1
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
239.	239.	crd	239.	239.	0
fleete	fleete	n1	fleet	fleet	0
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
4521.	4521.	crd	4521.	4521.	1
The	The	dt	The	the	0
summe	summe	n1	sum	sum	0
totali	totali	fw-la	totali	totali	0
of	of	pp-f	of	of	0
f	f	zz	f	f	0
Ships	Ships	n2	Ships	ship	0
700.	700.	crd	700.	700.	0
all	all	d	all	all	0
the	the	dt	the	the	0
English	English	jp	English	english	0
fleete	fleete	n1	fleet	fleet	0
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
14151.	14151.	crd	14151.	14151.	1
Estrangers	Estrangers	ng1	Estrangers	estrangers	0
their	their	po32	their	their	0
ships	ships	n2	ships	ship	0
and	and	cc	and	and	0
mariners	mariners	n2	mariners	mariner	0
.	.	.	.	.	1
Bayon	Bayon	np1	Bayon	Bayon	0
J	J	pns11	J	i	0
[	[	[	[	[	0
Ships	Ships	n2	Ships	ship	0
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
is	is	vbz	is	be	0
-	-	-	-	-	0
439	439	crd	439	439	0
-	-	-	-	-	0
Flanders	Flanders	np1	Flanders	Flanders	0
<	<	<	<	<	0
[	[	[	[	[	0
Ships	Ships	n2	Ships	ship	0
[	[	[	[	[	0
Mariners	Mariners	ng1	Mariners	mariner	0
14.	14.	crd	14.	14.	1
U3	U3	np1	U3	U3	0
