Certaine	Certaine	j	Certain	certain	0
notes	notes	n2	notes	note	0
unperfectly	unperfectly	av-j	unperfectly	unperfect	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
Richard	Richard	np1	Richard	Richard	0
Johnson	Johnson	np1	Johnson	Johnson	0
servant	servant	n1	servant	servant	0
to	to	p-acp	to	to	0
Master	Master	n1	Master	master	0
Richard	Richard	np1	Richard	Richard	0
Chan-celour	Chan-celour	j	Chancellor	chancellor	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
discoverie	discoverie	n1	discovery	discovery	0
of	of	pp-f	of	of	0
Vaigatz	Vaigatz	np1	Vaigatz	Vaigatz	0
and	and	cc	and	and	0
Nova	Nova	np1	Nova	Nova	0
Zembla	Zembla	np1	Zembla	Zembla	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
Steven	Steven	np1	Steven	Steven	0
Burrowe	Burrowe	np1	Burrowe	Burrowe	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Serchthrift	Serchthrift	n1	Serchthrift	serchthrift	0
1556.	1556.	crd	1556.	1556.	0
and	and	cc	and	and	0
after	after	a-acp	after	after	0
-	-	-	-	-	0
i$56	i$56	n1	i$56	i$56	0
warde	warde	n1	ward	ward	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
Samoedes	Samoedes	n2	Samoedes	samoede	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
devilish	devilish	j	devilish	devilish	0
rites	rites	n2	rites	rite	0
hee	hee	pns31	he	he	0
describeth	describeth	vvz	describeth	describe	0
.	.	.	.	.	1
Norway	Norway	np1	Norway	Norway	0
.	.	.	.	.	1
Roste	Roste	n1	Roast	roast	0
Etf	Etf	np1	Etf	Etf	0
Lofoot	Lofoot	np1	Lofoot	Lofoot	0
.	.	.	.	.	1
Finmarke	Finmarke	np1	Finmarke	Finmarke	0
.	.	.	.	.	1
Wardhouse	Wardhouse	np1	Wardhouse	Wardhouse	0
.	.	.	.	.	1
Lappia	Lappia	np1	Lappia	Lappia	0
.	.	.	.	.	1
The	The	dt	The	the	0
Serie	Serie	np1	Serie	Serie	0
-	-	-	-	-	0
Irst	Irst	n1	Irst	irst	0
,	,	,	,	,	0
after	after	c-acp	after	after	0
we	we	pns12	we	we	0
departed	departed	vvd	departed	depart	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
we	we	pns12	we	we	0
fell	fell	vvd	fell	fall	0
with	with	p-acp	with	with	0
Norway	Norway	np1	Norway	Norway	0
,	,	,	,	,	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
that	that	d	that	that	0
coste	coste	n1	cost	cost	0
lieth	lieth	vvz	lies	lie	0
Northbern	Northbern	j	Northbern	northbern	0
or	or	cc	or	or	0
Northbergen	Northbergen	np1	Northbergen	Northbergen	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
people	people	n1	people	people	0
are	are	vbr	are	be	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Denmarke	Denmarke	np1	Denmarke	Denmark	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
they	they	pns32	they	they	0
differ	differ	vvb	differ	differ	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
speech	speech	n1	speech	speech	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Danes	Danes	np2	Danes	Dane	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
speake	speake	vvb	speak	speak	0
Norsh	Norsh	j	Norsh	norsh	0
.	.	.	.	.	1
And	And	cc	And	and	0
North	North	n1	North	north	0
of	of	pp-f	of	of	0
Northbern	Northbern	np1	Northbern	Northbern	0
lie	lie	vvb	lie	lie	0
the	the	dt	the	the	0
Isles	Isles	n2	Isles	isle	0
of	of	pp-f	of	of	0
Roste	Roste	n1	Roast	roast	0
and	and	cc	and	and	0
Lofoot	Lofoot	np1	Lofoot	Lofoot	0
,	,	,	,	,	0
and	and	cc	and	and	0
