A	A	dt	A	a	0
compendious	compendious	j	compendious	compendious	0
and	and	cc	and	and	0
briefe	briefe	j	brief	brief	0
declaration	declaration	n1	declaration	declaration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
journey	journey	n1	journey	journey	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
Anth.	Anth.	np1	Anth.	Anth.	1
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
famous	famous	j	famous	famous	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Persia	Persia	np1	Persia	Persia	0
,	,	,	,	,	0
passing	passing	vvg	passing	pass	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
same	same	d	same	same	0
journey	journey	n1	journey	journey	0
thorow	thorow	p-acp	thorough	through	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
Moscovia	Moscovia	np1	Moscovia	Moscovia	0
,	,	,	,	,	0
and	and	cc	and	and	0
Mare	Mare	n1	Mare	mare	0
Caspium	Caspium	np1	Caspium	Caspium	0
,	,	,	,	,	0
alias	alias	av	alias	alias	0
Hircanum	Hircanum	np1	Hircanum	Hircanum	0
,	,	,	,	,	0
sent	sent	vvn	sent	send	0
and	and	cc	and	and	0
imployed	imployed	vvn	employed	employ	0
therein	therein	av	therein	therein	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
Societie	Societie	n1	Society	society	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Merchants	Merchants	n2	Merchant's	merchant	0
Adventurers	Adventurers	n2	Adventurers	adventurer	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
discoverie	discoverie	n1	discovery	discovery	0
of	of	pp-f	of	of	0
Lands	Lands	n2	Lands	land	0
,	,	,	,	,	0
Islands	Islands	n2	Islands	island	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Being	Being	vbg	Being	be	0
begun	begun	vvn	begun	begin	0
the	the	dt	the	the	0
foureteenth	foureteenth	ord	foureteenth	fourteen	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
May	May	np1	May	May	0
,	,	,	,	,	0
Anno	Anno	fw-la	Anno	anno	0
1561	1561	crd	1561	1561	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
third	third	ord	third	three	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
1561.	1561.	crd	1561.	1561.	0
the	the	dt	the	the	0
reigne	reigne	n1	reign	reign	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majestic	Majestic	j	Majestic	majestic	0
that	that	cst	that	that	0
now	now	av	now	now	0
is	is	vbz	is	be	0
:	:	:	:	:	0
this	this	d	this	this	0
present	present	j	present	present	0
declaration	declaration	n1	declaration	declaration	0
being	being	vbg	being	be	0
directed	directed	vvn	directed	direct	0
and	and	cc	and	and	0
written	written	vvn	written	write	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
foresayd	foresayd	j-vvn	foresaid	foresay	0
Societie	Societie	n1	Society	society	0
.	.	.	.	.	1
Irst	Irst	np1	Irst	Irst	0
imbarking	imbarking	vvg	embarking	embark	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
good	good	j	good	good	0
shippe	shippe	n1	ship	ship	0
of	of	pp-f	of	of	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
named	named	vvd	nam	name	0
the	the	dt	the	the	0
Swallow	Swallow	n1	Swallow	swallow	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
Gravesend	Gravesend	np1	Gravesend	Gravesend	0
,	,	,	,	,	0
having	having	vhg	having	have	0
a	a	dt	a	a	0
faire	faire	j	fair	fair	0
and	and	cc	and	and	0
good	good	j	good	good	0
winde	winde	n1	wind	wind	0
,	,	,	,	,	0
our	our	po12	our	our	0
anker	anker	n1	anchor	anchor	0
then	then	av	then	then	0
weyed	weyed	vvn	weighed	weigh	0
,	,	,	,	,	0
and	and	cc	and	and	0
committing	committing	vvg	committing	commit	0
all	all	d	all	all	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
protection	protection	n1	protection	protection	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
God	God	n1	God	god	0
,	,	,	,	,	0
having	having	vhg	having	have	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
sailing	sailing	vvg	sailing	sail	0
