A	A	dt	A	a	0
very	very	j	very	very	0
briefe	briefe	j	brief	brief	0
remembrance	remembrance	n1	remembrance	remembrance	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
voyage	voyage	n1	voyage	voyage	0
made	made	vvd	made	make	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
Anthony	Anthony	np1	Anthony	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
London	London	np1	London	London	0
to	to	p-acp	to	to	0
Moscovia	Moscovia	np1	Moscovia	Moscovia	0
,	,	,	,	,	0
sent	sent	vvn	sent	send	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majestie	Majestie	n1	Majesty	majesty	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1566.	1566.	crd	1566.	1566.	1
He	He	pns31	He	he	0
fourth	fourth	ord	fourth	four	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
May	May	n1	May	may	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
,	,	,	,	,	0
I	I	pns11	I	i	0
imbarked	imbarked	vvd	embarked	embark	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
at	at	p-acp	at	at	0
Gravesend	Gravesend	np1	Gravesend	Gravesend	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
good	good	j	good	good	0
ship	ship	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Harry	Harry	vvi	Harry	harry	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
and	and	cc	and	and	0
having	having	vhg	having	have	0
had	had	vhn	had	have	0
a	a	dt	a	a	0
prosperous	prosperous	j	prosperous	prosperous	0
voyage	voyage	n1	voyage	voyage	0
arrived	arrived	vvn	arrived	arrive	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
bay	bay	n1	bay	bay	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
the	the	dt	the	the	0
10.	10.	crd	10.	10.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
following	following	vvg	following	follow	0
,	,	,	,	,	0
and	and	cc	and	and	0
immediatly	immediatly	av-j	immediately	immediate	0
I	I	pns11	I	i	0
sent	sent	vvd	sent	send	0
in	in	p-acp	in	in	0
post	post	n1	post	post	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Emperor	Emperor	n1	Emperor	emperor	0
to	to	pc-acp	to	to	0
advertise	advertise	vvi	advertise	advertise	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
comming	comming	n-vvg	coming	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
travelling	travelling	vvg	traveling	travel	0
then	then	av	then	then	0
thorowe	thorowe	p-acp	thorough	through	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
I	I	pns11	I	i	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
company	company	n1	company	company	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Mosco	Mosco	np1	Mosco	Moscow	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
kept	kept	vvd	kept	keep	0
his	his	po31	his	his	0
court	court	n1	court	court	0
,	,	,	,	,	0
the	the	dt	the	the	0
23.	23.	crd	23.	23.	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
,	,	,	,	,	0
and	and	cc	and	and	0
foorthwith	foorthwith	av	forthwith	forthwith	0
gave	gave	vvd	gave	give	0
the	the	dt	the	the	0
Secretarie	Secretarie	n1	Secretary	secretary	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
arrivall	arrivall	n1	arrival	arrival	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
advertised	advertised	vvd	advertised	advertise	0
the	the	dt	the	the	0
Emperours	Emperours	ng1	Emperors	emperor	0
Majestie	Majestie	n1	Majesty	majesty	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
first	first	ord	first	first	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
,	,	,	,	,	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
solemne	solemne	j	solemn	solemn	0
feast	feast	n1	feast	feast	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
Russes	Russes	zz	Russes	russes	0
,	,	,	,	,	0
I	I	pns11	I	i	0
came	came	vvd	came	come	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Emperours	Emperours	ng1	Emperors	emperor	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
sitting	sitting	vvg	sitting	sit	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
seate	seate	n1	seat	seat	0
of	of	pp-f	of	of	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
having	having	vhg	having	have	0
kissed	kissed	vvn	kissed	kiss	0
his	his	po31	his	his	0
hand	hand	n1	hand	hand	0
and	and	cc	and	and	0
done	done	vdn	done	do	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majesties	Majesties	n2	Majesties	majesty	0
commendations	commendations	n2	commendations	commendation	0
,	,	,	,	,	0
and	and	cc	and	and	0
delivered	delivered	vvd	delivered	deliver	0
her	her	po31	her	her	0
Graces	Graces	ng1	Graces	grace	0
letters	letters	n2	letters	letter	0
and	and	cc	and	and	0
present	present	j	present	present	0
,	,	,	,	,	0
he	he	pns31	he	he	0
bad	bad	vvd	bade	bid	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
dinner	dinner	n1	dinner	dinner	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
accepted	accepted	vvd	accepted	accept	0
,	,	,	,	,	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
much	much	d	much	much	0
honour	honour	n1	honour	honour	0
done	done	vdn	done	do	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
both	both	d	both	both	0
then	then	av	then	then	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
abode	abode	n1	abided	abode	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
.	.	.	.	.	1
The	The	dt	The	the	0
Priviledges	Priviledges	n2	Privileges	privilege	0
graunted	graunted	vvn	granted	grant	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
English	English	jp	English	english	0
merchants	merchants	n2	merchant's	merchant	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
company	company	n1	company	company	0
:	:	:	:	:	0
obteined	obteined	vvd	obtained	obtain	0
the	the	dt	the	the	0
22.	22.	crd	22.	22.	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
,	,	,	,	,	0
Anno	Anno	fw-la	Anno	anno	0
1567.	1567.	crd	1567.	1567.	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
Anthony	Anthony	np1	Anthony	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
.	.	.	.	.	1
Ne	Ne	ccx	Ne	ne	0
onely	onely	j	only	only	0
strengthener	strengthener	n1	strengthener	strengthener	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
God	God	np1	God	God	0
without	without	p-acp	without	without	0
beginning	beginning	n1	beginning	beginning	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
the	the	dt	the	the	0
Sonne	Sonne	n1	Son	son	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
,	,	,	,	,	0
our	our	po12	our	our	0
onely	onely	j	only	only	0
God	God	n1	God	god	0
in	in	p-acp	in	in	0
Trinitie	Trinitie	np1	Trinitie	Trinity	0
,	,	,	,	,	0
and	and	cc	and	and	0
maker	maker	n1	maker	maker	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
worship	worship	vvb	worship	worship	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
places	places	n2	places	place	0
,	,	,	,	,	0
the	the	dt	the	the	0
doer	doer	n1	doer	doer	0
and	and	cc	and	and	0
fulfiller	fulfiller	n1	fulfiller	fulfiller	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
perfect	perfect	j	perfect	perfect	0
knowledge	knowledge	n1	knowledge	knowledge	0
giver	giver	n1	giver	giver	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
true	true	j	true	true	0
God	God	np1	God	God	0
,	,	,	,	,	0
our	our	po12	our	our	0
92	92	crd	92	92	0
Lorde	Lorde	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
comforter	comforter	n1	comforter	comforter	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
thou	thou	pns21	thou	thou	0
which	which	r-crq	which	which	0
art	art	vb2r	art	be	0
the	the	dt	the	the	0
strengthener	strengthener	n1	strengthener	strengthener	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
keepe	keepe	vvb	keep	keep	0
us	us	pno12	us	we	0
together	together	av	together	together	0
,	,	,	,	,	0
&	&	cc	&	and	0
give	give	vvb	give	give	0
us	us	pno12	us	we	0
health	health	n1	health	health	0
to	to	pc-acp	to	to	0
preserve	preserve	vvi	preserve	preserve	0
our	our	po12	our	our	0
kingdome	kingdome	n1	kingdom	kingdom	0
,	,	,	,	,	0
thou	thou	pns21	thou	thou	0
giver	giver	n1	giver	giver	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
good	good	j	good	good	0
fruites	fruites	n2	fruits	fruit	0
,	,	,	,	,	0
and	and	cc	and	and	0
helper	helper	n1	helper	helper	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Christian	Christian	njp	Christian	christian	0
beleevers	beleevers	n2	believers	believer	0
.	.	.	.	.	1
We	We	pns12	We	we	0
great	great	j	great	great	0
lord	lord	n1	lord	lord	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
duke	duke	n1	duke	duke	0
John	John	np1	John	John	0
Vasiliwich	Vasiliwich	np1	Vasiliwich	Vasiliwich	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
Volodimer	Volodimer	np1	Volodimer	Volodimer	0
,	,	,	,	,	0
Mosco	Mosco	np1	Mosco	Moscow	0
,	,	,	,	,	0
Novo-grod	Novo-grod	j	Novgorod	novgorod	0
,	,	,	,	,	0
Cazan	Cazan	np1	Cazan	Cazan	0
,	,	,	,	,	0
Astracan	Astracan	jp	Astracan	astracan	0
,	,	,	,	,	0
Plesco	Plesco	np1	Plesco	Plesco	0
,	,	,	,	,	0
Smolensko	Smolensko	fw-mi	Smolensko	smolensko	0
,	,	,	,	,	0
Tweria	Tweria	np1	Tweria	Tweria	0
,	,	,	,	,	0
Yougorie	Yougorie	np1	Yougorie	Yougorie	0
,	,	,	,	,	0
Vadika	Vadika	np1	Vadika	Vadika	0
,	,	,	,	,	0
Bulgar	Bulgar	j	Bulgar	bulgar	0
,	,	,	,	,	0
Sybier	Sybier	np1	Sybier	Sybier	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
Emperour	Emperour	n1	Emperor	emperor	0
and	and	cc	and	and	0
great	great	j	great	great	0
duke	duke	n1	duke	duke	0
of	of	pp-f	of	of	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lower	lower	jc	lower	low	0
land	land	n1	land	land	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Chernygo	Chernygo	np1	Chernygo	Chernygo	0
,	,	,	,	,	0
Rezan	Rezan	n1	Rezan	rezan	0
,	,	,	,	,	0
Polotski	Polotski	np1	Polotski	Polotski	0
,	,	,	,	,	0
Rostove	Rostove	np1	Rostove	Rostove	0
,	,	,	,	,	0
Yereslave	Yereslave	n1	Yereslave	yereslave	0
,	,	,	,	,	0
Bealo-zera	Bealo-zera	j	Bealozera	bealozera	0
,	,	,	,	,	0
Oudoria	Oudoria	np1	Oudoria	Oudoria	0
,	,	,	,	,	0
Obdoria	Obdoria	np1	Obdoria	Obdoria	0
,	,	,	,	,	0
Condensa	Condensa	fw-la	Condensa	condensa	0
,	,	,	,	,	0
and	and	cc	and	and	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
lands	lands	n2	lands	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
North	North	n1	North	north	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
commander	commander	n1	commander	commander	0
and	and	cc	and	and	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
Liffe-land	Liffe-land	n1	Life-land	life-land	0
.	.	.	.	.	1
Whereas	Whereas	cs	Whereas	whereas	0
our	our	po12	our	our	0
sister	sister	n1	sister	sister	0
Queene	Queene	n1	Queen	queen	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
France	France	np1	France	France	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
written	written	vvn	written	write	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
her	her	po31	her	her	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
would	would	vmd	would	will	0
graunt	graunt	vvi	grant	grant	0
her	her	po31	her	her	0
merchants	merchants	n2	merchant's	merchant	0
,	,	,	,	,	0
William	William	np1	William	William	0
Gerrard	Gerrard	np1	Gerrard	Gerrard	0
,	,	,	,	,	0
William	William	np1	William	William	0
Chester	Chester	np1	Chester	Chester	0
,	,	,	,	,	0
Rowland	Rowland	np1	Rowland	Rowland	0
Heyward	Heyward	np1	Heyward	Heyward	0
,	,	,	,	,	0
Lawrence	Lawrence	np1	Lawrence	Laurence	0
Hussie	Hussie	np1	Hussie	Hussie	0
,	,	,	,	,	0
John	John	np1	John	John	0
Marsh	Marsh	n1	Marsh	marsh	0
,	,	,	,	,	0
Anthony	Anthony	np1	Anthony	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
,	,	,	,	,	0
William	William	np1	William	William	0
Rowly	Rowly	np1	Rowly	Rowly	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
in	in	p-acp	in	in	0
ships	ships	n2	ships	ship	0
into	into	p-acp	into	into	0
this	this	d	this	this	0
kingdome	kingdome	n1	kingdom	kingdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
merchants	merchants	n2	merchant's	merchant	0
,	,	,	,	,	0
William	William	np1	William	William	0
Gerrard	Gerrard	np1	Gerrard	Gerrard	0
and	and	cc	and	and	0
his	his	po31	his	his	0
company	company	n1	company	company	0
have	have	vhb	have	have	0
required	required	vvn	required	require	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
would	would	vmd	would	will	0
graunt	graunt	vvi	grant	grant	0
and	and	cc	and	and	0
licence	licence	vvi	licence	licence	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
into	into	p-acp	into	into	0
our	our	po12	our	our	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
Dwina	Dwina	np1	Dwina	Dwina	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
