[	[	[	[	[	0
I.	I.	np1	I.	I.	0
398.	398.	crd	398.	398.	0
]	]	]	]	]	1
Further	Further	av-jc	Further	further	0
observations	observations	n2	observations	observation	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
Persia	Persia	np1	Persia	Persia	0
,	,	,	,	,	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
foresayd	foresayd	j-vvn	foresaid	foresay	0
fift	fift	ord	fift	five	0
voyage	voyage	n1	voyage	voyage	0
into	into	p-acp	into	into	0
those	those	d	those	those	0
partes	partes	n2	parts	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
Geffrey	Geffrey	np1	Geffrey	Geffrey	0
Ducket	Ducket	np1	Ducket	Ducket	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Agents	Agents	n2	Agents	agent	0
emploied	emploied	vvn	employed	employ	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
Hamaky	Hamaky	np1	Hamaky	Hamaky	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
fairest	fairest	js	fairest	fair	0
towne	towne	n1	town	town	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
Media	Media	fw-la	Media	media	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
chiefest	chiefest	js-jn	chiefest	chief	0
commoditie	commoditie	n1	commodity	commodity	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
countrey	countrey	n1	country	country	0
is	is	vbz	is	be	0
rawe	rawe	j	raw	raw	0
silke	silke	n1	silk	silk	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
plentie	plentie	n1	plenty	plenty	0
thereof	thereof	av	thereof	thereof	0
is	is	vbz	is	be	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
towne	towne	n1	town	town	0
three	three	crd	three	three	0
dayes	dayes	ng2	days	day	0
journey	journey	n1	journey	journey	0
from	from	p-acp	from	from	0
Shamaky	Shamaky	j	Shamaky	shamaky	0
called	called	vvn	called	call	0
Arash	Arash	n1	Arash	arash	0
:	:	:	:	:	0
and	and	cc	and	and	0
within	within	p-acp	within	within	0
3.	3.	crd	3.	3.	0
dayes	dayes	ng2	days	day	0
journey	journey	n1	journey	journey	0
of	of	pp-f	of	of	0
Arash	Arash	n1	Arash	arash	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
countrey	countrey	n1	country	country	0
named	named	vvd	nam	name	0
Grosin	Grosin	n1	Grosin	grosin	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
inhabit	inhabit	vvb	inhabit	inhabit	0
ants	ants	n2	ants	ant	0
are	are	vbr	are	be	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
&	&	cc	&	and	0
