others	others	n2-jn	others	other	0
.	.	.	.	.	1
The	The	dt	The	the	0
goods	goods	n2-j	goods	good	0
returned	returned	vvd	returned	return	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Persia	Persia	np1	Persia	Persia	0
voyage	voyage	n1	voyage	voyage	0
were	were	vbdr	were	be	0
laden	laden	vvn	laden	lade	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
William	William	np1	William	William	0
and	and	cc	and	and	0
John	John	np1	John	John	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
was	was	vbds	was	be	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
William	William	np1	William	William	0
Bigat	Bigat	n1	Bigat	bigat	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
her	her	pno31	her	she	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
same	same	d	same	same	0
goods	goods	n2-j	goods	good	0
came	came	vvd	came	come	0
Peter	Peter	np1	Peter	Peter	0
Garrard	Garrard	np1	Garrard	Garrard	0
and	and	cc	and	and	0
Tobias	Tobias	np1	Tobias	Tobias	0
Parris	Parris	np1	Parris	Paris	0
.	.	.	.	.	1
The	The	dt	The	the	0
ii	ii	crd	ii	two	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
,	,	,	,	,	0
the	the	dt	the	the	0
same	same	d	same	same	0
ship	ship	n1	ship	ship	0
being	being	vbg	being	be	0
laden	laden	vvn	laden	lade	0
and	and	cc	and	and	0
dispatched	dispatched	vvn	dispatched	dispatch	0
departed	departed	vvn	departed	depart	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
rode	rode	n1	road	road	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
her	her	pno31	her	she	0
in	in	p-acp	in	in	0
company	company	n1	company	company	0
another	another	j-jn	another	another	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
companies	companies	n2	companies	company	0
fraighted	fraighted	vvn	freighted	freight	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Tomasin	Tomasin	np1	Tomasin	Tomasin	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
was	was	vbds	was	be	0
M.	M.	n1	M.	m.	0
Christopher	Christopher	np1	Christopher	Christopher	0
Hall	Hall	n1	Hall	hall	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
their	their	po32	their	their	0
returne	returne	n1	return	return	0
homewards	homewards	av	homeward	homeward	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
some	some	d	some	some	0
foule	foule	j	foul	foul	0
weather	weather	n1	weather	weather	0
,	,	,	,	,	0
and	and	cc	and	and	0
were	were	vbdr	were	be	0
separated	separated	vvn	separated	separate	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
the	the	dt	the	the	0
William	William	np1	William	William	0
and	and	cc	and	and	0
John	John	np1	John	John	0
put	put	vvd	put	put	0
into	into	p-acp	into	into	0
Newcastle	Newcastle	np1	Newcastle	Newcastle	0
the	the	dt	the	the	0
24	24	crd	24	24	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
:	:	:	:	:	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Peter	Peter	np1	Peter	Peter	0
Garrard	Garrard	np1	Garrard	Garrard	0
and	and	cc	and	and	0
Tobias	Tobias	np1	Tobias	Tobias	0
Parris	Parris	np1	Parris	Paris	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
London	London	np1	London	London	0
by	by	p-acp	by	by	0
land	land	n1	land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
brought	brought	vvd	brought	bring	0
newes	newes	n1	news	news	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
arrivall	arrivall	n1	arrival	arrival	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
.	.	.	.	.	1
The	The	dt	The	the	0
25	25	crd	25	25	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
both	both	d	both	both	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
ships	ships	n2	ships	ship	0
arrived	arrived	vvn	arrived	arrive	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
port	port	n1	port	port	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
in	in	p-acp	in	in	0
safety	safety	n1	safety	safety	0
,	,	,	,	,	0
and	and	cc	and	and	0
ankered	ankered	vvn	anchored	anchor	0
before	before	p-acp	before	before	0
Limehouse	Limehouse	n1	Limehouse	limehouse	0
and	and	cc	and	and	0
Wapping	Wapping	np1	Wapping	Wapping	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
discharged	discharged	vvn	discharged	discharge	0
,	,	,	,	,	0
1581.	1581.	crd	1581.	1581.	1
Observations	Observations	n2	Observations	observation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
latitudes	latitudes	n2	latitudes	latitude	0
and	and	cc	and	and	0
meridian	meridian	n1	meridian	meridian	0
altitudes	altitudes	n2	altitudes	altitude	0
of	of	pp-f	of	of	0
divers	divers	j	diverse	diverse	0
places	places	n2	places	place	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
North	North	n1	North	north	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
South	South	n1	South	south	0
:	:	:	:	:	0
Anno	Anno	fw-la	Anno	anno	0
1581.	1581.	crd	1581.	1581.	1
Michael	Michael	np1	Michael	Michael	0
Archangel	Archangel	np1	Archangel	Archangel	0
.	.	.	.	.	1
Meridian	Meridian	np1	Meridian	Meridian	0
altitude	altitude	n1	altitude	altitude	0
observed	observed	vvn	observed	observe	0
at	at	p-acp	at	at	0
Michael	Michael	np1	Michael	Michael	0
the	the	dt	the	the	0
Archangel	Archangel	np1	Archangel	Archangel	0
,	,	,	,	,	0
42.	42.	crd	42.	42.	0
degrees	degrees	n2	degrees	degree	0
,	,	,	,	,	0
30.	30.	crd	30.	30.	0
minuts	minuts	n2	minutes	minute	0
.	.	.	.	.	1
The	The	dt	The	the	0
true	true	j	true	true	0
latitude	latitude	n1	latitude	latitude	0
,	,	,	,	,	0
64.	64.	crd	64.	64.	0
degrees	degrees	n2	degrees	degree	0
,	,	,	,	,	0
54.	54.	crd	54.	54.	0
minuts	minuts	n2	minutes	minute	0
.	.	.	.	.	1
The	The	dt	The	the	0
English	English	jp	English	english	0
house	house	n1	house	house	0
in	in	p-acp	in	in	0
Colmogro	Colmogro	np1	Colmogro	Colmogro	0
.	.	.	.	.	1
The	The	dt	The	the	0
English	English	jp	English	english	0
house	house	n1	house	house	0
in	in	p-acp	in	in	0
Colmogro	Colmogro	np1	Colmogro	Colmogro	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
latitude	latitude	n1	latitude	latitude	0
,	,	,	,	,	0
64.	64.	crd	64.	64.	0
d	d	sy	worser	d	0
.	.	.	.	.	1
25.	25.	crd	25.	25.	0
m	m	sy	m	m	0
.	.	.	.	.	1
The	The	dt	The	the	0
meridian	meridian	n1	meridian	meridian	0
altitude	altitude	n1	altitude	altitude	0
there	there	a-acp	there	there	0
observed	observed	vvn	observed	observe	0
,	,	,	,	,	0
the	the	dt	the	the	0
29	29	crd	29	29	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
,	,	,	,	,	0
42.	42.	crd	42.	42.	0
d	d	sy	worser	d	0
.	.	.	.	.	1
15.	15.	crd	15.	15.	0
m	m	sy	m	m	0
.	.	.	.	.	1
Recola	Recola	np1	Recola	Recola	0
.	.	.	.	.	1
Meridian	Meridian	np1	Meridian	Meridian	0
altitude	altitude	n1	altitude	altitude	0
the	the	dt	the	the	0
30	30	crd	30	30	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
,	,	,	,	,	0
41.	41.	crd	41.	41.	0
d	d	sy	worser	d	0
.	.	.	.	.	1
40.	40.	crd	40.	40.	0
m	m	sy	m	m	0
.	.	.	.	.	1
Declination	Declination	n1	Declination	declination	0
,	,	,	,	,	0
16.	16.	crd	16.	16.	0
d	d	sy	worser	d	0
.	.	.	.	.	1
6.	6.	crd	6.	6.	0
m	m	sy	m	m	0
.	.	.	.	.	1
64.	64.	crd	64.	64.	0
d	d	sy	worser	d	0
.	.	.	.	.	1
20.	20.	crd	20.	20.	0
m	m	sy	m	m	0
.	.	.	.	.	1
Yeegris	Yeegris	np1	Yeegris	Yeegris	0
.	.	.	.	.	1
Meridian	Meridian	np1	Meridian	Meridian	0
,	,	,	,	,	0
4	4	crd	4	4	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
,	,	,	,	,	0
41.	41.	crd	41.	41.	0
d	d	sy	worser	d	0
.	.	.	.	.	1
50.	50.	crd	50.	50.	0
m	m	sy	m	m	0
.	.	.	.	.	1
Declination	Declination	n1	Declination	declination	0
Northerly	Northerly	j	Northerly	northerly	0
,	,	,	,	,	0
14.	14.	crd	14.	14.	0
d	d	sy	worser	d	0
.	.	.	.	.	1
49.	49.	crd	49.	49.	0
m	m	sy	m	m	0
.	.	.	.	.	1
62.	62.	crd	62.	62.	0
d	d	sy	worser	d	0
.	.	.	.	.	1
59.	59.	crd	59.	59	0
m	m	sy	m	m	0
.	.	.	.	.	1
247	247	crd	247	247	0
A.D.	A.D.	np1	A.D.	A.D.	0
1581.	1581.	crd	1581.	1581.	1
Meridian	Meridian	np1	Meridian	Meridian	0
altitude	altitude	n1	altitude	altitude	0
,	,	,	,	,	0
the	the	dt	the	the	0
15	15	crd	15	15	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
,	,	,	,	,	0
40.	40.	crd	40.	40.	0
d	d	sy	worser	d	0
.	.	.	.	.	1
45	45	crd	45	45	0
-	-	-	-	-	0
m	m	sy	m	m	0
-	-	-	-	-	0
Declination	Declination	n1	Declination	declination	0
Northerly	Northerly	j	Northerly	northerly	0
,	,	,	,	,	0
11.	11.	crd	11.	11.	0
d	d	sy	worser	d	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	0
m	m	sy	m	m	0
.	.	.	.	.	1
