WILLIAM	WILLIAM	np1	WILLIAM	William	0
BURROUGH’S	BURROUGH’S	vvz	BURROUGH’S	burrough’s	0
INSTRUCTIONS	INSTRUCTIONS	n2	INSTRUCTIONS	instruction	0
a.d.	a.d.	n1	a.d.	a.d.	1
1580.	1580.	crd	1580.	1580.	1
Instructions	Instructions	np1	Instructions	Instructions	0
and	and	cc	and	and	0
notes	notes	n2	notes	note	0
very	very	av	very	very	0
necessary	necessary	j	necessary	necessary	0
and	and	cc	and	and	0
needfull	needfull	j	needful	needful	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
observed	observed	vvn	observed	observe	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
purposed	purposed	j-vvn	purposed	purpose	0
voyage	voyage	n1	voyage	voyage	0
for	for	p-acp	for	for	0
discovery	discovery	n1	discovery	discovery	0
of	of	pp-f	of	of	0
Cathay	Cathay	np1	Cathay	Cathay	0
Eastwards	Eastwards	av-j	Eastwards	eastwards	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Arthur	Arthur	np1	Arthur	Arthur	0
Pet	Pet	np1	Pet	Pet	0
,	,	,	,	,	0
and	and	cc	and	and	0
Charles	Charles	np1	Charles	Charles	0
Jackman	Jackman	np1	Jackman	Jackman	0
:	:	:	:	:	0
given	given	vvn	given	give	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
William	William	np1	William	William	0
Burrough	Burrough	np1	Burrough	Burrough	0
.	.	.	.	.	1
1580.	1580.	crd	1580.	1580.	1
WHen	WHen	c-crq	WHen	when	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
Orfordnesse	Orfordnesse	n1	Orfordnesse	orfordnesse	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
winde	winde	n1	wind	wind	0
doe	doe	vdb	do	do	0
serve	serve	vvi	serve	serve	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
a	a	dt	a	a	0
seabord	seabord	n1	seaboard	seaboard	0
the	the	dt	the	the	0
sands	sands	n2	sands	sand	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
set	set	vvi	set	set	0
off	off	a-acp	off	off	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
and	and	cc	and	and	0
note	note	vvb	note	note	0
the	the	dt	the	the	0
time	time	n1	time	time	0
diligently	diligently	av-j	diligently	diligent	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
being	being	vbg	being	be	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
Nesse	Nesse	n1	Ness	ness	0
,	,	,	,	,	0
turning	turning	vvg	turning	turn	0
then	then	av	then	then	0
your	your	po22	your	your	0
glasse	glasse	n1	glass	glass	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
you	you	pn22	you	you	0
intende	intende	vvb	intend	intend	0
to	to	pc-acp	to	to	0
keepe	keepe	vvi	keep	keep	0
your	your	po22	your	your	0
continuall	continuall	j	continual	continual	0
watch	watch	n1	watch	watch	0
,	,	,	,	,	0
and	and	cc	and	and	0
apoint	apoint	vvb	appoint	appoint	0
such	such	d	such	such	0
course	course	n1	course	course	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
shal	shal	vmb	shall	shall	0
thinke	thinke	vvi	think	think	0
good	good	j	good	good	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
wind	wind	n1	wind	wind	0
serveth	serveth	vvz	serves	serve	0
you	you	pn22	you	you	0
:	:	:	:	:	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
time	time	n1	time	time	0
forwards	forwards	av-j	forward	forward	0
continually	continually	av-j	continually	continual	0
(	(	(	(	(	0
if	if	cs	if	if	0
your	your	po22	your	your	0
ship	ship	n1	ship	ship	0
be	be	vbb	be	be	0
lose	lose	j	loose	lose	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
saile	saile	n1	sail	sail	0
,	,	,	,	,	0
a	a	dt	a	a	0
hull	hull	n1	hull	hull	0
or	or	cc	or	or	0
trie	trie	vvi	try	try	0
)	)	)	)	)	0
do	do	vdb	do	do	0
you	you	pn22	you	you	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
every	every	d	every	every	0
4.	4.	crd	4.	4.	0
glasses	glasses	n2	glasses	glass	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
least	least	av-ds	least	least	0
(	(	(	(	(	0
except	except	c-acp	except	except	0
calme	calme	j-jn	calm	calm	0
)	)	)	)	)	0
sound	sound	vvb	found	sound	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
dipsin	dipsin	fw-gr	dipsin	dipsin	0
lead	lead	vvi	led	lead	0
,	,	,	,	,	0
and	and	cc	and	and	0
note	note	vvb	note	note	0
diligently	diligently	av-j	diligently	diligent	0
what	what	r-crq	what	what	0
depth	depth	n1	depth	depth	0
you	you	pn22	you	you	0
finde	finde	vvb	find	find	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
the	the	dt	the	the	0
ground	ground	n1	ground	ground	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
happen	happen	vvb	happen	happen	0
by	by	p-acp	by	by	0
swiftnes	swiftnes	n1	swiftness	swiftness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
shippes	shippes	n2	ships	ship	0
way	way	n1	way	way	0
,	,	,	,	,	0
or	or	cc	or	or	0
otherwise	otherwise	av	otherwise	otherwise	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
cannot	cannot	vmbx	cannot	can	0
get	get	vvi	get	get	0
ground	ground	n1	ground	ground	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
note	note	vvb	note	note	0
what	what	r-crq	what	what	0
depth	depth	n1	depth	depth	0
you	you	pn22	you	you	0
did	did	vdd	did	do	0
prove	prove	vvi	prove	prove	0
,	,	,	,	,	0
and	and	cc	and	and	0
could	could	vmd	could	can	0
finde	finde	vvi	find	find	0
no	no	dx	no	no	0
ground	ground	n1	ground	ground	0
(	(	(	(	(	0
this	this	d	this	this	0
note	note	n1	note	note	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
observed	observed	vvn	observed	observe	0
all	all	av-d	all	all	0
your	your	po22	your	your	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
outwards	outwards	av-j	outward	outward	0
as	as	c-acp	as	as	0
homewards	homewards	av	homeward	homeward	0
.	.	.	.	.	0
)	)	)	)	)	1
But	But	p-acp	But	but	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
upon	upon	p-acp	upon	upon	0
any	any	d	any	any	0
coast	coast	n1	coast	coast	0
,	,	,	,	,	0
or	or	cc	or	or	0
doe	doe	vdb	do	do	0
finde	finde	vvi	find	find	0
any	any	d	any	any	0
sholde	sholde	vmd	should	shall	0
banke	banke	n1	bank	bank	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
then	then	av	then	then	0
to	to	pc-acp	to	to	0
use	use	vvi	use	use	0
your	your	po22	your	your	0
leade	leade	n1	lead	lead	0
oftener	oftener	av-c	oftener	often	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
shal	shal	vmb	shall	shall	0
thinke	thinke	vvi	think	think	0
it	it	pn31	it	it	0
requisite	requisite	j	requisite	requisite	0
,	,	,	,	,	0
noting	noting	vvg	noting	note	0
diligently	diligently	av-j	diligently	diligent	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
depth	depth	n1	depth	depth	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
deeping	deeping	j-vvg	deeping	deep	0
and	and	cc	and	and	0
sholding	sholding	vvg	sholding	shold	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
likewise	likewise	av	likewise	likewise	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
note	note	vvi	note	note	0
the	the	dt	the	the	0
depthes	depthes	n2	depths	depth	0
into	into	p-acp	into	into	0
harboroughs	harboroughs	n2	harboroughs	harborough	0
,	,	,	,	,	0
rivers	rivers	n2	rivers	river	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
keeping	keeping	vvg	keeping	keep	0
your	your	po22	your	your	0
dead	dead	j	dead	dead	0
reckoning	reckoning	n-vvg	reckoning	reckon	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
very	very	av	very	very	0
necessary	necessary	j	necessary	necessary	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
doe	doe	vdb	do	do	0
note	note	vvi	note	note	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
of	of	pp-f	of	of	0
every	every	d	every	every	0
foure	foure	crd	foure	four	0
glasses	glasses	n2	glasses	glass	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
way	way	n1	way	way	0
the	the	dt	the	the	0
shippe	shippe	n1	ship	ship	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
best	best	js	best	best	0
proofes	proofes	n2	proofs	proof	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
used	used	vvn	used	use	0
)	)	)	)	)	0
and	and	cc	and	and	0
howe	howe	c-crq	how	how	0
her	her	po31	her	her	0
way	way	n1	way	way	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
