OF	OF	pp-f	OF	of	0
PREFERRING	PREFERRING	vvg	PREFERRING	prefer	0
SUITS	SUITS	n2	SUITS	suit	0
IN	IN	p-acp	IN	in	0
RUSSIA	RUSSIA	np1	RUSSIA	Russia	0
a.d.	a.d.	n1	a.d.	a.d.	0
..	..	..	..	..	1
J583	J583	np1	J583	J583	0
-	-	-	-	-	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
presence	presence	n1	presence	presence	0
drew	drew	vvd	drew	draw	0
a	a	dt	a	a	0
sled	sled	n1	sled	sled	0
and	and	cc	and	and	0
a	a	dt	a	a	0
man	man	n1	man	man	0
upon	upon	p-acp	upon	upon	0
it	it	pn31	it	it	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Samoeds	Samoeds	n2	Samoeds	samoed	0
,	,	,	,	,	0
a	a	dt	a	a	0
people	people	n1	people	people	0
that	that	cst	that	that	0
inhabite	inhabite	vvb	inhabit	inhabit	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Northeast	Northeast	n1	Northeast	north-east	0
from	from	p-acp	from	from	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
and	and	cc	and	and	0
were	were	vbdr	were	be	0
that	that	d	that	that	0
yeere	yeere	n1	year	year	0
come	come	vvn	come	come	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
winter	winter	n1	winter	winter	0
season	season	n1	season	season	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
yce	yce	n1	ice	ice	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
sleds	sleds	n2	sleds	sled	0
,	,	,	,	,	0
drawen	drawen	vvn	drawn	draw	0
with	with	p-acp	with	with	0
these	these	d	these	these	0
deere	deere	j-jn	deer	dear	0
into	into	p-acp	into	into	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
ambassadour	ambassadour	n1	ambassador	ambassador	0
bought	bought	vvn	bought	buy	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
seventeene	seventeene	crd	seventeene	seventeen	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
he	he	pns31	he	he	0
brought	brought	vvd	brought	bring	0
nine	nine	crd	nine	nine	0
alive	alive	j	alive	alive	0
into	into	p-acp	into	into	0
Kent	Kent	np1	Kent	Kent	0
.	.	.	.	.	1
The	The	dt	The	the	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
