stuffe	stuffe	n1	stuff	stuff	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
billes	billes	n2	bills	bill	0
,	,	,	,	,	0
books	books	n2	books	book	0
and	and	cc	and	and	0
writings	writings	n2-vvg	writings	write	0
.	.	.	.	.	1
All	All	av-d	All	all	0
which	which	r-crq	which	which	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
delivered	delivered	vvn	delivered	deliver	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
merchants	merchants	ng1	merchant's	merchant	0
Agent	Agent	n1	Agent	agent	0
and	and	cc	and	and	0
his	his	po31	his	his	0
fellowes	fellowes	n2	fellows	fellow	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
money	money	n1	money	money	0
600	600	crd	600	600	0
rubbles	rubbles	n2	rubbles	rubble	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Turnebulles	Turnebulles	n2	Turnebulles	turnebulle	0
.	.	.	.	.	1
And	And	np1	And	And	0
touching	touching	vvg	touching	touch	0
your	your	po22	your	your	0
merchants	merchants	n2	merchant's	merchant	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
have	have	vhi	have	have	0
a	a	dt	a	a	0
great	great	j	great	great	0
care	care	n1	care	care	0
over	over	p-acp	over	over	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
protect	protect	vvi	protect	protect	0
them	them	pno32	them	they	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
suffer	suffer	vvi	suffer	suffer	0
no	no	dx	no	no	0
damages	damages	n2	damages	damage	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
trade	trade	n1	trade	trade	0
:	:	:	:	:	0
and	and	cc	and	and	0
all	all	d	all	all	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
trafficke	trafficke	n1	traffic	traffic	0
in	in	p-acp	in	in	0
merchandise	merchandise	n1	merchandise	merchandise	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
libertie	libertie	n1	liberty	liberty	0
.	.	.	.	.	1
Written	Written	j-vvn	Written	write	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Kings	Kings	ng1	Kings	king	0
Majesties	Majesties	n2	Majesties	majesty	0
royall	royall	j	royal	royal	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Mosco	Mosco	np1	Mosco	Moscow	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
7101	7101	crd	7101	7101	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
Januarie	Januarie	np1	Januarie	Januarie	0
.	.	.	.	.	1
A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Boris	Boris	np1	Boris	Boris	0
Pheodorowich	Pheodorowich	np1	Pheodorowich	Pheodorowich	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
honourable	honourable	j	honourable	honourable	0
Lord	Lord	n1	Lord	lord	0
William	William	np1	William	William	0
Burghley	Burghley	np1	Burghley	Burghley	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
high	high	j	high	high	0
Treasurer	Treasurer	n1	Treasurer	treasurer	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
Y	Y	zz	Y	y	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
great	great	j	great	great	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
King	King	n1	King	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
Theodor	Theodor	np1	Theodor	Theodor	0
Ivanovich	Ivanovich	np1	Ivanovich	Ivanovich	0
,	,	,	,	,	0
governour	governour	n1	governor	governor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
Volodimer	Volodimer	np1	Volodimer	Volodimer	0
,	,	,	,	,	0
Mosco	Mosco	np1	Mosco	Moscow	0
,	,	,	,	,	0
and	and	cc	and	and	0
Novo-grod	Novo-grod	j	Novgorod	novgorod	0
,	,	,	,	,	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Cazan	Cazan	np1	Cazan	Cazan	0
and	and	cc	and	and	0
Astracan	Astracan	jp	Astracan	astracan	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Vobsco	Vobsco	np1	Vobsco	Vobsco	0
