The	The	dt	The	the	0
Voyage	Voyage	n1	Voyage	voyage	0
of	of	pp-f	of	of	0
Prince	Prince	n1	Prince	prince	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
sonne	sonne	n1	son	son	0
of	of	pp-f	of	of	0
king	king	n1	king	king	0
[	[	[	[	[	0
II	II	crd	II	two	0
i	i	sy	i	i	0
.	.	.	.	.	1
36.	36.	crd	36.	36.	0
]	]	]	]	]	1
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
third	third	ord	third	three	0
into	into	p-acp	into	into	0
Asia	Asia	np1	Asia	Asia	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1270.	1270.	crd	1270.	1270.	1
Bout	Bout	np1	Bout	Bout	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
1267.	1267.	crd	1267.	1267.	1
Octobonus	Octobonus	np1	Octobonus	Octobonus	0
the	the	dt	the	the	0
Popes	Popes	ng1	Popes	pope	0
Legate	Legate	n1	Legate	legate	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
prince	prince	n1	prince	prince	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
sonne	sonne	n1	son	son	0
of	of	pp-f	of	of	0
king	king	n1	king	king	0
Henry	Henry	np1	Henry	Henry	0
,	,	,	,	,	0
and	and	cc	and	and	0
divers	divers	j	diverse	diverse	0
other	other	j-jn	other	other	0
Noble	Noble	j	Noble	noble	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
tooke	tooke	vvd	took	take	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
crosse	crosse	n1	cross	cross	0
upon	upon	p-acp	upon	upon	0
S.	S.	n1	S.	saint	0
John	John	np1	John	John	0
Baptists	Baptists	np1	Baptists	Baptists	0
day	day	n1	day	day	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Legates	Legates	n2	Legates	legate	0
hands	hands	n2	hands	hand	0
at	at	p-acp	at	at	0
Northhampton	Northhampton	np1	Northhampton	Northhampton	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
reliefe	reliefe	n1	relief	relief	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
land	land	n1	land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
subversion	subversion	n1	subversion	subversion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
crosse	crosse	n1	cross	cross	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
which	which	r-crq	which	which	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
better	better	jc	better	better	0
furnishing	furnishing	n-vvg	furnishing	furnish	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
prince	prince	n1	prince	prince	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
journey	journey	n1	journey	journey	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
granted	granted	vvn	granted	grant	0
him	him	pno31	him	he	0
a	a	dt	a	a	0
subsidie	subsidie	n1	subsidy	subsidy	0
throughout	throughout	p-acp	throughout	throughout	0
all	all	d	all	all	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
May	May	np1	May	May	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
1270.	1270.	crd	1270.	1270.	0
he	he	pns31	he	he	0
began	began	vvd	began	begin	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
forward	forward	av-j	forward	forward	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
Michaelmas	Michaelmas	np1	Michaelmas	Michaelmas	0
following	following	vvg	following	follow	0
he	he	pns31	he	he	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
company	company	n1	company	company	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
Eguemortes	Eguemortes	np1	Eguemortes	Eguemortes	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
from	from	p-acp	from	from	0
Marsilia	Marsilia	np1	Marsilia	Marsilia	0
eight	eight	crd	eight	eight	0
leagues	leagues	n2	leagues	league	0
Westward	Westward	av	Westward	westward	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
taking	taking	vvg	taking	take	0
ship	ship	n1	ship	ship	0
againe	againe	av	again	again	0
(	(	(	(	(	0
having	having	vhg	having	have	0
a	a	dt	a	a	0
mery	mery	j	merry	merry	0
and	and	cc	and	and	0
prosperous	prosperous	j	prosperous	prosperous	0
wind	wind	n1	wind	wind	0
)	)	)	)	)	0
within	within	p-acp	within	within	0
ten	ten	crd	ten	ten	0
dayes	dayes	n2	days	day	0
arrived	arrived	vvn	arrived	arrive	0
at	at	p-acp	at	at	0
Tunez	Tunez	np1	Tunez	Tunez	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
joy	joy	n1	joy	joy	0
welcommed	welcommed	vvd	welcomed	welcome	0
,	,	,	,	,	0
and	and	cc	and	and	0
entertained	entertained	vvn	entertained	entertain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
princes	princes	n2	princes	prince	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
were	were	vbdr	were	be	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
purpose	purpose	n1	purpose	purpose	0
assembled	assembled	vvn	assembled	assemble	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
Philip	Philip	np1	Philip	Philip	0
the	the	dt	the	the	0
French	French	jp	French	french	0
King	King	n1	King	king	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
father	father	n1	father	father	0
Lodovicus	Lodovicus	np1	Lodovicus	Lodovicus	0
died	died	vvd	died	die	0
a	a	dt	a	a	0
litle	litle	j	little	little	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Carolus	Carolus	np1	Carolus	Carolus	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Sicilia	Sicilia	np1	Sicilia	Sicilia	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
two	two	crd	two	two	0
kings	kings	n2	kings	king	0
of	of	pp-f	of	of	0
Navarre	Navarre	np1	Navarre	Navarre	0
and	and	cc	and	and	0
Arragon	Arragon	np1	Arragon	Arragon	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
lord	lord	n1	lord	lord	0
Edward	Edward	np1	Edward	Edward	0
came	came	vvd	came	come	0
thither	thither	av	thither	thither	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
father	father	n1	father	father	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
thither	thither	av	thither	thither	0
came	came	vvd	came	come	0
also	also	av	also	also	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
sonne	sonne	n1	son	son	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Almaine	Almaine	njp	Almain	almain	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
father	father	n1	father	father	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
returne	returne	n1	return	return	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
was	was	vbds	was	be	0
slaine	slaine	vvn	slain	slay	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
chappell	chappell	n1	chapel	chapel	0
at	at	p-acp	at	at	0
Viterbium	Viterbium	np1	Viterbium	Viterbium	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
prince	prince	n1	prince	prince	0
Edward	Edward	np1	Edward	Edward	0
demanded	demanded	vvd	demanded	demand	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
kings	kings	n2	kings	king	0
and	and	cc	and	and	0
princes	princes	n2	princes	prince	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
,	,	,	,	,	0
they	they	pns32	they	they	0
answered	answered	vvd	answered	answer	0
him	him	pno31	him	he	0
againe	againe	av	again	again	0
,	,	,	,	,	0
and	and	cc	and	and	0
sayd	sayd	vvd	said	say	0
,	,	,	,	,	0
the	the	dt	the	the	0
prince	prince	n1	prince	prince	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
citie	citie	n1	city	city	0
and	and	cc	and	and	0
the	the	dt	the	the	0
province	province	n1	province	province	0
adjoyning	adjoyning	vvg	adjoining	adjoin	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
accustomed	accustomed	vvn	accustomed	accustom	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
tribute	tribute	n1	tribute	tribute	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Sicily	Sicily	np1	Sicily	Sicily	0
every	every	d	every	every	0
yere	yere	n1	year	year	0
:	:	:	:	:	0
and	and	cc	and	and	0
now	now	av	now	now	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
the	the	dt	the	the	0
same	same	d	same	same	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
seven	seven	crd	seven	seven	0
yeeres	yeeres	n2	years	year	0
unpaied	unpaied	j	unpaid	unpaid	0
and	and	cc	and	and	0
