ANTHONY	ANTHONY	np1	ANTHONY	Anthony	0
JENKINSON’S	JENKINSON’S	vdz	JENKINSON’S	jenkinson’s	0
SAFECONDUCT	SAFECONDUCT	vvi	SAFECONDUCT	safeconduct	0
a.d.	a.d.	n1	a.d.	a.d.	1
1553	1553	crd	1553	1553	0
-	-	-	-	-	0
The	The	dt	The	the	0
safeconduct	safeconduct	vvi	safeconduct	safeconduct	0
or	or	cc	or	or	0
priviledge	priviledge	n1	privilege	privilege	0
given	given	vvn	given	give	0
by	by	p-acp	by	by	0
Sultan	Sultan	n1	Sultan	sultan	0
Solyman	Solyman	np1	Solyman	Solyman	0
the	the	dt	the	the	0
great	great	j	great	great	0
Turke	Turke	np1	Turke	Turk	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
master	master	n1	master	master	0
Anthony	Anthony	np1	Anthony	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
at	at	p-acp	at	at	0
Aleppo	Aleppo	np1	Aleppo	Aleppo	0
in	in	p-acp	in	in	0
Syria	Syria	np1	Syria	Syria	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
J553	J553	np1	J553	J553	0
-	-	-	-	-	0
Ultan	Ultan	n1	Ultan	ultan	0
Solyman	Solyman	np1	Solyman	Solyman	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Viceroyes	Viceroyes	n2	Viceroys	viceroy	0
,	,	,	,	,	0
Saniaques	Saniaques	np1	Saniaques	Saniaques	0
,	,	,	,	,	0
Cadies	Cadies	n2	Cadies	cady	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
our	our	po12	our	our	0
Justicers	Justicers	n2	Justicers	justicer	0
,	,	,	,	,	0
Officers	Officers	n2	Officers	officer	0
,	,	,	,	,	0
and	and	cc	and	and	0
subjects	subjects	n2-jn	subject's	subject	0
of	of	pp-f	of	of	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
in	in	p-acp	in	in	0
Syria	Syria	np1	Syria	Syria	0
,	,	,	,	,	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
,	,	,	,	,	0
Alexandria	Alexandria	np1	Alexandria	Alexandria	0
in	in	p-acp	in	in	0
/	/	/	/	/	0
Egypt	Egypt	np1	Egypt	Egypt	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
townes	townes	n2	towns	town	0
and	and	cc	and	and	0
