Man	Man	n1	Man	man	0
doth	doth	vdz	does	do	0
purpose	purpose	vvi	purpose	purpose	0
,	,	,	,	,	0
and	and	cc	and	and	0
God	God	np1	God	God	0
doth	doth	vdz	does	do	0
dispose	dispose	vvi	dispose	dispose	0
.	.	.	.	.	1
The	The	dt	The	the	0
voyage	voyage	n1	voyage	voyage	0
made	made	vvd	made	make	0
to	to	p-acp	to	to	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
in	in	p-acp	in	in	0
Barbarie	Barbarie	np1	Barbarie	Barbary	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1583.	1583.	crd	1583.	1583.	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
ship	ship	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
the	the	dt	the	the	0
adventures	adventures	n2	adventures	adventure	0
and	and	cc	and	and	0
distresses	distresses	n2	distresses	distress	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
are	are	vbr	are	be	0
truely	truely	av-j	truly	true	0
reported	reported	vvn	reported	report	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
necessary	necessary	j	necessary	necessary	0
circumstances	circumstances	n2	circumstances	circumstance	0
observed	observed	vvn	observed	observe	0
.	.	.	.	.	1
Written	Written	j-vvn	Written	write	0
by	by	p-acp	by	by	0
Thomas	Thomas	np1	Thomas	Thomas	0
Sanders	Sanders	np1	Sanders	Sanders	0
.	.	.	.	.	1
His	His	po31	His	his	0
voyage	voyage	n1	voyage	voyage	0
was	was	vbds	was	be	0
set	set	vvn	set	set	0
foorth	foorth	av	forth	forth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
sir	sir	n1	sir	sir	0
Edward	Edward	np1	Edward	Edward	0
Osborne	Osborne	np1	Osborne	Osborne	0
knight	knight	n1	knight	knight	0
,	,	,	,	,	0
chiefe	chiefe	j-jn	chief	chief	0
merchant	merchant	n1	merchant	merchant	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
Turkish	Turkish	jp	Turkish	turkish	0
company	company	n1	company	company	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
master	master	n1	master	master	0
Richard	Richard	np1	Richard	Richard	0
Staper	Staper	n1	Staper	staper	0
,	,	,	,	,	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
being	being	vbg	being	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
burden	burden	n1	burden	burden	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
hundred	hundred	crd	hundred	hundred	0
tunnes	tunnes	n2	tons	ton	0
,	,	,	,	,	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
she	she	pns31	she	she	0
was	was	vbds	was	be	0
budded	budded	vvn	budded	bud	0
at	at	p-acp	at	at	0
Farmne	Farmne	j	Farmne	farmne	0
a	a	dt	a	a	0
river	river	n1	river	river	0
by	by	p-acp	by	by	0
Portsmouth	Portsmouth	np1	Portsmouth	Portsmouth	0
.	.	.	.	.	1
The	The	dt	The	the	0
owners	owners	n2	owners	owner	0
were	were	vbdr	were	be	0
master	master	n1	master	master	0
Thomas	Thomas	np1	Thomas	Thomas	0
Thomson	Thomson	np1	Thomson	Thomson	0
,	,	,	,	,	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
Carnaby	Carnaby	np1	Carnaby	Carnaby	0
,	,	,	,	,	0
and	and	cc	and	and	0
John	John	np1	John	John	0
Gilman	Gilman	np1	Gilman	Gilman	0
.	.	.	.	.	1
The	The	dt	The	the	0
master	master	n1	master	master	0
was	was	vbds	was	be	0
one	one	crd	one	one	0
Aches	Aches	n2	Aches	ache	0
Hellier	Hellier	np1	Hellier	Hellier	0
of	of	pp-f	of	of	0
Black-wall	Black-wall	np1	Black-wall	Blackwall	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Mate	Mate	n1	Mate	mate	0
was	was	vbds	was	be	0
one	one	crd	one	one	0
Richard	Richard	np1	Richard	Richard	0
Morris	Morris	n1	Morris	morris	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
place	place	n1	place	place	0
:	:	:	:	:	0
their	their	po32	their	their	0
Phot	Phot	n1	Phot	phot	0
was	was	vbds	was	be	0
one	one	crd	one	one	0
Anthonie	Anthonie	np1	Anthonie	Anthony	0
Jerado	Jerado	np1	Jerado	Jerado	0
a	a	dt	a	a	0
Frenchman	Frenchman	np1	Frenchman	Frenchman	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
province	province	n1	province	province	0
of	of	pp-f	of	of	0
Marseils	Marseils	np1	Marseils	Marseils	0
:	:	:	:	:	0
the	the	dt	the	the	0
purser	purser	n1	purser	purser	0
was	was	vbds	was	be	0
one	one	crd	one	one	0
William	William	np1	William	William	0
Thomson	Thomson	np1	Thomson	Thomson	0
our	our	po12	our	our	0
owners	owners	ng1	owners	owner	0
sonne	sonne	n1	son	son	0
:	:	:	:	:	0
the	the	dt	the	the	0
merchants	merchants	n2	merchant's	merchant	0
factors	factors	n2	factors	factor	0
were	were	vbdr	were	be	0
Romane	Romane	jp	Roman	roman	0
Sonnings	Sonnings	n2	Sonnings	sonning	0
a	a	dt	a	a	0
Frenchman	Frenchman	np1	Frenchman	Frenchman	0
,	,	,	,	,	0
and	and	cc	and	and	0
Richard	Richard	np1	Richard	Richard	0
Skegs	Skegs	vvz	Skegs	skeg	0
servant	servant	n1	servant	servant	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
master	master	n1	master	master	0
Staper	Staper	n1	Staper	staper	0
.	.	.	.	.	1
The	The	dt	The	the	0
owners	owners	n2	owners	owner	0
were	were	vbdr	were	be	0
bound	bound	vvn	bound	bind	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
merchants	merchants	n2	merchant's	merchant	0
by	by	p-acp	by	by	0
charter	charter	n1	charter	charter	0
partie	partie	n1	party	party	0
thereupon	thereupon	av	thereupon	thereupon	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
thousand	thousand	crd	thousand	thousand	0
markes	markes	n2	marks	mark	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
ship	ship	n1	ship	ship	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
permission	permission	n1	permission	permission	0
should	should	vmd	should	shall	0
goe	goe	vvi	go	go	0
for	for	p-acp	for	for	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
in	in	p-acp	in	in	0
Barbarie	Barbarie	np1	Barbarie	Barbary	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
first	first	ord	first	first	0
from	from	p-acp	from	from	0
Portsmouth	Portsmouth	np1	Portsmouth	Portsmouth	0
to	to	p-acp	to	to	0
Newhaven	Newhaven	np1	Newhaven	Newhaven	0
in	in	p-acp	in	in	0
Normandie	Normandie	np1	Normandie	Normandy	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
to	to	p-acp	to	to	0
S.	S.	n1	S.	saint	0
Lucar	Lucar	np1	Lucar	Lucar	0
,	,	,	,	,	0
otherwise	otherwise	av	otherwise	otherwise	0
called	called	vvn	called	call	0
Saint	Saint	n1	Saint	saint	0
Lucas	Lucas	np1	Lucas	Lucas	0
in	in	p-acp	in	in	0
Andeluzia	Andeluzia	np1	Andeluzia	Andeluzia	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
to	to	p-acp	to	to	0
Tripolie	Tripolie	np1	Tripolie	Tripoli	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
East	East	n1	East	east	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
Africa	Africa	np1	Africa	Africa	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
unto	unto	p-acp	unto	unto	0
London	London	np1	London	London	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
here	here	av	here	here	0
ought	ought	vmd	ought	ought	0
every	every	d	every	every	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
note	note	vvi	note	note	0
and	and	cc	and	and	0
consider	consider	vvi	consider	consider	0
the	the	dt	the	the	0
workes	workes	n2	works	work	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
God	God	n1	God	god	0
,	,	,	,	,	0
that	that	cst	that	that	0
many	many	d	many	many	0
times	times	n2	times	time	0
what	what	r-crq	what	what	0
man	man	n1	man	man	0
doth	doth	vdz	does	do	0
determine	determine	vvi	determine	determine	0
God	God	np1	God	God	0
doth	doth	vdz	does	do	0
disappoint	disappoint	vvi	disappoint	disappoint	0
.	.	.	.	.	1
The	The	dt	The	the	0
said	said	j-vvn	said	say	0
master	master	n1	master	master	0
having	having	vhg	having	have	0
some	some	d	some	some	0
occasion	occasion	n1	occasion	occasion	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
to	to	pc-acp	to	to	0
Farmne	Farmne	vvi	Farmne	farmne	0
,	,	,	,	,	0
tooke	tooke	vvd	took	take	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
the	the	dt	the	the	0
Pilot	Pilot	n1	Pilot	pilot	0
