understand	understand	vvb	understand	understand	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
acceptable	acceptable	j	acceptable	acceptable	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Imperiali	Imperiali	fw-la	Imperiali	imperiali	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
maker	maker	n1	maker	maker	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
best	best	js	best	best	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
great	great	j	great	great	0
,	,	,	,	,	0
long	long	av-j	long	long	0
keepe	keepe	vvb	keep	keep	0
in	in	p-acp	in	in	0
health	health	n1	health	health	0
,	,	,	,	,	0
and	and	cc	and	and	0
flourishing	flourishing	j-vvg	flourishing	flourish	0
.	.	.	.	.	1
Given	Given	j-vvn	Given	give	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
pallaice	pallaice	n1	palace	palace	0
at	at	p-acp	at	at	0
London	London	np1	London	London	0
,	,	,	,	,	0
the	the	dt	the	the	0
fift	fift	ord	fift	five	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
our	our	po12	our	our	0
Saviour	Saviour	n1	Saviour	saviour	0
,	,	,	,	,	0
1584.	1584.	crd	1584.	1584.	1
And	And	cc	And	and	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
raigne	raigne	n1	reign	reign	0
,	,	,	,	,	0
the	the	dt	the	the	0
26.	26.	crd	26.	26.	1
The	The	dt	The	the	0
Turkes	Turkes	np2	Turkes	Turk	0
letter	letter	n1	letter	letter	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
in	in	p-acp	in	in	0
Barbarie	Barbarie	np1	Barbarie	Barbary	0
,	,	,	,	,	0
commanding	commanding	vvg	commanding	command	0
the	the	dt	the	the	0
restitution	restitution	n1	restitution	restitution	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
English	English	jp	English	english	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
sent	sent	vvd	sent	send	0
from	from	p-acp	from	from	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Mahomet	Mahomet	np1	Mahomet	Mahomet	0
Beg	Beg	vvb	Beg	beg	0
,	,	,	,	,	0
a	a	dt	a	a	0
Justice	Justice	n1	Justice	justice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
Turkes	Turkes	np2	Turkes	Turk	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
English	English	jp	English	english	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
,	,	,	,	,	0
called	called	vvd	called	call	0
Master	Master	n1	Master	master	0
Edward	Edward	np1	Edward	Edward	0
Barton	Barton	np1	Barton	Barton	0
.	.	.	.	.	1
Anno	Anno	fw-la	Anno	anno	0
1584.	1584.	crd	1584.	1584.	1
Onourable	Onourable	j	Onourable	onourable	0
,	,	,	,	,	0
and	and	cc	and	and	0
worthy	worthy	j	worthy	worthy	0
Bassa	Bassa	n1	Bassa	bassa	0
Romadan	Romadan	np1	Romadan	Romadan	0
Beglerbeg	Beglerbeg	np1	Beglerbeg	Beglerbeg	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
wise	wise	j	wise	wise	0
and	and	cc	and	and	0
prudent	prudent	j	prudent	prudent	0
Judge	Judge	n1	Judge	judge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
wish	wish	vvb	wish	wish	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
thy	thy	po21	thy	thy	0
enterprises	enterprises	n2	enterprises	enterprise	0
happie	happie	j	happy	happy	0
,	,	,	,	,	0
and	and	cc	and	and	0
prosperous	prosperous	j	prosperous	prosperous	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
these	these	d	these	these	0
our	our	po12	our	our	0
highnesse	highnesse	n1	highness	highness	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
certifie	certifie	vvi	certify	certify	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
honourable	honourable	j	honourable	honourable	0
,	,	,	,	,	0
William	William	np1	William	William	0
Hareborne	Hareborne	vvn	Hareborne	hareborne	0
,	,	,	,	,	0
Ambassadour	Ambassadour	n1	Ambassador	ambassador	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
famous	famous	j	famous	famous	0
Porch	Porch	n1	Porch	porch	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
Queenes	Queenes	ng1	Queens	queen	0
Majestie	Majestie	n1	Majesty	majesty	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
person	person	n1	person	person	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
letters	letters	n2	letters	letter	0
hath	hath	vhz	hath	have	0
certified	certified	vvn	certified	certify	0
our	our	po12	our	our	0
highnesse	highnesse	n1	highness	highness	0
,	,	,	,	,	0
that	that	cst	that	that	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
shippe	shippe	n1	ship	ship	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
her	her	po31	her	her	0
furniture	furniture	n1	furniture	furniture	0
,	,	,	,	,	0
and	and	cc	and	and	0
artillerie	artillerie	n1	artillery	artillery	0
,	,	,	,	,	0
worth	worth	j	worth	worth	0
two	two	crd	two	two	0
thousand	thousand	crd	thousand	thousand	0
duckets	duckets	n2	ducats	ducat	0
,	,	,	,	,	0
arriving	arriving	vvg	arriving	arrive	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
port	port	n1	port	port	0
of	of	pp-f	of	of	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
,	,	,	,	,	0
and	and	cc	and	and	0
discharged	discharged	vvn	discharged	discharge	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
lading	lading	n-vvg	lading	lade	0
and	and	cc	and	and	0
marchandize	marchandize	n1	merchandise	merchandise	0
,	,	,	,	,	0
paide	paide	vvn	paid	pay	0
our	our	po12	our	our	0
custome	custome	n1	custom	custom	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
order	order	n1	order	order	0
,	,	,	,	,	0
and	and	cc	and	and	0
againe	againe	av	again	again	0
,	,	,	,	,	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
laded	laded	vvn	jaded	jade	0
their	their	po32	their	their	0
shippe	shippe	n1	ship	ship	0
with	with	p-acp	with	with	0
oyle	oyle	n1	oil	oil	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
constraint	constraint	n1	constraint	constraint	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
inforced	inforced	vvn	enforced	enforce	0
to	to	pc-acp	to	to	0
buy	buy	vvi	buy	buy	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
&	&	cc	&	and	0
having	having	vhg	having	have	0
answered	answered	vvn	answered	answer	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
maner	maner	n1	manner	manner	0
the	the	dt	the	the	0
custome	custome	n1	custom	custom	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
determined	determined	vvd	determined	determine	0
to	to	pc-acp	to	to	0
depart	depart	vvi	depart	depart	0
:	:	:	:	:	0
a	a	dt	a	a	0
Frenchman	Frenchman	np1	Frenchman	Frenchman	0
assistant	assistant	n1	assistant	assistant	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Marchant	Marchant	n1	Merchant	merchant	0
,	,	,	,	,	0
unknowen	unknowen	j	unknown	unknown	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
,	,	,	,	,	0
caried	caried	vvd	carried	carry	0
away	away	av	away	away	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
