THE	THE	dt	THE	the	0
SECOND	SECOND	ord	SECOND	second	0
PART	PART	n1	PART	part	0
OF	OF	pp-f	OF	of	0
THIS	THIS	d	THIS	this	0
SECOND	SECOND	ord	SECOND	second	0
VOLUME	VOLUME	n1	VOLUME	volume	0
containing	containing	vvg	containing	contain	0
the	the	dt	the	the	0
Principali	Principali	np1	Principali	Principali	0
Navigations	Navigations	n2	Navigations	navigation	0
,	,	,	,	,	0
Voyages	Voyages	n2	Voyages	voyage	0
,	,	,	,	,	0
Traffiques	Traffiques	n2	Traffics	traffic	0
,	,	,	,	,	0
and	and	cc	and	and	0
Discoveries	Discoveries	n2	Discoveries	discovery	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
made	made	vvn	made	make	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
South	South	n1	South	south	0
and	and	cc	and	and	0
Southeast	Southeast	n1	Southeast	southeast	0
quarters	quarters	n2	quarters	quarter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
Straights	Straights	n2	Straights	strait	0
of	of	pp-f	of	of	0
Gibraltar	Gibraltar	np1	Gibraltar	Gibraltar	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Hands	Hands	n2	Hands	hand	0
of	of	pp-f	of	of	0
Madera	Madera	np1	Madera	Madera	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Canaries	Canaries	n2	Canaries	canary	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
kingdome	kingdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
Barbarie	Barbarie	np1	Barbarie	Barbary	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Iles	Iles	n2	Isles	isle	0
of	of	pp-f	of	of	0
Capo	Capo	np1	Capo	Capo	0
Verde	Verde	np1	Verde	Verde	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
