perceive	perceive	vvb	perceive	perceive	0
the	the	dt	the	the	0
successe	successe	n1	success	success	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
fift	fift	ord	fift	five	0
&	&	cc	&	and	0
last	last	ord	last	last	0
voiage	voiage	n1	voyage	voyage	0
to	to	p-acp	to	to	0
Virginia	Virginia	np1	Virginia	Virginia	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
no	no	av-dx	no	no	0
lesse	lesse	av-dc	less	less	0
unfortunately	unfortunately	av-j	unfortunately	unfortunate	0
ended	ended	vvn	ended	end	0
then	then	av	then	then	0
frowardly	frowardly	av-j	frowardly	froward	0
begun	begun	vvn	begun	begin	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
lucklesse	lucklesse	j	luckless	luckless	0
to	to	p-acp	to	to	0
many	many	d	many	many	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
sinister	sinister	j	sinister	sinister	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
bene	bene	vbn	be	be	0
as	as	a-acp	as	as	0
prosperous	prosperous	j	prosperous	prosperous	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
noysome	noysome	j	noisome	noisome	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
planters	planters	n2	planters	planter	0
;	;	;	;	;	0
&	&	cc	&	and	0
as	as	c-acp	as	as	0
joyfull	joyfull	j	joyful	joyful	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
discomfortable	discomfortable	j	discomfortable	discomfortable	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
seeing	seeing	vvg	seeing	see	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
my	my	po11	my	my	0
first	first	ord	first	first	0
crossed	crossed	j-vvn	crossed	cross	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
I	I	pns11	I	i	0
remaine	remaine	vvb	remain	remain	0
contented	contented	vvn	contented	content	0
.	.	.	.	.	1
And	And	np1	And	And	0
wanting	wanting	vvg	wanting	want	0
my	my	po11	my	my	0
wishes	wishes	n2	wishes	wish	0
,	,	,	,	,	0
I	I	pns11	I	i	0
leave	leave	vvb	leave	leave	0
off	off	a-acp	off	off	0
from	from	p-acp	from	from	0
prosecuting	prosecuting	vvg	prosecuting	prosecute	0
that	that	cst	that	that	0
whereunto	whereunto	c-crq	whereunto	whereunto	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
my	my	po11	my	my	0
wealth	wealth	n1	wealth	wealth	0
were	were	vbdr	were	be	0
answerable	answerable	j	answerable	answerable	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
will	will	n1	will	will	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
committing	committing	vvg	committing	commit	0
the	the	dt	the	the	0
reliefe	reliefe	n1	relief	relief	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
discomfortable	discomfortable	j	discomfortable	discomfortable	0
company	company	n1	company	company	0
the	the	dt	the	the	0
planters	planters	n2	planters	planter	0
in	in	p-acp	in	in	0
Virginia	Virginia	np1	Virginia	Virginia	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
merciful	merciful	j	merciful	merciful	0
help	help	n1	help	help	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Almighty	Almighty	j-jn	Almighty	almighty	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
most	most	av-ds	most	most	0
humbly	humbly	av-j	humbly	humble	0
beseech	beseech	vvb	beseech	beseech	0
to	to	pc-acp	to	to	0
helpe	helpe	vvi	help	help	0
&	&	cc	&	and	0
comfort	comfort	vvi	comfort	comfort	0
them	them	pno32	them	they	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
holy	holy	j	holy	holy	0
will	will	n1	will	will	0
&	&	cc	&	and	0
their	their	po32	their	their	0
good	good	j	good	good	0
desire	desire	n1	desire	desire	0
,	,	,	,	,	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
my	my	po11	my	my	0
leave	leave	n1	leave	leave	0
:	:	:	:	:	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
house	house	n1	house	house	0
at	at	p-acp	at	at	0
Newtowne	Newtowne	n1	Newtowne	newtowne	0
in	in	p-acp	in	in	0
Kylmore	Kylmore	np1	Kylmore	Kylmore	0
the	the	dt	the	the	0
4	4	crd	4	4	0
of	of	pp-f	of	of	0
February	February	np1	February	February	0
,	,	,	,	,	0
1593.	1593.	crd	1593.	1593.	1
Your	Your	po22	Your	your	0
most	most	av-ds	most	most	0
welwishing	welwishing	j	wellwishing	wellwishing	0
friend	friend	n1	friend	friend	0
,	,	,	,	,	0
John	John	np1	John	John	0
White	White	j-jn	White	white	0
.	.	.	.	.	1
The	The	dt	The	the	0
fift	fift	ord	fift	five	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
White	White	j-jn	White	white	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np2	Indies	Indies	0
and	and	cc	and	and	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
America	America	np1	America	America	0
called	called	vvd	called	call	0
Virginia	Virginia	np1	Virginia	Virginia	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1590.	1590.	crd	1590.	1590.	1
THe	THe	dt	THe	the	0
20	20	crd	20	20	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
the	the	dt	the	the	0
three	three	crd	three	three	0
shippes	shippes	n2	ships	ship	0
the	the	dt	the	the	0
Hopewell	Hopewell	np1	Hopewell	Hopewell	0
,	,	,	,	,	0
the	the	dt	the	the	0
John	John	np1	John	John	0
Evangelist	Evangelist	np1	Evangelist	Evangelist	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Little	Little	j	Little	little	0
John	John	np1	John	John	0
,	,	,	,	,	0
put	put	vvn	put	put	0
to	to	p-acp	to	to	0
Sea	Sea	n1	Sea	sea	0
from	from	p-acp	from	from	0
Plymmouth	Plymmouth	np1	Plymmouth	Plymmouth	0
with	with	p-acp	with	with	0
two	two	crd	two	two	0
small	small	j	small	small	0
Shallops	Shallops	vvz	Shallops	shallop	0
.	.	.	.	.	1
The	The	dt	The	the	0
25	25	crd	25	25	0
at	at	p-acp	at	at	0
midnight	midnight	n1	midnight	midnight	0
both	both	d	both	both	0
our	our	po12	our	our	0
Shallops	Shallops	vvz	Shallops	shallop	0
were	were	vbdr	were	be	0
sunke	sunke	vvn	sunk	sink	0
being	being	vbg	being	be	0
towed	towed	vvn	towed	tow	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
ships	ships	n2	ships	ship	0
stearnes	stearnes	vvz	stearnes	stearne	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Boatswaines	Boatswaines	ng1	Boatswains	boatswain	0
negligence	negligence	n1	negligence	negligence	0
.	.	.	.	.	1
On	On	p-acp	On	on	0
the	the	dt	the	the	0
30	30	crd	30	30	0
we	we	n1	we	we	0
saw	saw	vvd	saw	see	0
a	a	dt	a	a	0
head	head	n1	head	head	0
us	us	pno12	us	we	0
that	that	d	that	that	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Barbary	Barbary	np1	Barbary	Barbary	0
,	,	,	,	,	0
lying	lying	vvg	lying	lie	0
East	East	n1	East	east	0
of	of	pp-f	of	of	0
Cape	Cape	n1	Cape	cape	0
Cantyn	Cantyn	np1	Cantyn	Cantyn	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Bay	Bay	n1	Bay	bay	0
of	of	pp-f	of	of	0
