hereby	hereby	av	hereby	hereby	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
void	void	j	void	void	0
of	of	pp-f	of	of	0
reason	reason	n1	reason	reason	0
.	.	.	.	.	1
The	The	dt	The	the	0
Captaine	Captaine	n1	Captain	captain	0
cared	cared	vvd	cared	care	0
not	not	xx	not	not	0
greatly	greatly	av-j	greatly	great	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
departure	departure	n1	departure	departure	0
,	,	,	,	,	0
considering	considering	vvg	considering	consider	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
bene	bene	vbn	be	be	0
used	used	vvn	used	use	0
otherwise	otherwise	av	otherwise	otherwise	0
then	then	av	then	then	0
well	well	av	well	well	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
therefore	therefore	av	therefore	therefore	0
they	they	pns32	they	they	0
woulde	woulde	vmd	would	will	0
not	not	xx	not	not	0
estrange	estrange	vvi	estrange	estrange	0
themselves	themselves	px32	themselves	themselves	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Frenchmen	Frenchmen	np2	Frenchmen	Frenchman	0
.	.	.	.	.	1
Captaine	Captaine	n1	Captain	captain	0
Ribault	Ribault	np1	Ribault	Ribault	0
therefore	therefore	av	therefore	therefore	0
knowing	knowing	vvg	knowing	know	0
the	the	dt	the	the	0
singular	singular	j	singular	singular	0
fairenes	fairenes	n1	fairness	fairness	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
river	river	n1	river	river	0
,	,	,	,	,	0
desired	desired	vvd	desired	desire	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
meanes	meanes	n2	means	mean	0
to	to	pc-acp	to	to	0
encourage	encourage	vvi	encourage	encourage	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
dwell	dwell	vvi	dwell	dwell	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
well	well	av	well	well	0
foreseeing	foreseeing	vvg	foreseeing	foresee	0
that	that	cst	that	that	0
this	this	d	this	this	0
thing	thing	n1	thing	thing	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
importance	importance	n1	importance	importance	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
service	service	n1	service	service	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
reliefe	reliefe	n1	relief	relief	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Common	Common	j	Common	common	0
wealth	wealth	n1	wealth	wealth	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
.	.	.	.	.	1
Therfore	Therfore	av	Therefore	therefore	0
proceeding	proceeding	vvg	proceeding	proceed	0
on	on	a-acp	on	on	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
intent	intent	n1	intent	intent	0
,	,	,	,	,	0
he	he	pns31	he	he	0
commanded	commanded	vvd	commanded	command	0
the	the	dt	the	the	0
ankers	ankers	n2	anchors	anchor	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
weighed	weighed	vvn	weighed	weigh	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
order	order	n1	order	order	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
opening	opening	n-vvg	opening	open	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
river	river	n1	river	river	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
that	that	cst	that	that	0
if	if	cs	if	if	0
the	the	dt	the	the	0
winde	winde	n1	wind	wind	0
came	came	vvd	came	come	0
faire	faire	av-j	fair	fair	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
passe	passe	vvi	pass	pass	0
out	out	av	out	out	0
to	to	pc-acp	to	to	0
accomplish	accomplish	vvi	accomplish	accomplish	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
meaning	meaning	n1	meaning	meaning	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
therefore	therefore	av	therefore	therefore	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
come	come	vvn	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
river	river	n1	river	river	0
,	,	,	,	,	0
he	he	pns31	he	he	0
made	made	vvd	made	make	0
them	them	pno32	them	they	0
cast	cast	vvi	cast	cast	0
anker	anker	n1	anchor	anchor	0
,	,	,	,	,	0
whereupon	whereupon	c-crq	whereupon	whereupon	0
we	we	pns12	we	we	0
stayed	stayed	vvd	stayed	stay	0
without	without	p-acp	without	without	0
discovering	discovering	vvg	discovering	discover	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
day	day	n1	day	day	0
.	.	.	.	.	1
The	The	dt	The	the	0
next	next	ord	next	next	0
day	day	n1	day	day	0
he	he	pns31	he	he	0
commanded	commanded	vvd	commanded	command	0
that	that	cst	that	that	0
all	all	d	all	all	0
the	the	dt	the	the	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
ship	ship	n1	ship	ship	0
should	should	vmd	should	shall	0
come	come	vvi	come	come	0
up	up	a-acp	up	up	0
