The	The	dt	The	the	0
third	third	ord	third	three	0
troublesome	troublesome	j	troublesome	troublesome	0
voyage	voyage	n1	voyage	voyage	0
made	made	vvn	made	make	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Jesus	Jesus	np1	Jesus	Jesus	0
of	of	pp-f	of	of	0
Lubeck	Lubeck	np1	Lubeck	Lubeck	0
,	,	,	,	,	0
the	the	dt	the	the	0
Minion	Minion	n1	Minion	minion	0
,	,	,	,	,	0
and	and	cc	and	and	0
foure	foure	crd	foure	four	0
other	other	j-jn	other	other	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
Guinea	Guinea	np1	Guinea	Guinea	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np1	Indies	Indies	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeeres	yeeres	n2	years	year	0
1567	1567	crd	1567	1567	0
and	and	cc	and	and	0
1568	1568	crd	1568	1568	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Hawkins	Hawkins	np1	Hawkins	Hawkins	0
.	.	.	.	.	1
A	A	dt	A	a	0
storme	storme	n1	storm	storm	0
.	.	.	.	.	0
the	the	dt	the	the	0
fleete	fleete	n1	fleet	fleet	0
was	was	vbds	was	be	0
He	He	pns31	He	he	0
ships	ships	n2	ships	ship	0
departed	departed	vvn	departed	depart	0
from	from	p-acp	from	from	0
Plimmouth	Plimmouth	np1	Plimmouth	Plymouth	0
,	,	,	,	,	0
the	the	dt	the	the	0
second	second	ord	second	second	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
October	October	np1	October	October	0
,	,	,	,	,	0
Anno	Anno	fw-la	Anno	anno	0
1567	1567	crd	1567	1567	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
reasonable	reasonable	j	reasonable	reasonable	0
weather	weather	n1	weather	weather	0
untill	untill	p-acp	until	until	0
the	the	dt	the	the	0
seventh	seventh	ord	seventh	seven	0
day	day	n1	day	day	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
fortie	fortie	crd	fortie	forty	0
leagues	leagues	n2	leagues	league	0
North	North	n1	North	north	0
from	from	p-acp	from	from	0
Cape	Cape	n1	Cape	cape	0
Finister	Finister	np1	Finister	Finister	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
arose	arose	vvd	arose	arise	0
an	an	dt	and	a	0
extreme	extreme	j-jn	extreme	extreme	0
storme	storme	n1	storm	storm	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
continued	continued	vvd	continued	continue	0
foure	foure	crd	foure	four	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
that	that	cst	that	that	0
dispersed	dispersed	vvd	dispersed	disperse	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
our	our	po12	our	our	0
great	great	j	great	great	0
boats	boats	n2	boats	boat	0
lost	lost	vvn	lost	lose	0
,	,	,	,	,	0
Gomera	Gomera	np1	Gomera	Gomera	0
.	.	.	.	.	1
