A	A	dt	A	a	0
Libell	Libell	n1	Libel	libel	0
of	of	pp-f	of	of	0
Spanish	Spanish	jp	Spanish	spanish	0
lies	lies	n2	lies	lie	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
Don	Don	n1	DONE	don	0
Bernaldino	Bernaldino	np1	Bernaldino	Bernaldino	0
Delgadillo	Delgadillo	np1	Delgadillo	Delgadillo	0
de	de	fw-fr	de	de	0
Avellaneda	Avellaneda	np1	Avellaneda	Avellaneda	0
,	,	,	,	,	0
Generali	Generali	fw-la	Generali	generali	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Spaines	Spaines	npg1	Spaines	Spain	0
Armada	Armada	n1	Armada	armada	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
some	some	d	some	some	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
last	last	ord	last	last	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
sir	sir	n1	sir	sir	0
Francis	Francis	np1	Francis	Francis	0
Drake	Drake	n1	Drake	drake	0
;	;	;	;	;	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
confutation	confutation	n1	confutation	confutation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
notorious	notorious	j	notorious	notorious	0
falsehoods	falsehoods	n2	falsehoods	falsehood	0
therein	therein	av	therein	therein	0
contained	contained	vvn	contained	contain	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
declaration	declaration	n1	declaration	declaration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
Henrie	Henrie	np1	Henrie	Henry	0
Savile	Savile	np1	Savile	Savile	0
Esquire	Esquire	n1	Esquire	esquire	0
:	:	:	:	:	0
and	and	cc	and	and	0
also	also	av	also	also	0
an	an	dt	and	a	0
approbation	approbation	n1	approbation	approbation	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
by	by	p-acp	by	by	0
sir	sir	n1	sir	sir	0
Thomas	Thomas	np1	Thomas	Thomas	0
Baskefvil	Baskefvil	n1	Baskefvil	baskefvil	0
Generali	Generali	fw-la	Generali	generali	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
Armada	Armada	n1	Armada	armada	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
decease	decease	n1	decease	decease	0
of	of	pp-f	of	of	0
sir	sir	n1	sir	sir	0
Francis	Francis	np1	Francis	Francis	0
Drake	Drake	np1	Drake	Drake	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
the	the	dt	the	the	0
courteous	courteous	j	courteous	courteous	0
Reader	Reader	n1	Reader	reader	0
.	.	.	.	.	1
Hereas	Hereas	np1	Hereas	Hereas	0
Don	Don	n1	DONE	don	0
Bernaldino	Bernaldino	np1	Bernaldino	Bernaldino	0
Delgadillo	Delgadillo	np1	Delgadillo	Delgadillo	0
de	de	fw-fr	de	de	0
Avellaneda	Avellaneda	np1	Avellaneda	Avellaneda	0
,	,	,	,	,	0
Generali	Generali	fw-la	Generali	generali	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Spanish	Spanish	jp	Spanish	spanish	0
fleete	fleete	n1	fleet	fleet	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
printed	printed	j-vvn	printed	print	0
letters	letters	n2	letters	letter	0
published	published	vvn	published	publish	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
diverse	diverse	j	diverse	diverse	0
untruthes	untruthes	n2	untruths	untruth	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
our	our	po12	our	our	0
fleete	fleete	n1	fleet	fleet	0
and	and	cc	and	and	0
the	the	dt	the	the	0
commanders	commanders	n2	commanders	commander	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
seeking	seeking	vvg	seeking	seek	0
thereby	thereby	av	thereby	thereby	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
glorie	glorie	n1	glory	glory	0
,	,	,	,	,	0
our	our	po12	our	our	0
disgrace	disgrace	n1	disgrace	disgrace	0
;	;	;	;	;	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
taken	taken	vvn	taken	take	0
upon	upon	p-acp	upon	upon	0
(	(	(	(	(	0
though	though	cs	though	though	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
least	least	av-ds	least	least	0
able	able	j	able	able	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
confute	confute	vvi	confute	confute	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
for	for	p-acp	for	for	0
that	that	cst	that	that	0
the	the	dt	the	the	0
printed	printed	j-vvn	printed	print	0
copie	copie	n1	copy	copy	0
came	came	vvd	came	come	0
first	first	ord	first	first	0
into	into	p-acp	into	into	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
having	having	vhg	having	have	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
bene	bene	vbn	be	be	0
Captaine	Captaine	n1	Captain	captain	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
and	and	cc	and	and	0
me	me	pno11	me	i	0
the	the	av	the	then	0
my	my	po11	my	my	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
ships	ships	n2	ships	ship	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
voyage	voyage	n1	voyage	voyage	0
.	.	.	.	.	1
Take	Take	vvb	Take	take	0
this	this	d	this	this	0
therefore	therefore	av	therefore	therefore	0
(	(	(	(	(	0
gentle	gentle	j	gentle	gentle	0
Reader	Reader	n1	Reader	reader	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
dutie	dutie	n1	duty	duty	0
and	and	cc	and	and	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
countrey	countrey	n1	country	country	0
and	and	cc	and	and	0
countrey-men	countrey-men	n2	countrymen	countryman	0
,	,	,	,	,	0
and	and	cc	and	and	0
expect	expect	vvb	expect	expect	0
onely	onely	av-j	only	only	0
a	a	dt	a	a	0
plaine	plaine	j	plain	plain	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
pen	pen	n1	pen	pen	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
souldier	souldier	n1	soldier	soldier	0
and	and	cc	and	and	0
Navigator	Navigator	n1	Navigator	navigator	0
:	:	:	:	:	0
Which	Which	r-crq	Which	which	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
take	take	vvb	take	take	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
part	part	n1	part	part	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
draw	draw	vvi	draw	draw	0
me	me	pno11	me	i	0
hereafter	hereafter	av	hereafter	hereafter	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
some	some	d	some	some	0
greater	greater	jc	greater	great	0
labour	labour	n1	labour	labour	0
.	.	.	.	.	1
Henry	Henry	np1	Henry	Henry	0
Savile	Savile	np1	Savile	Savile	0
.	.	.	.	.	1
THe	THe	dt	THe	the	0
true	true	j	true	true	0
copie	copie	n1	copy	copy	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
letter	letter	n1	letter	letter	0
found	found	vvd	found	find	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
sacking	sacking	vvg	sacking	sack	0
of	of	pp-f	of	of	0
Cadiz	Cadiz	np1	Cadiz	Cadiz	0
,	,	,	,	,	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
Don	Don	n1	DONE	don	0
Bernaldino	Bernaldino	np1	Bernaldino	Bernaldino	0
Delgadillo	Delgadillo	np1	Delgadillo	Delgadillo	0
de	de	fw-fr	de	de	0
Avellaneda	Avellaneda	np1	Avellaneda	Avellaneda	0
,	,	,	,	,	0
Generali	Generali	fw-la	Generali	generali	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
his	his	po31	his	his	0
Navie	Navie	n1	Navy	navy	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np1	Indies	Indies	0
,	,	,	,	,	0
sent	sent	vvn	sent	send	0
unto	unto	p-acp	unto	unto	0
Doctor	Doctor	n1	Doctor	doctor	0
Peter	Peter	np1	Peter	Peter	0
Florez	Florez	np1	Florez	Florez	0
,	,	,	,	,	0
President	President	n1	President	precedent	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
contractation	contractation	n1	contractation	contractation	0
house	house	n1	house	house	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Indies	Indies	np2	Indies	Indies	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
put	put	vvd	put	put	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
with	with	p-acp	with	with	0
privilege	privilege	n1	privilege	privilege	0
:	:	:	:	:	0
wherein	wherein	c-crq	wherein	wherein	0
are	are	vbr	are	be	0
declared	declared	vvn	declared	declare	0
246	246	crd	246	246	0
many	many	d	many	many	0
untruthes	untruthes	n2	untruths	untruth	0
,	,	,	,	,	0
and	and	cc	and	and	0
false	false	j	false	false	0
reports	reports	n2	reports	report	0
,	,	,	,	,	0
tending	tending	vvg	tending	tend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
disgrace	disgrace	n1	disgrace	disgrace	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
service	service	n1	service	service	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
Navie	Navie	n1	Navy	navy	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
commanders	commanders	n2	commanders	commander	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
lately	lately	av-j	lately	late	0
sent	sent	vvn	sent	send	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np1	Indies	Indies	0
,	,	,	,	,	0
