between	between	p-acp	between	between	0
the	the	dt	the	the	0
Ilands	Ilands	n2	Lands	land	0
of	of	pp-f	of	of	0
Maluco	Maluco	np1	Maluco	Maluco	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
cape	cape	n1	cape	cape	0
of	of	pp-f	of	of	0
Buena	Buena	fw-es	Buena	buena	0
Esperanza	Esperanza	fw-es	Esperanza	esperanza	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
latitude	latitude	n1	latitude	latitude	0
of	of	pp-f	of	of	0
34	34	crd	34	34	0
degrees	degrees	n2	degrees	degree	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
South	South	n1	South	south	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Line	Line	n1	Line	line	0
.	.	.	.	.	1
Item	Item	n1	Item	item	0
,	,	,	,	,	0
From	From	p-acp	From	from	0
the	the	dt	the	the	0
20	20	crd	20	20	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
May	May	n1	May	may	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
11	11	crd	11	11	0
day	day	n1	day	day	0
[	[	[	[	[	0
III	III	crd	III	three	0
.	.	.	.	.	1
837	837	crd	837	837	0
-	-	-	-	-	0
]	]	]	]	]	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
,	,	,	,	,	0
we	we	pns12	we	we	0
found	found	vvd	found	find	0
the	the	dt	the	the	0
winds	winds	n2	winds	wind	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
South	South	n1	South	south	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Southeast	Southeast	n1	Southeast	southeast	0
,	,	,	,	,	0
being	being	vbg	being	be	0
then	then	av	then	then	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
cape	cape	n1	cape	cape	0
of	of	pp-f	of	of	0
Buena	Buena	fw-es	Buena	buena	0
Esperanza	Esperanza	fw-es	Esperanza	esperanza	0
,	,	,	,	,	0
and	and	cc	and	and	0
15	15	crd	15	15	0
degrees	degrees	n2	degrees	degree	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Southward	Southward	av-j	Southward	southward	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
line	line	n1	line	line	0
.	.	.	.	.	1
Item	Item	n1	Item	item	0
,	,	,	,	,	0
From	From	p-acp	From	from	0
the	the	dt	the	the	0
11	11	crd	11	11	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
18	18	crd	18	18	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
,	,	,	,	,	0
we	we	pns12	we	we	0
found	found	vvd	found	find	0
the	the	dt	the	the	0
winds	winds	n2	winds	wind	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
Northeast	Northeast	n1	Northeast	north-east	0
and	and	cc	and	and	0
Eastnortheast	Eastnortheast	np1	Eastnortheast	Eastnortheast	0
,	,	,	,	,	0
being	being	vbg	being	be	0
then	then	av	then	then	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
latitude	latitude	n1	latitude	latitude	0
of	of	pp-f	of	of	0
15	15	crd	15	15	0
degrees	degrees	n2	degrees	degree	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Southward	Southward	av-j	Southward	southward	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
line	line	n1	line	line	0
,	,	,	,	,	0
and	and	cc	and	and	0
38	38	crd	38	38	0
degrees	degrees	n2	degrees	degree	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Northwards	Northwards	n2	Northwards	northward	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
line	line	n1	line	line	0
.	.	.	.	.	1
A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
Thomas	Thomas	np1	Thomas	Thomas	0
Candish	Candish	vvb	Candish	candish	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
honourable	honourable	j	honourable	honourable	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Hunsdon	Hunsdon	np1	Hunsdon	Hunsdon	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Chamber-laine	Chamber-laine	j	Chamberlain	chamberlain	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
honourable	honourable	j	honourable	honourable	0
Privy	Privy	j	Privy	privy	0
Councell	Councell	n1	Council	council	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
successe	successe	n1	success	success	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
voyage	voyage	n1	voyage	voyage	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
Ight	Ight	wd	Ight	ight	0
honourable	honourable	j	honourable	honourable	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
favour	favour	n1	favour	favour	0
heretofore	heretofore	av	heretofore	heretofore	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
most	most	av-ds	most	most	0
greatly	greatly	av-j	greatly	great	0
extended	extended	vvn	extended	extend	0
towards	towards	p-acp	towards	towards	0
me	me	pno11	me	i	0
,	,	,	,	,	0
so	so	av	so	so	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
desire	desire	vvb	desire	desire	0
a	a	dt	a	a	0
continuance	continuance	n1	continuance	continuance	0
thereof	thereof	av	thereof	thereof	0
:	:	:	:	:	0
and	and	cc	and	and	0
though	though	cs	though	though	0
there	there	pc-acp	there	there	0
be	be	vbb	be	be	0
no	no	dx	no	no	0
meanes	meanes	n2	means	mean	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
deserve	deserve	vvi	deserve	deserve	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
uttermost	uttermost	j	uttermost	uttermost	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
services	services	n2	services	service	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
