Concerning	Concerning	vvg	Concerning	concern	0
the	the	dt	the	the	0
mighty	mighty	j	mighty	mighty	0
kingdom	kingdom	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
Coray	Coray	np1	Coray	Coray	0
,	,	,	,	,	0
tributary	tributary	n-jn	tributary	tributary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
China	China	np1	China	China	0
,	,	,	,	,	0
and	and	cc	and	and	0
borthering	borthering	vvg	borthering	borther	0
upon	upon	p-acp	upon	upon	0
his	his	po31	his	his	0
Northeast	Northeast	n1	Northeast	north-east	0
frontiers	frontiers	n2	frontiers	frontier	0
,	,	,	,	,	0
called	called	vvn	called	call	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Portugales	Portugales	np2	Portugales	Portugal	0
Coria	Coria	np1	Coria	Coria	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
esteemed	esteemed	vvd	esteemed	esteem	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
an	an	dt	and	a	0
iland	iland	n1	island	island	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
since	since	c-acp	since	since	0
found	found	vvn	found	find	0
to	to	pc-acp	to	to	0
adjoyne	adjoyne	vvi	adjoin	adjoin	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
maine	maine	n1	main	main	0
not	not	xx	not	not	0
many	many	d	many	many	0
dayes	dayes	ng1	days	day	0
journey	journey	n1	journey	journey	0
from	from	p-acp	from	from	0
Paqui	Paqui	np1	Paqui	Paqui	0
the	the	dt	the	the	0
metropolitan	metropolitan	j-jn	metropolitan	metropolitan	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
China	China	np1	China	China	0
.	.	.	.	.	1
The	The	dt	The	the	0
more	more	av-dc	more	more	0
perfect	perfect	j	perfect	perfect	0
discovery	discovery	n1	discovery	discovery	0
whereof	whereof	c-crq	whereof	whereof	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Tartaria	Tartaria	np1	Tartaria	Tartary	0
Northward	Northward	av-j	Northward	northward	0
,	,	,	,	,	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
bring	bring	vvi	bring	bring	0
great	great	j	great	great	0
light	light	n1	light	light	0
(	(	(	(	(	0
if	if	cs	if	if	0
not	not	xx	not	not	0
full	full	j	full	full	0
certaintie	certaintie	n1	certainty	certainty	0
)	)	)	)	)	0
either	either	d	either	either	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Northwest	Northwest	av-an	Northwest	northwest	0
or	or	cc	or	or	0
a	a	dt	a	a	0
Northeast	Northeast	n1	Northeast	north-east	0
passage	passage	n1	passage	passage	0
from	from	p-acp	from	from	0
Europe	Europe	np1	Europe	Europe	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
rich	rich	j	rich	rich	0
countries	countries	n2	countries	country	0
.	.	.	.	.	1
Collected	Collected	vvn	Collected	collect	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Portugale	Portugale	np1	Portugale	Portugal	0
Jesuites	Jesuites	np2	Jesuites	Jesuit	0
yeerely	yeerely	av-j	yearly	yearly	0
Japonian	Japonian	jp	Japonian	japonian	0
Epistles	Epistles	n2	Epistles	epistle	0
dated	dated	vvn	dated	date	0
1590	1590	crd	1590	1590	0
,	,	,	,	,	0
1591	1591	crd	1591	1591	0
,	,	,	,	,	0
1592	1592	crd	1592	1592	0
,	,	,	,	,	0
1594	1594	crd	1594	1594	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
The	The	dt	The	the	0
first	first	ord	first	first	0
testimony	testimony	n1	testimony	testimony	0
containing	containing	vvg	containing	contain	0
a	a	dt	a	a	0
resolute	resolute	j	resolute	resolute	0
determination	determination	n1	determination	determination	0
of	of	pp-f	of	of	0
Quabacondono	Quabacondono	fw-it	Quabacondono	quabacondono	0
the	the	dt	the	the	0
great	great	j	great	great	0
Monarch	Monarch	n1	Monarch	monarch	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Japan	Japan	np1	Japan	Japan	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
invade	invade	vvi	invade	invade	0
and	and	cc	and	and	0
conquere	conquere	vvi	conquer	conquer	0
China	China	np1	China	China	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Coray	Coray	np1	Coray	Coray	0
,	,	,	,	,	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
country	country	n1	country	country	0
divided	divided	vvn	divided	divide	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Iles	Iles	n2	Isles	isle	0
of	of	pp-f	of	of	0
Japan	Japan	np1	Japan	Japan	0
