A	A	dt	A	a	0
testimonie	testimonie	n1	testimony	testimony	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
and	and	cc	and	and	0
appendances	appendances	n2	appendances	appendance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
crowne	crowne	n1	crown	crown	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kingdome	kingdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
Britaine	Britaine	np1	Britaine	Britain	0
,	,	,	,	,	0
taken	taken	vvn	taken	take	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
Lambard	Lambard	np1	Lambard	Lambard	0
his	his	po31	his	his	0
&	&	cc	&	and	0
pKatovotda	pKatovotda	np1	pKatovotda	pKatovotda	0
,	,	,	,	,	0
fol.	fol.	n1	fol.	folio	0
137.	137.	crd	137.	137.	0
pag	pag	n1	page	page	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
5	5	crd	5	5	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A.D.	A.D.	np1	A.D.	A.D.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
5I7	5I7	np1	5I7	5I7	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
ARthur	ARthur	np1	ARthur	ARthur	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
sometimes	sometimes	av	sometime	sometime	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
renowmed	renowmed	j-vvn	renowned	renown	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Britains	Britains	npg1	Britains	Britain	0
,	,	,	,	,	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
mightie	mightie	j	mighty	mighty	0
,	,	,	,	,	0
and	and	cc	and	and	0
valiant	valiant	j	valiant	valiant	0
man	man	n1	man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
famous	famous	j	famous	famous	0
warriour	warriour	n1	warrior	warrior	0
.	.	.	.	.	1
This	This	d	This	this	0
kingdome	kingdome	n1	kingdom	kingdom	0
was	was	vbds	was	be	0
too	too	av	too	too	0
litle	litle	j	little	little	0
for	for	c-acp	for	for	0
him	him	pno31	him	he	0
,	,	,	,	,	0
&	&	cc	&	and	0
his	his	po31	his	his	0
minde	minde	n1	mind	mind	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
contented	contented	vvn	contented	content	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
.	.	.	.	.	1
He	He	pns31	He	he	0
therefore	therefore	av	therefore	therefore	0
valiantly	valiantly	av-j	valiantly	valiant	0
subdued	subdued	vvn	subdued	subdue	0
all	all	d	all	all	0
Scantia	Scantia	np1	Scantia	Scantia	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
now	now	av	now	now	0
called	called	vvn	called	call	0
Norway	Norway	np1	Norway	Norway	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
Islands	Islands	n2	Islands	island	0
beyond	beyond	p-acp	beyond	beyond	0
Norway	Norway	np1	Norway	Norway	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
wit	wit	n1	wit	wit	0
,	,	,	,	,	0
Island	Island	n1	Island	island	0
and	and	cc	and	and	0
Greenland	Greenland	np1	Greenland	Greenland	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
apperteining	apperteining	vvg	aPPERTAINING	appertain	0
unto	unto	p-acp	unto	unto	0
Norway	Norway	np1	Norway	Norway	0
,	,	,	,	,	0
Sweveland	Sweveland	np1	Sweveland	Sweveland	0
,	,	,	,	,	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
Gotland	Gotland	np1	Gotland	Gotland	0
,	,	,	,	,	0
Denmarke	Denmarke	np1	Denmarke	Denmark	0
,	,	,	,	,	0
Semeland	Semeland	np1	Semeland	Semeland	0
,	,	,	,	,	0
Windland	Windland	np1	Windland	Windland	0
,	,	,	,	,	0
Curland	Curland	np1	Curland	Curland	0
,	,	,	,	,	0
Roe	Roe	np1	Roe	Roe	0
,	,	,	,	,	0
Femeland	Femeland	np1	Femeland	Femeland	0
,	,	,	,	,	0
Wireland	Wireland	np1	Wireland	Wireland	0
,	,	,	,	,	0
Flanders	Flanders	np1	Flanders	Flanders	0
,	,	,	,	,	0
Cherilland	Cherilland	np1	Cherilland	Cherilland	0
,	,	,	,	,	0
Lapland	Lapland	np1	Lapland	Lapland	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
lands	lands	n2	lands	land	0
&	&	cc	&	and	0
Islands	Islands	n2	Islands	island	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
East	East	n1	East	east	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
even	even	av	even	even	0
