320	320	crd	320	320	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
third	third	ord	third	three	0
unto	unto	p-acp	unto	unto	0
Haquinus	Haquinus	np1	Haquinus	Haquinus	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Norway	Norway	np1	Norway	Norway	0
concerning	concerning	vvg	concerning	concern	0
a	a	dt	a	a	0
treatie	treatie	n1	treaty	treaty	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
mutuall	mutuall	j	mutual	mutual	0
traffique	traffique	n1	traffic	traffic	0
of	of	pp-f	of	of	0
marchandize	marchandize	n1	merchandise	merchandise	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
HEnry	HEnry	np1	HEnry	HEnry	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
unto	unto	p-acp	unto	unto	0
Haquinus	Haquinus	np1	Haquinus	Haquinus	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
grace	grace	n1	grace	grace	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Norway	Norway	np1	Norway	Norway	0
,	,	,	,	,	0
sendeth	sendeth	vvz	sends	send	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Wee	Wee	pns12	we	we	0
render	render	vvi	render	render	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
highnesse	highnesse	n1	highness	highness	0
unspeakeable	unspeakeable	j	unspeakable	unspeakable	0
thanks	thanks	n2	thanks	thank	0
for	for	p-acp	for	for	0
those	those	d	those	those	0
things	things	n2	things	thing	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
discreete	discreete	j	discreet	discreet	0
subject	subject	n-jn	subject	subject	0
the	the	dt	the	the	0
Abbat	Abbat	n1	Abbot	abbot	0
of	of	pp-f	of	of	0
Lisa	Lisa	np1	Lisa	Lisa	0
,	,	,	,	,	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
signified	signified	vvn	signified	signify	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
