324	324	crd	324	324	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
charter	charter	n1	charter	charter	0
of	of	pp-f	of	of	0
Lubek	Lubek	np1	Lubek	Lubek	0
granted	granted	vvd	granted	grant	0
for	for	p-acp	for	for	0
seven	seven	crd	seven	seven	0
yeeres	yeeres	n2	years	year	0
,	,	,	,	,	0
obtained	obtained	vvn	obtained	obtain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
one	one	crd	one	one	0
and	and	cc	and	and	0
fortieth	fortieth	ord	fortieth	forty	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
third	third	ord	third	three	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
HEnry	HEnry	np1	HEnry	HEnry	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Normandie	Normandie	np1	Normandie	Normandy	0
and	and	cc	and	and	0
Aquitaine	Aquitaine	np1	Aquitaine	Aquitaine	0
,	,	,	,	,	0
and	and	cc	and	and	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Anjou	Anjou	np1	Anjou	Anjou	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
his	his	po31	his	his	0
Bailifs	Bailifs	n2	Bailiffs	bailiff	0
sendeth	sendeth	vvz	sends	send	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
Know	Know	vvb	Know	know	0
ye	ye	pn22	you	you	0
that	that	d	that	that	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
instant	instant	j-jn	instant	instant	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
welbeloved	welbeloved	j	well-beloved	well-beloved	0
and	and	cc	and	and	0
trusty	trusty	j	trusty	trusty	0
brother	brother	n1	brother	brother	0
Richard	Richard	np1	Richard	Richard	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Cornewal	Cornewal	np1	Cornewal	Cornewal	0
being	being	vbg	being	be	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
elected	elected	j-vvn	elected	elect	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
