Another	Another	j-jn	Another	another	0
Letter	Letter	n1	Letter	letter	0
of	of	pp-f	of	of	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
second	second	ord	second	second	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Haqui-nus	Haqui-nus	j	Haquinus	haquinus	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Norway	Norway	np1	Norway	Norway	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
behalfe	behalfe	n1	behalf	behalf	0
of	of	pp-f	of	of	0
cer-taine	cer-taine	j	certain	certain	0
English	English	jp	English	english	0
Marchants	Marchants	n2	Merchants	merchant	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
TO	TO	p-acp	TO	to	0
the	the	dt	the	the	0
mightie	mightie	j	mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
Lord	Lord	n1	Lord	lord	0
Haquinus	Haquinus	np1	Haquinus	Haquinus	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
the	the	dt	the	the	0
famous	famous	j	famous	famous	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Norway	Norway	np1	Norway	Norway	0
,	,	,	,	,	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
deare	deare	j-jn	deer	dear	0
friend	friend	n1	friend	friend	0
Edward	Edward	np1	Edward	Edward	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
Lorde	Lorde	n1	Lord	lord	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
and	and	cc	and	and	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Aquitaine	Aquitaine	np1	Aquitaine	Aquitaine	0
,	,	,	,	,	0
greeting	greeting	n1	greeting	greeting	0
and	and	cc	and	and	0
sincere	sincere	j	sincere	sincere	0
love	love	n1	love	love	0
.	.	.	.	.	1
Wee	Wee	pns12	we	we	0
