Charta	Charta	np1	Charta	Charta	0
anno	anno	fw-la	anno	anno	0
regni	regni	fw-la	regni	regni	0
sexto	sexto	fw-la	sexto	sexto	0
confecta	confecta	fw-la	confecta	confecta	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
350	350	crd	350	350	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
351	351	crd	351	351	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
In	In	p-acp	In	in	0
portu	portu	fw-la	portu	portu	0
villae	villae	fw-la	villae	villae	0
Weymouth	Weymouth	np1	Weymouth	Weymouth	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
In	In	p-acp	In	in	0
portu	portu	fw-la	portu	portu	0
villae	villae	fw-la	villae	villae	0
de	de	fw-la	de	de	0
magna	magna	fw-la	magna	magna	0
lernemutha	lernemutha	fw-mi	lernemutha	lernemutha	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
An	An	dt	And	a	0
Ordinance	Ordinance	n1	Ordinance	ordinance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Staple	Staple	n1	Staple	staple	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
holden	holden	vvn	held	hold	0
at	at	p-acp	at	at	0
one	one	crd	one	one	0
certaine	certaine	j	certain	certain	0
place	place	n1	place	place	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
THe	THe	dt	THe	the	0
King	King	n1	King	king	0
unto	unto	p-acp	unto	unto	0
his	his	po31	his	his	0
Collectors	Collectors	n2	Collectors	collector	0
of	of	pp-f	of	of	0
custome	custome	n1	custom	custom	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
wooll	wooll	n1	wool	wool	0
and	and	cc	and	and	0
woollen	woollen	j	woollen	woollen	0
fels	fels	n2	fels	fel	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
port	port	n1	port	port	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Whereas	Whereas	cs	Whereas	whereas	0
we	we	pns12	we	we	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
20.	20.	crd	20.	20.	0
of	of	pp-f	of	of	0
May	May	n1	May	may	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sixt	sixt	ord	sixt	sixth	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
reigne	reigne	n1	reign	reign	0
,	,	,	,	,	0
considering	considering	vvg	considering	consider	0
the	the	dt	the	the	0
damages	damages	n2	damages	damage	0
and	and	cc	and	and	0
grievances	grievances	n2	grievances	grievance	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
diversly	diversly	av-j	diversely	diverse	0
happened	happened	vvn	happened	happen	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
realme	realme	n1	realm	realm	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
occasion	occasion	n1	occasion	occasion	0
that	that	cst	that	that	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
,	,	,	,	,	0
8c	8c	av	8c	8c	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
countreis	countreis	n2	countries	country	0
,	,	,	,	,	0
buying	buying	vvg	buying	buy	0
up	up	a-acp	up	up	0
wooll	wooll	n1	wool	wool	0
and	and	cc	and	and	0
woollen	woollen	j	woollen	woollen	0
fels	fels	n2	fels	fel	0
within	within	p-acp	within	within	0
our	our	po12	our	our	0
kingdome	kingdome	n1	kingdom	kingdom	0
and	and	cc	and	and	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
have	have	vhb	have	have	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
better	better	jc	better	better	0
sale	sale	n1	sale	sale	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
pleasure	pleasure	n1	pleasure	pleasure	0
conveyed	conveyed	vvn	conveyed	convey	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
and	and	cc	and	and	0
trasported	trasported	vvn	transported	transport	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
wooll	wooll	n1	wool	wool	0
8c	8c	j	8c	8c	0
fels	fels	n2	fels	fel	0
into	into	p-acp	into	into	0
sundry	sundry	j	sundry	sundry	0
places	places	n2	places	place	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
provinces	provinces	n2	provinces	province	0
of	of	pp-f	of	of	0
Brabant	Brabant	np1	Brabant	Brabant	0
,	,	,	,	,	0
Flanders	Flanders	np1	Flanders	Flanders	0
