107	107	crd	107	107	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A.D.	A.D.	np1	A.D.	A.D.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
I+O4	I+O4	n1	I+O4	i+o4	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A	A	dt	A	a	0
Charter	Charter	n1	Charter	charter	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
fourth	fourth	ord	fourth	four	0
graunted	graunted	vvd	granted	grant	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
lift	lift	n1	lift	lift	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
reigne	reigne	n1	reign	reign	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Marchants	Marchants	ng1	Merchants	merchant	0
resident	resident	j-jn	resident	resident	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
partes	partes	n2	parts	part	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
Denmarke	Denmarke	np1	Denmarke	Denmark	0
,	,	,	,	,	0
Norway	Norway	np1	Norway	Norway	0
,	,	,	,	,	0
Sweden	Sweden	np1	Sweden	Sweden	0
and	and	cc	and	and	0
Germanic	Germanic	np1	Germanic	Germanic	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
chusing	chusing	vvg	choosing	choose	0
of	of	pp-f	of	of	0
Governours	Governours	n2	Governors	governor	0
among	among	p-acp	among	among	0
themselves	themselves	px32	themselves	themselves	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
HEnry	HEnry	np1	HEnry	HEnry	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
,	,	,	,	,	0
and	and	cc	and	and	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
these	these	d	these	these	0
present	present	j	present	present	0
letters	letters	n2	letters	letter	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
,	,	,	,	,	0
sendeth	sendeth	vvz	sends	send	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
