A	A	dt	A	a	0
branch	branch	n1	branch	branch	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Statute	Statute	n1	Statute	statute	0
made	made	vvd	made	make	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eight	eight	crd	eight	eight	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
sixt	sixt	ord	sixt	sixth	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
trade	trade	n1	trade	trade	0
to	to	p-acp	to	to	0
Norwey	Norwey	np1	Norwey	Norwey	0
,	,	,	,	,	0
Sweveland	Sweveland	np1	Sweveland	Sweveland	0
,	,	,	,	,	0
Denmarke	Denmarke	np1	Denmarke	Denmark	0
,	,	,	,	,	0
and	and	cc	and	and	0
Fynmarke	Fynmarke	np1	Fynmarke	Fynmarke	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
I	I	pns11	I	i	0
Tern	Tern	j	Tern	tern	0
because	because	c-acp	because	because	0
that	that	d	that	that	0
the	the	dt	the	the	0
kings	kings	n2	kings	king	0
most	most	av-ds	most	most	0
deare	deare	j-jn	deer	dear	0
Uncle	Uncle	n1	Uncle	uncle	0
,	,	,	,	,	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Denmarke	Denmarke	np1	Denmarke	Denmark	0
,	,	,	,	,	0
Norway	Norway	np1	Norway	Norway	0
&	&	cc	&	and	0
Sweveland	Sweveland	np1	Sweveland	Sweveland	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
same	same	d	same	same	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
Lord	Lord	n1	Lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
intimation	intimation	n1	intimation	intimation	0
hath	hath	vhz	hath	have	0
understood	understood	vvn	understood	understand	0
,	,	,	,	,	0
considering	considering	vvg	considering	consider	0
the	the	dt	the	the	0
manifold	manifold	j	manifold	manifold	0
&	&	cc	&	and	0
great	great	j	great	great	0
