Another	Another	j-jn	Another	another	0
letter	letter	n1	letter	letter	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
parties	parties	n2	parties	party	0
.	.	.	.	.	1
1560.	1560.	crd	1560.	1560.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
THis	THis	d	THis	this	0
letter	letter	n1	letter	letter	0
before	before	a-acp	before	before	0
written	written	vvn	written	write	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
copie	copie	n1	copy	copy	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
sent	sent	vvn	sent	send	0
you	you	pn22	you	you	0
by	by	p-acp	by	by	0
Thomas	Thomas	np1	Thomas	Thomas	0
Alcock	Alcock	np1	Alcock	Alcock	0
,	,	,	,	,	0
trusting	trusting	vvg	trusting	trust	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
was	was	vbds	was	be	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
long	long	av-j	long	long	0
since	since	a-acp	since	since	0
.	.	.	.	.	1
The	The	dt	The	the	0
26	26	crd	26	26	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
last	last	ord	last	last	0
moneth	moneth	n1	month	month	0
we	we	pns12	we	we	0
received	received	vvd	received	receive	0
a	a	dt	a	a	0
letter	letter	n1	letter	letter	0
from	from	p-acp	from	from	0
him	him	pno31	him	he	0
,	,	,	,	,	0
dated	dated	vvn	dated	date	0
in	in	p-acp	in	in	0
Stockholme	Stockholme	np1	Stockholme	Stockholme	0
in	in	p-acp	in	in	0
Sweden	Sweden	np1	Sweden	Sweden	0
the	the	dt	the	the	0
14	14	crd	14	14	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
January	January	np1	January	January	0
,	,	,	,	,	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
perceive	perceive	vvb	perceive	perceive	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
letter	letter	n1	letter	letter	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
talked	talked	vvn	talked	talk	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Dutch	Dutch	jp	Dutch	dutch	0
man	man	n1	man	man	0
that	that	cst	that	that	0
came	came	vvd	came	come	0
lately	lately	av-j	lately	late	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Mosco	Mosco	np1	Mosco	Moscow	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
informed	informed	vvd	informed	inform	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
our	our	po12	our	our	0
friend	friend	n1	friend	friend	0
Master	Master	n1	Master	master	0
Antony	Antony	np1	Antony	Antony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
was	was	vbds	was	be	0
returned	returned	vvn	returned	return	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Mosco	Mosco	np1	Mosco	Moscow	0
in	in	p-acp	in	in	0
September	September	np1	September	September	0
last	last	ord	last	last	0
past	past	vvd	passed	pass	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
how	how	q-crq	how	how	0
farre	farre	av-j	far	far	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
beene	beene	vbn	been	be	0
,	,	,	,	,	0
or	or	cc	or	or	0
what	what	r-crq	what	what	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
he	he	pns31	he	he	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
tell	tell	vvi	tell	tell	0
.	.	.	.	.	1
Also	Also	av	Also	also	0
he	he	pns31	he	he	0
wrote	wrote	vvd	wrote	write	0
that	that	cst	that	that	0
one	one	crd	one	one	0
John	John	np1	John	John	0
Lucke	Lucke	np1	Lucke	Lucke	0
a	a	dt	a	a	0
Joyner	Joyner	n1	Joiner	joiner	0
was	was	vbds	was	be	0
taken	taken	vvn	taken	take	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Liefelanders	Liefelanders	n2	Liefelanders	liefelander	0
,	,	,	,	,	0
and	and	cc	and	and	0
put	put	vvd	put	put	0
in	in	p-acp	in	in	0
prison	prison	n1	prison	prison	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
yet	yet	av	yet	yet	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
heard	heard	vvn	herd	hear	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
John	John	np1	John	John	0
Lucke	Lucke	n1	Luck	luck	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
whether	whether	cs	whither	whether	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
released	released	vvn	released	release	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
prison	prison	n1	prison	prison	0
or	or	cc	or	or	0
not	not	xx	not	not	0
.	.	.	.	.	1
We	We	pns12	We	we	0
suppose	suppose	vvb	suppose	suppose	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
you	you	pn22	you	you	0
wrote	wrote	vvd	wrote	write	0
some	some	d	some	some	0
letter	letter	n1	letter	letter	0
which	which	r-crq	which	which	0
as	as	c-acp	as	as	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
come	come	vvn	come	come	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
hands	hands	n2	hands	hand	0
:	:	:	:	:	0
so	so	av	so	so	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
thinke	thinke	vvb	think	think	0
hee	hee	pns31	he	he	0
is	is	vbz	is	be	0
yet	yet	av	yet	yet	0
in	in	p-acp	in	in	0
prison	prison	n1	prison	prison	0
,	,	,	,	,	0
or	or	cc	or	or	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Stockholme	Stockholme	np1	Stockholme	Stockholme	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
John	John	np1	John	John	0
Luck	Luck	n1	Luck	luck	0
taken	taken	vvn	taken	take	0
prisoner	prisoner	n1	prisoner	prisoner	0
in	in	p-acp	in	in	0
Lieflande	Lieflande	n1	Lieflande	lieflande	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
4°7	4°7	n1	4°7	4°7	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
otherwise	otherwise	av	otherwise	otherwise	0
dispatched	dispatched	vvn	dispatched	dispatch	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
way	way	n1	way	way	0
.	.	.	.	.	1
The	The	dt	The	the	0
fifteenth	fifteenth	ord	fifteenth	fifteen	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
December	December	np1	December	December	0
wee	wee	pns12	we	we	0
received	received	vvd	received	receive	0
a	a	dt	a	a	0
letter	letter	n1	letter	letter	0
from	from	p-acp	from	from	0
Christopher	Christopher	np1	Christopher	Christopher	0
Hodson	Hodson	np1	Hodson	Hodson	0
,	,	,	,	,	0
dated	dated	vvn	dated	date	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Mosco	Mosco	np1	Mosco	Moscow	0
the	the	dt	the	the	0
29	29	crd	29	29	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Danske	Danske	jp	Dansk	dansk	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
effect	effect	n1	effect	effect	0
a	a	dt	a	a	0
copie	copie	n1	copy	copy	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
another	another	n-jn	another	another	0
received	received	vvn	received	receive	0
from	from	p-acp	from	from	0
