[	[	[	[	[	0
L	L	sy	L	l	0
353.	353.	crd	353.	353.	1
J	J	pns11	J	i	0
The	The	dt	The	the	0
second	second	ord	second	second	0
voiage	voiage	n1	voyage	voyage	0
into	into	p-acp	into	into	0
Persia	Persia	np1	Persia	Persia	0
made	made	vvd	made	make	0
by	by	p-acp	by	by	0
Tho.	Tho.	np1	Tho.	Tho.	1
Alcock	Alcock	np1	Alcock	Alcock	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
slaine	slaine	vvn	slain	slay	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
George	George	np1	George	George	0
Wrenne	Wrenne	n1	Wren	wren	0
,	,	,	,	,	0
&	&	cc	&	and	0
Ric.	Ric.	np1	Ric.	Ric.	1
Cheinie	Cheinie	n1	Cheinie	cheinie	0
servants	servants	n2	servants	servant	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
worshipfull	worshipfull	j	worshipful	worshipful	0
compaine	compaine	n1	company	company	0
of	of	pp-f	of	of	0
Moscovie	Moscovie	np1	Moscovie	Moscovie	0
merchants	merchants	n2	merchant's	merchant	0
in	in	p-acp	in	in	0
Anno	Anno	fw-la	Anno	anno	0
1563.	1563.	crd	1563.	1563.	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Richard	Richard	np1	Richard	Richard	0
Cheinie	Cheinie	n1	Cheinie	cheinie	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A	A	dt	A	a	0
rubble	rubble	j-jn	rubble	rubble	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
marke	marke	n1	mark	mark	0
English	English	np1	English	English	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
T	T	sy	TO	t	0
may	may	vmb	may	may	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
worships	worships	n2	worships	worship	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
1563.	1563.	crd	1563.	1563.	1
I	I	pns11	I	i	0
was	was	vbds	was	be	0
appointed	appointed	vvn	appointed	appoint	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
Antho.	Antho.	np1	Antho.	Antho.	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
,	,	,	,	,	0
and	and	cc	and	and	0
M.	M.	n1	M.	m.	0
Thomas	Thomas	np1	Thomas	Thomas	0
Glover	Glover	np1	Glover	Glover	0
your	your	po22	your	your	0
Agent	Agent	n1	Agent	agent	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
for	for	p-acp	for	for	0
Persia	Persia	np1	Persia	Persia	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
worships	worships	ng1	worships	worship	0
affaires	affaires	n2	affairs	affair	0
,	,	,	,	,	0
one	one	crd	one	one	0
Thomas	Thomas	np1	Thomas	Thomas	0
Alcock	Alcock	np1	Alcock	Alcock	0
having	having	vhg	having	have	0
the	the	dt	the	the	0
charge	charge	n1	charge	charge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
