A	A	dt	A	a	0
copie	copie	n1	copy	copy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
priviledges	priviledges	n2	privileges	privilege	0
granted	granted	vvn	granted	grant	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
high	high	j	high	high	0
and	and	cc	and	and	0
mightie	mightie	j	mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
fellowship	fellowship	n1	fellowship	fellowship	0
of	of	pp-f	of	of	0
English	English	jp	English	english	0
merchants	merchants	n2	merchant's	merchant	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
discoverie	discoverie	n1	discovery	discovery	0
of	of	pp-f	of	of	0
new	new	j	new	new	0
trades	trades	n2	trades	trade	0
:	:	:	:	:	0
and	and	cc	and	and	0
hither	hither	av	hither	hither	0
sent	sent	vvd	sent	send	0
by	by	p-acp	by	by	0
Thomas	Thomas	np1	Thomas	Thomas	0
Randolfe	Randolfe	np1	Randolfe	Randolfe	0
esquire	esquire	n1	esquire	esquire	0
,	,	,	,	,	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
Ambassadour	Ambassadour	n1	Ambassador	ambassador	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Emperour	Emperour	n1	Emperor	emperor	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
Andrew	Andrew	np1	Andrew	Andrew	0
Savin	Savin	np1	Savin	Savin	0
his	his	po31	his	his	0
Ambassadour	Ambassadour	n1	Ambassador	ambassador	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
God	God	np1	God	God	0
1569.	1569.	crd	1569.	1569.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Ne	Ne	ccx	Ne	ne	0
God	God	np1	God	God	0
everlasting	everlasting	j	everlasting	everlasting	0
,	,	,	,	,	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
and	and	cc	and	and	0
before	before	a-acp	before	before	0
the	the	dt	the	the	0
beginning	beginning	n1	beginning	beginning	0
,	,	,	,	,	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
the	the	dt	the	the	0
Sonne	Sonne	n1	Son	son	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
,	,	,	,	,	0
the	the	dt	the	the	0
blessed	blessed	j-vvn	blessed	bless	0
Trinitie	Trinitie	np1	Trinitie	Trinity	0
,	,	,	,	,	0
our	our	po12	our	our	0
onely	onely	j	only	only	0
God	God	np1	God	God	0
,	,	,	,	,	0
maker	maker	n1	maker	maker	0
,	,	,	,	,	0
and	and	cc	and	and	0
preserver	preserver	n1	preserver	preserver	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
replenisher	replenisher	n1	replenisher	replenisher	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
every	every	d	every	every	0
where	where	c-crq	where	where	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
by	by	p-acp	by	by	0
thy	thy	po21	thy	thy	0
goodnesse	goodnesse	n1	goodness	goodness	0
doest	doest	vd2	dost	do	0
cause	cause	vvi	cause	cause	0
all	all	d	all	all	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
love	love	vvi	love	love	0
the	the	dt	the	the	0
giver	giver	n1	giver	giver	0
of	of	pp-f	of	of	0
wisedome	wisedome	n1	wisdom	wisdom	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
our	our	po12	our	our	0
onely	onely	j	only	only	0
Mediatour	Mediatour	n1	Mediator	mediator	0
,	,	,	,	,	0
and	and	cc	and	and	0
leader	leader	n1	leader	leader	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
all	all	d	all	all	0
unto	unto	p-acp	unto	unto	0
blessed	blessed	j-vvn	blessed	bless	0
knowledge	knowledge	n1	knowledge	knowledge	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
Sonne	Sonne	n1	Son	son	0
his	his	po31	his	his	0
word	word	n1	word	word	0
,	,	,	,	,	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
holy	holy	j	holy	holy	0
and	and	cc	and	and	0
everlasting	everlasting	j	everlasting	everlasting	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
our	our	po12	our	our	0
dayes	dayes	n2	days	day	0
teachest	teachest	vv2	teachest	teach	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
keepe	keepe	vvi	keep	keep	0
Christianitie	Christianitie	np1	Christianitie	Christianity	0
,	,	,	,	,	0
and	and	cc	and	and	0
sufferest	sufferest	vv2	sufferest	suffer	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
enjoy	enjoy	vvi	enjoy	enjoy	0
our	our	po12	our	our	0
kingdome	kingdome	n1	kingdom	kingdom	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
happy	happy	j	happy	happy	0
commodity	commodity	n1	commodity	commodity	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
land	land	n1	land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
wealth	wealth	n1	wealth	wealth	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
people	people	n1	people	people	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
despight	despight	n1	despite	despite	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
fame	fame	n1	fame	fame	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
friends	friends	n2	friends	friend	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
We	We	pns12	We	we	0
John	John	np1	John	John	0
Vasiliwich	Vasiliwich	vvi	Vasiliwich	vasiliwich	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
great	great	j	great	great	0
lord	lord	n1	lord	lord	0
,	,	,	,	,	0
Emperour	Emperour	n1	Emperor	emperor	0
,	,	,	,	,	0
and	and	cc	and	and	0
