A	A	dt	A	a	0
Commission	Commission	n1	Commission	commission	0
given	given	vvn	given	give	0
by	by	p-acp	by	by	0
us	us	pno12	us	we	0
Thomas	Thomas	np1	Thomas	Thomas	0
Randolfe	Randolfe	np1	Randolfe	Randolfe	0
Ambassadour	Ambassadour	n1	Ambassador	ambassador	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majestic	Majestic	j	Majestic	majestic	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
and	and	cc	and	and	0
Thomas	Thomas	np1	Thomas	Thomas	0
Bannister	Bannister	np1	Bannister	Bannister	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
unto	unto	p-acp	unto	unto	0
James	James	np1	James	James	0
Bassendine	Bassendine	np1	Bassendine	Bassendine	0
,	,	,	,	,	0
James	James	np1	James	James	0
Woodcocke	Woodcocke	n1	Woodcock	woodcock	0
and	and	cc	and	and	0
Richard	Richard	np1	Richard	Richard	0
Browne	Browne	j-jn	brown	brown	0
,	,	,	,	,	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
Bassendine	Bassendine	np1	Bassendine	Bassendine	0
,	,	,	,	,	0
Woodcocke	Woodcocke	n1	Woodcock	woodcock	0
,	,	,	,	,	0
and	and	cc	and	and	0
Browne	Browne	j-jn	brown	brown	0
we	we	pns12	we	we	0
appoint	appoint	vvb	appoint	appoint	0
joyntly	joyntly	av-j	jointly	joint	0
together	together	av	together	together	0
,	,	,	,	,	0
and	and	cc	and	and	0
aiders	aiders	n2	aiders	aider	0
,	,	,	,	,	0
the	the	dt	the	the	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
discovery	discovery	n1	discovery	discovery	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
searching	searching	vvg	searching	search	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
and	and	cc	and	and	0
border	border	n1	border	border	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
river	river	n1	river	river	0
Pechora	Pechora	np1	Pechora	Pechora	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Eastwards	Eastwards	av-j	Eastwards	eastwards	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
hereafter	hereafter	av	hereafter	hereafter	0
followeth	followeth	vvz	follows	follow	0
Anno	Anno	fw-la	Anno	anno	0
1588.	1588.	crd	1588.	1588.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Qprimis	Qprimis	fw-la	Qprimis	qprimis	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
your	your	po22	your	your	0
barke	barke	n1	bark	bark	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
furniture	furniture	n1	furniture	furniture	0
is	is	vbz	is	be	0
ready	ready	j	ready	ready	0
,	,	,	,	,	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
(	(	(	(	(	0
assoone	assoone	c-acp	assoon	assoon	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
possibly	possibly	av-j	possibly	possible	0
may	may	vmb	may	may	0
)	)	)	)	)	0
make	make	vvi	make	make	0
your	your	po22	your	your	0
repaire	repaire	n1	repair	repair	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Easterne	Easterne	j	Eastern	eastern	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
river	river	n1	river	river	0
Pechora	Pechora	np1	Pechora	Pechora	0
,	,	,	,	,	0
where	where	q-crq	where	where	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
Island	Island	n1	Island	island	0
called	called	vvd	called	call	0
Dolgoieve	Dolgoieve	vvi	Dolgoieve	dolgoieve	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
passe	passe	vvi	pass	pass	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Eastwards	Eastwards	av-j	Eastwards	eastwards	0
alongst	alongst	p-acp	alongst	alongst	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Sea	Sea	n1	Sea	sea	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Hugorie	Hugorie	np1	Hugorie	Hugorie	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
119	119	crd	119	119	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Pechora	Pechora	np1	Pechora	Pechora	0
,	,	,	,	,	0
and	and	cc	and	and	0
sailing	sailing	vvg	sailing	sail	0
alongst	alongst	p-acp	alongst	alongst	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
coast	coast	n1	coast	coast	0
,	,	,	,	,	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
passe	passe	vvi	pass	pass	0
within	within	p-acp	within	within	0
seven	seven	crd	seven	seven	0
leagues	leagues	n2	leagues	league	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Island	Island	n1	Island	island	0
Vaigats	Vaigats	n2	Vaigats	vaigat	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
straight	straight	j	straight	straight	0
,	,	,	,	,	0
almost	almost	av	almost	almost	0
halfe	halfe	j-jn	half	half	0
way	way	n1	way	way	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Hugorie	Hugorie	np1	Hugorie	Hugorie	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Nova	Nova	np1	Nova	Nova	0
Zembla	Zembla	np1	Zembla	Zembla	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Island	Island	n1	Island	island	0
