The	The	dt	The	the	0
copy	copy	n1	copy	copy	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
letter	letter	n1	letter	letter	0
sent	sent	vvd	sent	send	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Moscovie	Moscovie	np1	Moscovie	Moscovie	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Christopher	Christopher	np1	Christopher	Christopher	0
Hodsdon	Hodsdon	np1	Hodsdon	Hodsdon	0
and	and	cc	and	and	0
William	William	np1	William	William	0
Burrough	Burrough	np1	Burrough	Burrough	0
,	,	,	,	,	0
Anno	Anno	fw-la	Anno	anno	0
1570.	1570.	crd	1570.	1570.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Ost	Ost	av	Ost	often	0
mightie	mightie	j	mighty	mighty	0
Emperour	Emperour	n1	Emperor	emperor	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Whereas	Whereas	cs	Whereas	whereas	0
Sir	Sir	n1	Sir	sir	0
William	William	np1	William	William	0
Garrard	Garrard	np1	Garrard	Garrard	0
and	and	cc	and	and	0
his	his	po31	his	his	0
felowship	felowship	n1	fellowship	fellowship	0
the	the	dt	the	the	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
English	English	jp	English	english	0
merchants	merchants	n2	merchant's	merchant	0
,	,	,	,	,	0
this	this	d	this	this	0
last	last	ord	last	last	0
Winter	Winter	n1	Winter	winter	0
sent	sent	vvd	sent	send	0
hither	hither	av	hither	hither	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Narve	Narve	vvi	Narve	narve	0
three	three	crd	three	three	0
ships	ships	n2	ships	ship	0
laden	laden	vvn	laden	lade	0
with	with	p-acp	with	with	0
merchandise	merchandise	n1	merchandise	merchandise	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
left	left	vvn	left	leave	0
here	here	av	here	here	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
Christopher	Christopher	np1	Christopher	Christopher	0
Hodsdon	Hodsdon	np1	Hodsdon	Hodsdon	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
felowship	felowship	n1	fellowship	fellowship	0
,	,	,	,	,	0
and	and	cc	and	and	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
their	their	po32	their	their	0
chiefe	chiefe	j-jn	chief	chief	0
doer	doer	n1	doer	doer	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
place	place	n1	place	place	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
when	when	c-crq	when	when	0
hee	hee	pns31	he	he	0
came	came	vvd	came	come	0
first	first	ord	first	first	0
hither	hither	av	hither	hither	0
,	,	,	,	,	0
and	and	cc	and	and	0
untill	untill	c-acp	until	until	0
such	such	d	such	such	0
time	time	n1	time	time	0
as	as	c-acp	as	as	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
dispatched	dispatched	vvn	dispatched	dispatch	0
those	those	d	those	those	0
ships	ships	n2	ships	ship	0
from	from	p-acp	from	from	0
hence	hence	av	hence	hence	0
,	,	,	,	,	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
goods	goods	n2-j	goods	good	0
to	to	pc-acp	to	to	0
lade	lade	vvi	lade	lade	0
twelve	twelve	crd	twelve	twelve	0
or	or	cc	or	or	0
thirteene	thirteene	crd	thirteene	thirteen	0
sailes	sailes	n2	sails	sail	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
