The	The	dt	The	the	0
names	names	n2	names	name	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
countries	countries	n2	countries	country	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
Anthony	Anthony	np1	Anthony	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
have	have	vhb	have	have	0
travelled	travelled	vvn	traveled	travel	0
unto	unto	p-acp	unto	unto	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
second	second	ord	second	second	0
of	of	pp-f	of	of	0
October	October	np1	October	October	0
1546	1546	crd	1546	1546	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
I	I	pns11	I	i	0
made	made	vvd	made	make	0
my	my	po11	my	my	0
first	first	ord	first	first	0
voyage	voyage	n1	voyage	voyage	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
1572	1572	crd	1572	1572	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
returned	returned	vvd	returned	return	0
last	last	ord	last	last	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
First	First	ord	First	first	0
,	,	,	,	,	0
I	I	pns11	I	i	0
passed	passed	vvd	passed	pass	0
into	into	p-acp	into	into	0
Flanders	Flanders	np1	Flanders	Flanders	0
,	,	,	,	,	0
and	and	cc	and	and	0
travelled	travelled	vvn	traveled	travel	0
through	through	p-acp	through	through	0
all	all	d	all	all	0
the	the	dt	the	the	0
base	base	j	base	base	0
countries	countries	n2	countries	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
through	through	p-acp	through	through	0
Germanic	Germanic	n1	Germanic	germanic	0
,	,	,	,	,	0
passing	passing	vvg	passing	pass	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
Alpes	Alpes	np1	Alpes	Alps	0
I	I	pns11	I	i	0
travelled	travelled	vvd	traveled	travel	0
into	into	p-acp	into	into	0
Italy	Italy	np1	Italy	Italy	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
made	made	vvd	made	make	0
my	my	po11	my	my	0
journey	journey	n1	journey	journey	0
through	through	p-acp	through	through	0
Piemont	Piemont	np1	Piemont	Piedmont	0
into	into	p-acp	into	into	0
France	France	np1	France	France	0
,	,	,	,	,	0
throughout	throughout	p-acp	throughout	throughout	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
realme	realme	n1	realm	realm	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
throughly	throughly	av-j	thoroughly	thorough	0
journied	journied	vvn	journeyed	journey	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
also	also	av	also	also	0
travelled	travelled	vvn	traveled	travel	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
kingdomes	kingdomes	n2	kingdoms	kingdom	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
and	and	cc	and	and	0
Portingal	Portingal	n1	Portingal	portingal	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
sailed	sailed	vvn	sailed	sail	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
Levant	Levant	np1	Levant	Levant	0
seas	seas	n2	seas	sea	0
every	every	d	every	every	0
way	way	n1	way	way	0
,	,	,	,	,	0
&	&	cc	&	and	0
have	have	vhb	have	have	0
bene	bene	vbn	be	be	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
chiefe	chiefe	j-jn	chief	chief	0
Islands	Islands	n2	Islands	island	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
same	same	d	same	same	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Rhodes	Rhodes	np1	Rhodes	Rhodes	0
,	,	,	,	,	0
Malta	Malta	np1	Malta	Malta	0
,	,	,	,	,	0
Sicilia	Sicilia	np1	Sicilia	Sicilia	0
,	,	,	,	,	0
Cyprus	Cyprus	np1	Cyprus	Cyprus	0
,	,	,	,	,	0
Candie	Candie	np1	Candie	Candie	0
,	,	,	,	,	0
and	and	cc	and	and	0
divers	divers	j	diverse	diverse	0
others	others	n2-jn	others	other	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
bene	bene	vbn	be	be	0
in	in	p-acp	in	in	0
many	many	d	many	many	0
partes	partes	n2	parts	part	0
of	of	pp-f	of	of	0
Grecia	Grecia	np1	Grecia	Grecia	0
,	,	,	,	,	0
Morea	Morea	np1	Morea	Morea	0
,	,	,	,	,	0
Achaia	Achaia	np1	Achaia	Achaia	0
,	,	,	,	,	0
and	and	cc	and	and	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
olde	olde	j	old	old	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Corinth	Corinth	np1	Corinth	Corinth	0
stoode	stoode	vvd	stood	stand	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
