Commission	Commission	n1	Commission	commission	0
given	given	vvn	given	give	0
by	by	p-acp	by	by	0
sir	sir	n1	sir	sir	0
Rowland	Rowland	np1	Rowland	Rowland	0
Hayward	Hayward	np1	Hayward	Hayward	0
[	[	[	[	[	0
I	I	pns11	I	i	0
-	-	-	-	-	0
433J	433J	np2	433J	433j	0
knight	knight	n1	knight	knight	0
,	,	,	,	,	0
and	and	cc	and	and	0
George	George	np1	George	George	0
Barne	Barne	n1	Bairn	bairn	0
,	,	,	,	,	0
Aidermen	Aidermen	n2	Aidermen	aiderman	0
and	and	cc	and	and	0
governours	governours	n2	governors	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
English	English	jp	English	english	0
Merchants	Merchants	n2	Merchant's	merchant	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
discovery	discovery	n1	discovery	discovery	0
of	of	pp-f	of	of	0
new	new	j	new	new	0
trades	trades	n2	trades	trade	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
Arthur	Arthur	np1	Arthur	Arthur	0
Pet	Pet	n1	Pet	pet	0
,	,	,	,	,	0
and	and	cc	and	and	0
Charles	Charles	np1	Charles	Charles	0
Jackman	Jackman	np1	Jackman	Jackman	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
voyage	voyage	n1	voyage	voyage	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
discovery	discovery	n1	discovery	discovery	0
of	of	pp-f	of	of	0
Cathay	Cathay	np1	Cathay	Cathay	0
,	,	,	,	,	0
1580.	1580.	crd	1580.	1580.	0
in	in	p-acp	in	in	0
forme	forme	n1	form	form	0
following	following	vvg	following	follow	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
N	N	wd	N	n	0
the	the	dt	the	the	0
Name	Name	n1	Name	name	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
Almightie	Almightie	j-jn	Almighty	almighty	0
,	,	,	,	,	0
and	and	cc	and	and	0
everlasting	everlasting	j	everlasting	everlasting	0
,	,	,	,	,	0
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
This	This	np1	This	This	0
writing	writing	vvg	writing	write	0
for	for	p-acp	for	for	0
commission	commission	n1	commission	commission	0
Tripartite	Tripartite	j	Tripartite	tripartite	0
,	,	,	,	,	0
made	made	vvd	made	make	0
the	the	dt	the	the	0
twentieth	twentieth	ord	twentieth	twenty	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
May	May	np1	May	May	0
Anno	Anno	fw-la	Anno	anno	0
Dom.	Dom.	np1	Dom.	Dom.	1
1580.	1580.	crd	1580.	1580.	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
22.	22.	crd	22.	22.	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
reigne	reigne	n1	reign	reign	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Sovereigne	Sovereigne	j-jn	Sovereign	sovereign	0
Lady	Lady	n1	Lady	lady	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
France	France	np1	France	France	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
defender	defender	n1	defender	defender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Betweene	Betweene	p-acp	Between	between	0
sir	sir	n1	sir	sir	0
Rowland	Rowland	np1	Rowland	Rowland	0
Hayward	Hayward	np1	Hayward	Hayward	0
knight	knight	n1	knight	knight	0
,	,	,	,	,	0
and	and	cc	and	and	0
George	George	np1	George	George	0
Barne	Barne	n1	Bairn	bairn	0
,	,	,	,	,	0
Aidermen	Aidermen	n2	Aidermen	aiderman	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
and	and	cc	and	and	0
Governours	Governours	n2	Governors	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
English	English	jp	English	english	0
Merchants	Merchants	n2	Merchant's	merchant	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
discovery	discovery	n1	discovery	discovery	0
of	of	pp-f	of	of	0
new	new	j	new	new	0
251	251	crd	251	251	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
trades	trades	n2	trades	trade	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
behoofe	behoofe	n1	behoof	behoof	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
company	company	n1	company	company	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
first	first	ord	first	first	0
partie	partie	n1	party	party	0
,	,	,	,	,	0
and	and	cc	and	and	0
Arthur	Arthur	np1	Arthur	Arthur	0
Pet	Pet	n1	Pet	pet	0
of	of	pp-f	of	of	0
Ratcliffe	Ratcliffe	np1	Ratcliffe	Ratcliff	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Countie	Countie	n1	County	county	0
Middlesex	Middlesex	np1	Middlesex	Middlesex	0
,	,	,	,	,	0
Captaine	Captaine	n1	Captain	captain	0
,	,	,	,	,	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
and	and	cc	and	and	0
chiefe	chiefe	j-jn	chief	chief	0
ruler	ruler	n1	ruler	ruler	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
good	good	j	good	good	0
barke	barke	n1	bark	bark	0
,	,	,	,	,	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
George	George	np1	George	George	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
burthen	burthen	n1	burden	burden	0
of	of	pp-f	of	of	0
40.	40.	crd	40.	40.	0
tunnes	tunnes	n2	tons	ton	0
,	,	,	,	,	0
or	or	cc	or	or	0
thereabouts	thereabouts	av	thereabouts	thereabouts	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
second	second	ord	second	second	0
partie	partie	n1	party	party	0
,	,	,	,	,	0
and	and	cc	and	and	0
Charles	Charles	np1	Charles	Charles	0
Jackman	Jackman	np1	Jackman	Jackman	0
of	of	pp-f	of	of	0
Popler	Popler	zz	Popler	popler	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Countie	Countie	n1	County	county	0
of	of	pp-f	of	of	0
Middlesex	Middlesex	np1	Middlesex	Middlesex	0
,	,	,	,	,	0
Captaine	Captaine	n1	Captain	captain	0
,	,	,	,	,	0
Master	Master	n1	Master	master	0
and	and	cc	and	and	0
ruler	ruler	n1	ruler	ruler	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
good	good	j	good	good	0
barke	barke	n1	bark	bark	0
,	,	,	,	,	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
William	William	np1	William	William	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
burthen	burthen	n1	burden	burden	0
of	of	pp-f	of	of	0
20.	20.	crd	20.	20.	0
tunnes	tunnes	n2	tons	ton	0
,	,	,	,	,	0
or	or	cc	or	or	0
thereabouts	thereabouts	av	thereabouts	thereabouts	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
barkes	barkes	n2	barks	bark	0
are	are	vbr	are	be	0
now	now	av	now	now	0
riding	riding	vvg	riding	ride	0
at	at	p-acp	at	at	0
anker	anker	n1	anchor	anchor	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Thames	Thames	np1	Thames	Thames	0
against	against	p-acp	against	against	0
Limehouse	Limehouse	np1	Limehouse	Limehouse	0
)	)	)	)	)	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
third	third	ord	third	three	0
partie	partie	n1	party	party	0
:	:	:	:	:	0
witnesseth	witnesseth	vvz	witnesseth	witness	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Governours	Governours	n2	Governors	governor	0
,	,	,	,	,	0
and	and	cc	and	and	0
company	company	n1	company	company	0
have	have	vhb	have	have	0
hired	hired	vvn	hired	hire	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
Arthur	Arthur	np1	Arthur	Arthur	0
Pet	Pet	np1	Pet	Pet	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
barke	barke	n1	bark	bark	0
,	,	,	,	,	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
George	George	np1	George	George	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
nine	nine	crd	nine	nine	0
men	men	n2	men	man	0
and	and	cc	and	and	0
a	a	dt	a	a	0
boy	boy	n1	boy	boy	0
:	:	:	:	:	0
And	And	cc	And	and	0
likewise	likewise	av	likewise	likewise	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Charles	Charles	np1	Charles	Charles	0
Jackman	Jackman	np1	Jackman	Jackman	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
barke	barke	n1	bark	bark	0
,	,	,	,	,	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
William	William	np1	William	William	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
five	five	crd	five	five	0
men	men	n2	men	man	0
and	and	cc	and	and	0
a	a	dt	a	a	0
boy	boy	n1	boy	boy	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
