A	A	dt	A	a	0
copie	copie	n1	copy	copy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Commission	Commission	n1	Commission	commission	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
Sir	Sir	n1	Sir	sir	0
Jerome	Jerome	np1	Jerome	Jerome	0
Bowes	Bowes	n2	Bows	bow	0
,	,	,	,	,	0
authorizing	authorizing	vvg	authorizing	authorize	0
him	him	pno31	him	he	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
Am-bassadour	Am-bassadour	j	Ambassador	ambassador	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
Anno	Anno	fw-la	Anno	anno	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1583	1583	crd	1583	1583	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Polotscoae	Polotscoae	np1	Polotscoae	Polotscoae	0
,	,	,	,	,	0
Ratsaviae	Ratsaviae	np1	Ratsaviae	Ratsaviae	0
,	,	,	,	,	0
Yeraslavae	Yeraslavae	np1	Yeraslavae	Yeraslavae	0
,	,	,	,	,	0
Bealozeri	Bealozeri	np1	Bealozeri	Bealozeri	0
,	,	,	,	,	0
Liflandiae	Liflandiae	np1	Liflandiae	Liflandiae	0
,	,	,	,	,	0
Oudori	Oudori	np1	Oudori	Oudori	0
,	,	,	,	,	0
&	&	cc	&	and	0
Condensae	Condensae	fw-la	Condensae	condensae	0
,	,	,	,	,	0
&	&	cc	&	and	0
gubernator	gubernator	n1	gubernator	gubernator	0
in	in	p-acp	in	in	0
tota	tota	fw-la	tota	tota	0
provincia	provincia	fw-la	provincia	provincia	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
308	308	crd	308	308	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
309	309	crd	309	309	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A.D.	A.D.	np1	A.D.	A.D.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
I583	I583	np1	I583	I583	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
ELIZABETH	ELIZABETH	np1	ELIZABETH	Elizabeth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
France	France	np1	France	France	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
defender	defender	n1	defender	defender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
to	to	p-acp	to	to	0
al	al	d	all	all	0
and	and	cc	and	and	0
singular	singular	j	singular	singular	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
these	these	d	these	these	0
presents	presents	n2	presents	present	0
shal	shal	vmb	shall	shall	0
come	come	vvi	come	come	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
seen	seen	vvn	seen	see	0
and	and	cc	and	and	0
red	red	vvn	read	read	0
,	,	,	,	,	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
Whereas	Whereas	cs	Whereas	whereas	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
prince	prince	n1	prince	prince	0
John	John	np1	John	John	0
Basiliwich	Basiliwich	np1	Basiliwich	Basiliwich	0
king	king	n1	king	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
duke	duke	n1	duke	duke	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
Volodomer	Volodomer	np1	Volodomer	Volodomer	0
,	,	,	,	,	0
Moscovie	Moscovie	np1	Moscovie	Moscovie	0
,	,	,	,	,	0
and	and	cc	and	and	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
,	,	,	,	,	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Cazan	Cazan	np1	Cazan	Cazan	0
and	and	cc	and	and	0
Astracan	Astracan	jp	Astracan	astracan	0
,	,	,	,	,	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
Plesco	Plesco	np1	Plesco	Plesco	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
duke	duke	n1	duke	duke	0
of	of	pp-f	of	of	0
Smolensco	Smolensco	np1	Smolensco	Smolensco	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Tuer	Tuer	fw-fr	Tuer	tuer	0
,	,	,	,	,	0
Ugor	Ugor	np1	Ugor	Ugor	0
,	,	,	,	,	0
and	and	cc	and	and	0
Permia	Permia	np1	Permia	Permia	0
,	,	,	,	,	0
Valca	Valca	np1	Valca	Valca	0
,	,	,	,	,	0
Bolhar	Bolhar	np1	Bolhar	Bolhar	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
lord	lord	n1	lord	lord	0
great	great	j	great	great	0
duke	duke	n1	duke	duke	0
of	of	pp-f	of	of	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
low	low	j	low	low	0
country	country	n1	country	country	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Cherniga	Cherniga	np1	Cherniga	Cherniga	0
,	,	,	,	,	0
Rezan	Rezan	n1	Rezan	rezan	0
,	,	,	,	,	0
Polotsco	Polotsco	np1	Polotsco	Polotsco	0
,	,	,	,	,	0
Rostove	Rostove	np1	Rostove	Rostove	0
,	,	,	,	,	0
Yera-slave	Yera-slave	n1	Yeraslave	yeraslave	0
,	,	,	,	,	0
Bealozera	Bealozera	np1	Bealozera	Bealozera	0
,	,	,	,	,	0
Liefland	Liefland	np1	Liefland	Liefland	0
,	,	,	,	,	0
Oudor	Oudor	np1	Oudor	Oudor	0
,	,	,	,	,	0
Obdor	Obdor	np1	Obdor	Obdor	0
and	and	cc	and	and	0
Condensa	Condensa	fw-la	Condensa	condensa	0
,	,	,	,	,	0
and	and	cc	and	and	0
governour	governour	n1	governor	governor	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Siberia	Siberia	np1	Siberia	Siberia	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
North	North	n1	North	north	0
parts	parts	n2	parts	part	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
,	,	,	,	,	0
