A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
eight	eight	crd	eight	eight	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
John	John	np1	John	John	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Portugale	Portugale	np1	Portugale	Portugal	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
Portingale	Portingale	np1	Portingale	Portugal	0
ship	ship	n1	ship	ship	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
goods	goods	n2-j	goods	good	0
of	of	pp-f	of	of	0
John	John	np1	John	John	0
Gresham	Gresham	np1	Gresham	Gresham	0
and	and	cc	and	and	0
Wil.	Wil.	np1	Wil.	Wil.	1
Locke	Locke	np1	Locke	Locke	0
with	with	p-acp	with	with	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
unladen	unladen	vvn	unladen	unlade	0
in	in	p-acp	in	in	0
Portugale	Portugale	np1	Portugale	Portugal	0
from	from	p-acp	from	from	0
Chio.	Chio.	np1	Chio.	Chio.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
63	63	crd	63	63	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A.D.	A.D.	np1	A.D.	A.D.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1531	1531	crd	1531	1531	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
TO	TO	p-acp	TO	to	0
the	the	dt	the	the	0
high	high	j	high	high	0
and	and	cc	and	and	0
mighty	mighty	j	mighty	mighty	0
prince	prince	n1	prince	prince	0
,	,	,	,	,	0
John	John	np1	John	John	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Portugale	Portugale	np1	Portugale	Portugal	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Algarve	Algarve	np1	Algarve	Algarve	0
